,https://roic.ai/company/CCEL,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,2700000,400000,300000,1700000,2109342,5648463,7073094,7549536,12210273,14451331,17180383,17460196,17278058,16326684,17639576,17918270,17969855,18994614,20126546,21091431,23128047,25384279,29218490,31816571,31147593,28884902
2,COGS,300000,- -,200000,200000,827326,1656048,2495131,2625123,3162957,4143002,6067671,6592145,6113514,4532509,4504956,4399444,4888414,5322271,5632041,5630865,5774800,6724391,8539662,10036175,9657442,8989736
3,Gross Profit,2400000,400000,100000,1500000,1282016,3992415,4577963,4924413,9047316,10308329,11112712,10868051,11164544,11794175,13134620,13518826,13081441,13672343,14494505,15460566,17353247,18659888,20678828,21780396,21490151,19895166
4,Gross Profit Ratio,0.8889,1.0000,0.3333,0.8824,0.6078,0.7068,0.6472,0.6523,0.7410,0.7133,0.6468,0.6224,0.6462,0.7224,0.7446,0.7545,0.7280,0.7198,0.7202,0.7330,0.7503,0.7351,0.7077,0.6846,0.6899,0.6888
5,Research and Development Exp.,- -,200000,400000,100000,275803,51067,219659,226679,82509,26148,486164,545489,194462,102414,132991,184047,109640,36168,64367,45780,53097,41165,91845,30145,23851,49870
6,General and Administrative Exp.,1500000,1800000,1900000,2300000,2853776,3950759,6055754,9712342,6274072,9104087,12957465,14462914,10827326,8936679,9485267,12413082,14426244,11366417,12251921,12389452,14722794,13480883,15632696,14891462,- -,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",1500000,1800000,1900000,2300000,2853776,3950759,6055754,9712342,6274072,9104087,12957465,14462914,10827326,8936679,9485267,12413082,14426244,11366417,12251921,12389452,14722794,13480883,15632696,14891462,14294233,14625311
9,Other Expenses,100000,100000,200000,100000,313488,476478,3839593,2508098,-488888,-45866,629147,532311,408766,1082828,294061,571405,204149,188133,171334,92110,154673,131614,180264,206238,166437,834845
10,Operating Expenses,1600000,2100000,2500000,2500000,3443067,4478304,10115006,12447119,5867693,9084369,14072776,15540714,11430554,10121921,9912319,13168534,14740033,11590718,12487622,12527342,14930564,13653662,15904805,15127845,14484521,15510026
11,COGS and Expenses,1900000,2100000,2700000,2700000,4270393,6134352,12610137,15072242,9030650,13227371,20140447,22132859,17544068,14654430,14417275,17567978,19628447,16912989,18119663,18158207,20705364,20378053,24444467,25164020,24141963,24499762
12,Interest Income ,- -,- -,- -,- -,121835,110765,128270,53244,47513,143495,322369,318009,154817,71638,26299,36905,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,100000,- -,2212,10482,58854,655731,750128,863713,1015389,1390264,1321771,1416160,1284552,1456737,1022429,1400572,1151459,1303872,947340,1302650,1546900,1703446,1544017,1378926
14,Depreciation and Amortization,100000,100000,200000,100000,313488,512628,802445,452577,657383,597366,724524,741770,678151,671821,580192,579847,466736,394502,377008,241208,286650,229995,317326,401311,635975,1326392
15,EBITDA,700000,-1500000,-2000000,-500000,-1174978,1422744,-4304686,-6412227,4333866,2458484,-1071455,-2873381,1239503,3634497,3645378,112994,-2931072,1992090,2205616,2494601,-1246222,5156348,5481906,5496172,7219315,5316549
16,EBITDA ratio,0.2593,-3.7500,-6.6667,-0.2941,-0.5570,0.2519,-0.6086,-0.8494,0.3549,0.1701,-0.0624,-0.1646,0.0717,0.2226,0.2067,0.0063,-0.1631,0.1049,0.1096,0.1183,-0.0539,0.2031,0.1876,0.1727,0.2318,0.1841
17,Operating Income,800000,-1700000,-2400000,-1000000,-2161051,-485889,-5537043,-7522706,3179623,1223960,-2960064,-4672663,-326746,1672254,3222301,-276742,-1711128,1702788,1981234,2933224,433594,5006226,5189303,5062706,7661597,4003122
18,Operating Income ratio,0.2963,-4.2500,-8.0000,-0.5882,-1.0245,-0.0860,-0.7828,-0.9964,0.2604,0.0847,-0.1723,-0.2676,-0.0189,0.1024,0.1827,-0.0154,-0.0952,0.0896,0.0984,0.1391,0.0187,0.1972,0.1776,0.1591,0.2460,0.1386
19,Total Other Income Expenses (Gains),-100000,100000,- -,500000,550750,1261840,371058,2171,-160712,-106793,232983,-332752,-433673,-125738,-1441667,-1419832,-2709109,-1505772,-1304085,-1983703,-2913806,-1382523,-1571623,-1671291,-2622274,-1391891
20,Income Before Tax,- -,- -,- -,- -,- -,- -,-5165985,-7520535,3018911,1117167,-2727081,-5005415,-760419,1546516,1780634,-1696574,-4420237,197016,677149,949521,-2480212,3623703,3617680,3391415,5039323,2611231
21,Income Before Tax Ratio,- -,- -,- -,- -,- -,- -,-0.7304,-0.9962,0.2472,0.0773,-0.1587,-0.2867,-0.0440,0.0947,0.1009,-0.0947,-0.2460,0.0104,0.0336,0.0450,-0.1072,0.1428,0.1238,0.1066,0.1618,0.0904
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,161500,1101,86001,-36001,- -,- -,- -,121811,-1630027,171936,1888233,169580,123526,-7156822,-1159412,1308603,4472504,1100641,1414727,527710
23,Net Income,600000,-1600000,-2300000,-600000,-1490678,899634,-5327485,-7521636,2840354,1033406,-2811368,-5005415,-760419,1424705,3410661,-2095526,-6308470,27436,553623,8106343,-1320800,2315100,-854824,2290774,3624596,2083521
24,Net Income ratio,0.2222,-4.0000,-7.6667,-0.3529,-0.7067,0.1593,-0.7532,-0.9963,0.2326,0.0715,-0.1636,-0.2867,-0.0440,0.0873,0.1934,-0.1169,-0.3511,0.0014,0.0275,0.3843,-0.0571,0.0912,-0.0293,0.0720,0.1164,0.0721
25,EPS,0.09,-0.23,-0.31,-0.07,-0.15,0.09,-0.47,-0.66,0.25,0.09,-0.24,-0.43,-0.06,0.12,0.29,-0.18,-0.56,0.00,0.05,0.85,-0.16,0.33,-0.11,0.29,0.48,0.25
26,EPS Diluted,0.09,-0.23,-0.31,-0.07,-0.15,0.09,-0.47,-0.66,0.24,0.08,-0.24,-0.43,-0.06,0.12,0.29,-0.18,-0.56,0.00,0.05,0.83,-0.16,0.30,-0.11,0.27,0.45,0.24
27,Weighted Average Shares Outstanding,7176428,7164515,7275846,8493794,9757789,10582434,11342584,11352379,11366652,11582147,11624629,11657547,11725806,11751172,11752574,11763290,11308872,10864552,10175806,9537607,8112791,7062870,7463051,7794828,7544494,8452374
28,Weighted Average Shares Outstanding Diluted,7176428,8000000,7275846,8493794,9757789,10582434,11342584,11352379,11908407,12232308,11624629,11657547,11725806,11800989,11808682,11763290,11308872,10972484,10429035,9795579,8112791,7652984,7463051,8412414,8140180,8692331
