,https://roic.ai/company/SGLY,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , 
1,Revenue,8924786,10090879,15087238,18334359,26841336,32935823,33881248,17331759,11644392,11320628,7310540,11445613,23064563,41771047,6535956,5151032
2,COGS,6391123,7509669,12371691,15767390,23668070,29619765,31184331,15402743,7613459,5936283,3737989,4980591,15585693,36006510,3678863,4974394
3,Gross Profit,2533663,2581210,2715547,2566969,3173266,3316058,2696917,1929016,4030933,5384345,3572551,6465022,7478870,5764537,2857093,176638
4,Gross Profit Ratio,0.2839,0.2558,0.1800,0.1400,0.1182,0.1007,0.0796,0.1113,0.3462,0.4756,0.4887,0.5648,0.3243,0.1380,0.4371,0.0343
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,1714617,1165332,- -,4859116,4102864,4544578,5236167,3878569,3470669,4304329,4346159,3152336,6202555,6612268,4963446,5605670
7,Selling and Marketing Exp.,192825,153797,- -,380362,272829,341665,385064,253987,260134,63219,475619,211504,458166,718754,393617,297906
8,"Selling, General and Administrative Exp.",1907442,1319129,2539542,5239478,4375693,4886243,5621231,4132556,3730803,4367548,4821778,3363840,6660721,7331022,5357063,5903576
9,Other Expenses,10110,1163,1890,61648,135557,- -,- -,- -,- -,- -,- -,- -,- -,3978893,14910502,-321168
10,Operating Expenses,1917552,1320292,2541432,5301126,4511250,4886243,5621231,4132556,3730803,4367548,4821778,3363840,6660721,11309915,20267565,5582408
11,COGS and Expenses,8308675,8829961,14913123,21068516,28179320,34506008,36805562,19535299,11344262,10303831,8559767,8344431,22246414,47316425,23946428,10556802
12,Interest Income ,- -,- -,- -,149553,151619,- -,- -,- -,- -,- -,- -,30278,79502,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,124543,28257,- -,- -,- -,50170,- -,- -,- -,- -,- -,- -,- -
14,Depreciation and Amortization,31644,90602,170098,250450,216997,248209,244180,198825,155657,165088,59508,49367,94919,130920,402294,432941
15,EBITDA,582709,1269409,550459,-1533464,-204888,-692540,-1644127,-1190841,1872003,1309699,-1093828,3202175,1503629,-5482055,-15864579,-6386952
16,EBITDA ratio,0.0653,0.1258,0.0365,-0.0836,-0.0076,-0.0210,-0.0485,-0.0687,0.1608,0.1157,-0.1496,0.2798,0.0652,-0.1312,-2.4273,-1.2399
17,Operating Income,616111,1260918,174115,-2734157,-1337984,-1490544,-2924314,-2203540,300130,1016797,-1249227,3101182,818149,-5970446,-17738104,-6261000
18,Operating Income ratio,0.0690,0.1250,0.0115,-0.1491,-0.0498,-0.0453,-0.0863,-0.1271,0.0258,0.0898,-0.1709,0.2709,0.0355,-0.1429,-2.7139,-1.2155
19,Total Other Income Expenses (Gains),-38403,22125,230331,25010,121199,159394,-8887,36733,214179,54346,-239702,30278,654617,-120798,-4522,-508597
20,Income Before Tax,577708,1283043,404446,-2709147,-1216785,-1331150,-2933201,-2166807,514309,1071143,-1488929,3131460,1472766,-6091244,-17742626,-6769597
21,Income Before Tax Ratio,0.0647,0.1271,0.0268,-0.1478,-0.0453,-0.0404,-0.0866,-0.1250,0.0442,0.0946,-0.2037,0.2736,0.0639,-0.1458,-2.7146,-1.3142
22,Income Tax expense (Gain),21227,138291,246667,-232766,86630,-77412,-120232,410089,79823,427221,812593,-472084,949659,920869,186021,3450
23,Net Income,529838,1040516,133694,-1675691,-536772,-863337,-1768075,-1799755,1586353,717390,-1965929,3624892,459051,-6533844,-16452894,-6823343
24,Net Income ratio,0.0594,0.1031,0.0089,-0.0914,-0.0200,-0.0262,-0.0522,-0.1038,0.1362,0.0634,-0.2689,0.3167,0.0199,-0.1564,-2.5173,-1.3247
25,EPS,1.45,2.90,0.35,-2.80,-0.90,-1.50,-3.05,-1.90,1.70,0.55,-1.15,2.05,0.20,-2.25,-4.78,-0.79
26,EPS Diluted,1.45,2.90,0.35,-2.80,-0.90,-1.50,-3.05,-1.90,1.70,0.55,-1.15,2.05,0.20,-2.25,-4.78,-0.79
27,Weighted Average Shares Outstanding,360000,360000,387611,597459,583175,580768,580768,940768,944384,1288619,1730321,1782298,2207468,2883887,3442448,8634513
28,Weighted Average Shares Outstanding Diluted,360000,360000,394643,597459,583175,580768,580768,940768,944384,1288619,1730321,1789992,2404607,2883887,3442448,8634513
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1422892/000121390021050437/0001213900-21-050437-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,356026,526091,9603250,7259654,5926153,4878828,4433333,3048831,902531,730322,1385994,8733742,7098259,3142650,131182,44837317
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,261338
33,Cash and Short-Term Investments,356026,526091,9603250,7259654,5926153,4878828,4433333,3048831,902531,730322,1385994,8733742,7098259,3142650,131182,45098655
34,Net Receivables,811130,1989665,1478824,3038554,2348978,2278390,4166801,3825786,3830056,6058782,4246450,4322082,10586086,8336048,1642880,546702
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,423621,769587,145025,435646,792046,828252,1186267,270548,506011,1316584,3019541,3699064,6148043,4466464,139257,1221992
37,Total Current Assets,1590777,3285343,11227099,10733854,9067177,7985470,9786401,7145165,5238598,8105688,8651985,16754888,23832388,15945162,1913319,46867349
38,PP&E,214896,467218,1068527,972931,754027,587024,415672,267662,294722,214003,176367,187373,956429,989910,823404,1174827
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,153056,89722,26389,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,153056,89722,26389,- -
42,Investments,- -,- -,- -,- -,236569,186514,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,26000,171000,252000,344000,105100,163900,280600,- -,749400,634500,- -,- -,- -
44,Other Non-Current Assets,- -,- -,92188,126155,52190,42922,30457,18278,16734,3210259,225792,124360,581454,3574209,2974990,4760940
45,Total Non-Current Assets,214896,467218,1160715,1125086,1213786,1068460,790129,391040,475356,3704862,402159,1061133,2325439,4653841,3824783,5935767
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,1805673,3752561,12387814,11858940,10280963,9053930,10576530,7536205,5713954,11810550,9054144,17816021,26157827,20599003,5738102,52803116
48,Accounts Payable,212168,861562,1053058,3024104,3482273,2913553,7467145,3219240,398756,691588,489490,206211,3225661,567619,487692,574857
49,Short-Term Debt,- -,- -,28450,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,330423,195079
50,Tax Payable,684,11987,- -,- -,- -,- -,- -,- -,- -,996648,1637197,1886216,2700619,3184895,3280348,3572419
51,Deferred Revenue,- -,- -,- -,- -,- -,710891,303437,710172,88477,126201,24373,369717,415385,68590,67083,471516
52,Other Current Liabilities,1045180,927186,1304881,1452246,536348,254395,261845,475493,743562,1096255,1923519,2510568,2981507,4603024,4923667,4102196
53,Total Current Liabilities,1257348,1788748,2386389,4476350,4018621,3878839,8032427,4404905,1230795,1914044,2437382,3086496,6622553,5239233,5808865,5343648
54,Long-Term Debt,- -,- -,38984,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,287137,390326
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
58,Total Non-Current Liabilities,- -,- -,38984,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,287137,390326
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,337090,430000
61,Total Liabilities,1257348,1788748,2425373,4476350,4018621,3878839,8032427,4404905,1230795,1914044,2437382,3086496,6622553,5239233,6096002,5733974
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,1880,1880,7709745,7709745,7709745,- -,- -,10750157,11662157,16303327,15500391,20535379,23717330,26523830,28414992,82555700
64,Retained Earnings,612807,1653323,1787017,111326,-425446,-1288783,-3056858,-4856613,-3270260,-2552870,-4518799,-893907,-434856,-6968700,-23421594,-30244937
65,Other Comprehensive Income/Loss,- -,- -,-1292355,-13399,-4624,-9023,16709,54791,24618,91432,-280907,-414564,-272407,-671106,-1084030,-625449
