,https://roic.ai/company/COSM,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
0,INCOME STATEMENT, , , , , , , , , , , , , , , 
1,Revenue,- -,- -,- -,- -,- -,- -,- -,902369,7639022,533802,6755436,30013378,37083882,39676385,55406337
2,COGS,- -,- -,- -,- -,- -,- -,- -,- -,- -,484809,6154396,28057111,34675242,36014116,47345957
3,Gross Profit,- -,- -,- -,- -,- -,- -,- -,902369,7639022,48993,601040,1956267,2408640,3662269,8060380
4,Gross Profit Ratio,- -,- -,- -,- -,- -,- -,- -,1.0000,1.0000,0.0918,0.0890,0.0652,0.0650,0.0923,0.1455
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,4600,3787329,168410,455,613657,513767,486036,794099,4852801,3593132,3523450,4185322
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,763170
8,"Selling, General and Administrative Exp.",- -,- -,- -,4600,3787329,168410,455,613657,513767,486036,794099,4852801,3593132,3523450,4948492
9,Other Expenses,- -,- -,- -,- -,- -,- -,- -,- -,9478,5416,9448,25903,43930,394628,397595
10,Operating Expenses,- -,- -,- -,4600,3787329,168410,455,613657,523245,491452,803547,4878704,3637062,3918078,5346087
11,COGS and Expenses,- -,- -,- -,4600,3787329,168410,455,613657,523245,976261,6957943,32935815,38312304,39932194,52692044
12,Interest Income ,- -,- -,- -,- -,52,- -,- -,- -,433,1063,- -,- -,- -,- -,65865
13,Interest Expense (Gain),- -,- -,- -,- -,952,835,- -,2439,74336,90379,206014,1637549,6807669,1732934,2795110
14,Depreciation and Amortization,- -,- -,- -,- -,- -,- -,- -,- -,9478,5416,9448,25903,43930,394628,397595
15,EBITDA,- -,- -,- -,-4600,-3787329,-168410,-455,288712,7125688,-6592320,-384771,-4543515,-2191733,-988588,4391026
16,EBITDA ratio,- -,- -,- -,-Infinity,-Infinity,-Infinity,-Infinity,0.3199,0.9328,-12.3497,-0.0570,-0.1514,-0.0591,-0.0249,0.0793
17,Operating Income,- -,- -,- -,-4600,-3788229,-169245,-455,288712,7115777,-442459,-202507,-4872321,-1228422,-255809,2714293
18,Operating Income ratio,- -,- -,- -,-Infinity,-Infinity,-Infinity,-Infinity,0.3199,0.9315,-0.8289,-0.0300,-0.1623,-0.0331,-0.0064,0.0490
19,Total Other Income Expenses (Gains),- -,- -,- -,- -,- -,- -,- -,-2439,-73903,-6245250,-397726,-1334646,-7814910,-2860341,-1515972
20,Income Before Tax,- -,- -,- -,- -,- -,- -,-455,286273,7041874,-6687709,-600233,-6206967,-9043332,-3116150,1198321
21,Income Before Tax Ratio,- -,- -,- -,- -,- -,- -,-Infinity,0.3172,0.9218,-12.5284,-0.0889,-0.2068,-0.2439,-0.0785,0.0216
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,39681,997183,-203,769,2801,17326,182815,377535
23,Net Income,- -,- -,- -,-4600,-3788229,-169245,-455,246592,6044691,-6687912,-601002,-6209768,-9060658,-3298965,820786
24,Net Income ratio,- -,- -,- -,-Infinity,-Infinity,-Infinity,-Infinity,0.2733,0.7913,-12.5288,-0.0890,-0.2069,-0.2443,-0.0831,0.0148
25,EPS,- -,- -,- -,-0.00,-1.80,-0.10,-0.00,0.02,0.50,-0.50,-0.05,-0.49,-0.68,-0.25,0.06
26,EPS Diluted,- -,- -,- -,-0.00,-1.80,-0.10,-0.00,0.02,0.50,-0.50,-0.05,-0.49,-0.68,-0.25,0.06
