,https://roic.ai/company/INIS,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,800000,135765,2009165,3689524,6277065,2177900,2181704,2070592,2848844,2985434,4469538,4690588,5602443,6122844,6107281,9462012,- -,6849150,7536860,7062200,6552150,7420390,10368820,8955200,9365,9662
2,COGS,300000,79287,1130574,2850950,13463009,1424111,1071690,1151161,1719251,1601361,2462715,2660781,2879839,4073761,3619759,6045471,- -,4313543,4559750,4359230,3707560,4182710,5678530,4289490,3905,3924
3,Gross Profit,500000,56478,878591,838574,-7185944,753789,1110014,919431,1129593,1384073,2006823,2029807,2722604,2049083,2487522,3416541,- -,2535607,2977110,2702970,2844590,3237680,4690290,4665710,5460,5738
4,Gross Profit Ratio,0.6250,0.4160,0.4373,0.2273,-1.1448,0.3461,0.5088,0.4440,0.3965,0.4636,0.4490,0.4327,0.4860,0.3347,0.4073,0.3611,- -,0.3702,0.3950,0.3827,0.4341,0.4363,0.4523,0.5210,0.5830,0.5939
5,Research and Development Exp.,- -,- -,825269,6976589,- -,- -,- -,57186,49098,77162,58360,61279,402795,2609834,5230564,1695315,- -,706048,464210,821450,511280,376700,468600,263380,219,272
6,General and Administrative Exp.,- -,- -,5015149,6669755,7808770,- -,- -,- -,- -,- -,- -,- -,- -,4016225,3590934,5091676,3845330,3927812,3298793,3323167,3836292,4926560,4511754,4960636,5656202,3459
7,Selling and Marketing Exp.,- -,- -,697530,791575,489031,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,- -,5712679,7461330,8297801,- -,- -,- -,- -,- -,- -,- -,- -,4016225,3590934,5091676,3845330,3927812,3298793,3323167,3836292,4926560,4511754,4960636,5656202,3459
9,Other Expenses,900000,4515834,- -,172812,23110520,1797385,1064109,1525326,1779195,2124771,2812935,3584270,4475190,- -,- -,- -,990021,- -,-4,3,3,-2,3,-5,-5650546,2688
10,Operating Expenses,900000,4515834,6537948,14610731,31408321,1797385,1064109,1582512,1828293,2201933,2871295,3645549,4877985,6626059,8821498,6786991,4835351,4633860,3762999,4144620,4347575,5303258,4980357,5224011,5876,6419
