,https://roic.ai/company/PD,2018,2019,2020,2021,2022
0,INCOME STATEMENT, , , , , 
1,Revenue,79630000,117823000,166351000,213556000,281396000
2,COGS,12717000,17255000,24579000,30686000,48361000
3,Gross Profit,66913000,100568000,141772000,182870000,233035000
4,Gross Profit Ratio,0.8403,0.8536,0.8522,0.8563,0.8281
5,Research and Development Exp.,33532000,38858000,49011000,64566000,95690000
6,General and Administrative Exp.,24343000,39971000,50970000,62431000,77432000
7,Selling and Marketing Exp.,47354000,64060000,97350000,122155000,161624000
8,"Selling, General and Administrative Exp.",71697000,104031000,148320000,184586000,239056000
9,Other Expenses,- -,- -,- -,- -,- -
10,Operating Expenses,105229000,142889000,197331000,249152000,334746000
11,COGS and Expenses,117946000,160144000,221910000,279838000,383107000
12,Interest Income ,371000,1249000,5692000,4232000,2946000
13,Interest Expense (Gain),702000,- -,- -,9965000,-5398000
14,Depreciation and Amortization,1346000,1692000,2337000,5270000,8356000
15,EBITDA,-35917000,-38348000,-47327000,-57574000,-103962000
16,EBITDA ratio,-0.4510,-0.3255,-0.2845,-0.2696,-0.3695
17,Operating Income,-38316000,-42321000,-55559000,-66282000,-101711000
18,Operating Income ratio,-0.4812,-0.3592,-0.3340,-0.3104,-0.3615
19,Total Other Income Expenses (Gains),351000,2281000,5895000,-6527000,-5209000
20,Income Before Tax,-37965000,-40040000,-49664000,-72809000,-106920000
21,Income Before Tax Ratio,-0.4768,-0.3398,-0.2985,-0.3409,-0.3800
22,Income Tax expense (Gain),184000,701000,675000,-3906000,535000
23,Net Income,-38149000,-40741000,-50339000,-68903000,-107455000
24,Net Income ratio,-0.4791,-0.3458,-0.3026,-0.3226,-0.3819
25,EPS,-0.63,-0.68,-0.77,-0.87,-1.27
26,EPS Diluted,-0.63,-0.68,-0.77,-0.87,-1.27
27,Weighted Average Shares Outstanding,60121000,60121000,65544000,79614000,84514000
28,Weighted Average Shares Outstanding Diluted,60121000,60121000,65544000,79614000,84514000
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1568100/000156810020000013/0001568100-20-000013-index.html,https://www.sec.gov/Archives/edgar/data/1568100/000156810021000011/0001568100-21-000011-index.htm,https://www.sec.gov/Archives/edgar/data/1568100/000156810022000014/0001568100-22-000014-index.htm
30,BALANCE SHEET, , , , , 
31,Cash and Cash Equivalents,43999000,127875000,124024000,339166000,349785000
32,Short-Term Investments,- -,- -,227375000,221112000,- -
33,Cash and Short-Term Investments,43999000,127875000,351399000,560278000,349785000
34,Net Receivables,18888000,32912000,37128000,55119000,75279000
35,Inventory,- -,- -,- -,- -,- -
36,Other Current Assets,6925000,12050000,16464000,22917000,220020000
37,Total Current Assets,69812000,172837000,404991000,638314000,645084000
38,PP&E,3271000,5772000,12369000,37330000,18229000
39,Goodwill,- -,- -,- -,72126000,72126000
40,Intangible Assets,- -,- -,- -,26633000,23133000
41,Intangible Assets,- -,- -,- -,98759000,95259000
42,Investments,- -,- -,- -,- -,193571000
43,Tax Assets,- -,- -,- -,- -,- -
44,Other Non-Current Assets,8285000,18625000,18038000,21040000,-145695000
45,Total Non-Current Assets,11556000,24397000,30407000,157129000,161364000
46,Other Assets,- -,- -,- -,- -,- -
47,Total Assets,81368000,197234000,435398000,795443000,806448000
48,Accounts Payable,4193000,5603000,6434000,5747000,9505000
49,Short-Term Debt,- -,- -,- -,5262000,5637000
50,Tax Payable,- -,- -,- -,1350000,- -
51,Deferred Revenue,36955000,63957000,87490000,123686000,162881000
52,Other Current Liabilities,9684000,19249000,21108000,37999000,48967000
53,Total Current Liabilities,50832000,88809000,115032000,172694000,226990000
54,Long-Term Debt,- -,- -,- -,244070000,281069000
55,Deferred Revenue,1214000,147000,5079000,6286000,7343000
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,85687000,4185000,7349000,5666000,24071000
58,Total Non-Current Liabilities,86901000,4332000,12428000,256022000,312483000
59,Other Liabilities,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,31804000,- -
61,Total Liabilities,137733000,93141000,127460000,428716000,539473000
62,Preferred Stock,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -
64,Retained Earnings,-88127000,-128868000,-179207000,-248110000,-348823000
65,Other Comprehensive Income/Loss,-3725000,-5366000,-7248000,343000,-669000
66,Other Total Stockholders Equity,35487000,238327000,494393000,- -,616467000
67,Total Stockholders Equity,-56365000,104093000,307938000,366727000,266975000
68,Total Liabilities And Stockholders Equity,81368000,197234000,435398000,795443000,806448000
69,Minority Interest,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,81368000,197234000,435398000,795443000,806448000
