,https://roic.ai/company/CLBS,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,- -,- -,340000,7590000,21050000,- -,- -,- -,12854,531757,107447,81348,64632,48561,35262,45724,231664,83541,11565118,69821294,73717980,14329889,14668455,17938790,22487566,35283868,- -,- -,- -,- -,- -
2,COGS,- -,- -,- -,- -,15530000,- -,- -,- -,-74781,111171,70674,60565,43608,33885,24776,22398,24847,31979,7587175,49668262,55974088,11949124,12947217,15678475,20158828,31136129,- -,- -,- -,- -,- -
3,Gross Profit,- -,- -,- -,- -,5520000,- -,- -,- -,87635,420586,36773,20783,21024,14676,10486,23326,206817,51562,3977943,20153032,17743892,2380765,1721238,2260315,2328738,4147739,- -,- -,- -,- -,- -
4,Gross Profit Ratio,- -,- -,- -,- -,0.2622,- -,- -,- -,6.8177,0.7909,0.3422,0.2555,0.3253,0.3022,0.2974,0.5101,0.8927,0.6172,0.3440,0.2886,0.2407,0.1661,0.1173,0.1260,0.1036,0.1176,- -,- -,- -,- -,- -
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4318805,7684537,11003110,10451070,16917396,29194262,23899026,15108528,15842959,7594000,10797000,9253000,17680000
6,General and Administrative Exp.,- -,- -,320000,7380000,8340000,257073,251583,- -,1060668,2562074,1642874,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,11750080,9393000,9295000,9892000,11370000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,- -,320000,7380000,8340000,257073,251583,- -,1060668,2562074,1642874,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,11750080,9393000,9295000,9892000,11370000
9,Other Expenses,- -,- -,- -,- -,0,- -,- -,- -,82338,155641,- -,1170053,915353,1488964,1611398,4714568,10645653,9285015,23459600,31346806,41845255,22315346,21612793,30806807,30005542,20374969,- -,- -,- -,- -,- -
10,Operating Expenses,- -,- -,320000,7380000,8340000,257073,251583,- -,1143006,2717715,1642874,1170053,915353,1488964,1611398,4714568,10645653,9285015,27778405,39031343,52848365,32766416,38530189,60001069,53904568,35483497,27593039,16987000,20092000,19145000,29050000
11,COGS and Expenses,- -,- -,320000,7380000,23870000,257073,251583,- -,1068225,2828886,1713548,1230618,958961,1522849,1636174,4736966,10670500,9316994,35365580,88699605,108822453,44715540,51477406,75679544,74063396,66619626,27593039,16987000,20092000,19145000,- -
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,169269,- -,- -,88923,- -,137,20432,- -,3044,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,-160000,-540000,- -,- -,- -,- -,10136,- -,- -,238739,- -,144264,1380590,- -,11662,91261,480903,3991220,1576975,281421,755697,2128442,1857694,377768,5000,- -,- -,- -
14,Depreciation and Amortization,- -,- -,10000,100000,460000,1749,388,- -,82338,155641,155436,16766,646,13542,7840,240123,53778,115961,577043,5136159,8978317,1550571,1605608,2186949,2686779,2743648,372001,225000,65000,63000,55000
15,EBITDA,- -,- -,30000,310000,-3460000,-255324,-251195,- -,-1029998,-1861388,-1877594,-1143072,-804760,-1734830,-1592935,-4430687,-10391695,-9114448,-24260013,-17137732,-33772165,-50817471,-36314111,-52034489,-93314259,-27916939,-27221038,-16762000,-20027000,-19082000,-28919000
16,EBITDA ratio,- -,- -,0.0882,0.0408,-0.1644,-Infinity,-Infinity,- -,-80.1305,-3.5004,-17.4746,-14.0516,-12.4514,-35.7248,-45.1743,-96.9007,-44.8568,-109.1015,-2.0977,-0.2455,-0.4581,-3.5463,-2.4757,-2.9007,-4.1496,-0.7912,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity
17,Operating Income,- -,- -,20000,210000,-2820000,-257073,-251583,- -,-1055371,-2297129,-1606101,-1149270,-894329,-1474288,-1600912,-4691242,-10438836,-9233453,-23800462,-18878311,-54537140,-30385651,-36808951,-57740754,-113849166,-31335758,-27593039,-16987000,-20092000,-19145000,-29050000
18,Operating Income ratio,- -,- -,0.0588,0.0277,-0.1340,-Infinity,-Infinity,- -,-82.1045,-4.3199,-14.9478,-14.1278,-13.8372,-30.3595,-45.4005,-102.5991,-45.0602,-110.5260,-2.0580,-0.2704,-0.7398,-2.1204,-2.5094,-3.2188,-5.0628,-0.8881,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity
19,Total Other Income Expenses (Gains),- -,- -,- -,- -,-560000,-3642,-17373,- -,- -,110831,-286554,-316325,-230000,-725324,- -,- -,- -,- -,-39188,32207,-1652950,-5891203,-1896279,2170306,15595137,-1835737,-104667,819000,740000,132000,76000
20,Income Before Tax,- -,- -,20000,- -,-3380000,-260715,-268956,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-23839650,-18846104,-56190090,-36276854,-38705230,-55570448,-98254029,-33171495,-27697706,-16168000,-19352000,-19013000,-28974000
21,Income Before Tax Ratio,- -,- -,0.0588,- -,-0.1606,-Infinity,-Infinity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2.0613,-0.2699,-0.7622,-2.5316,-2.6387,-3.0978,-4.3693,-0.9401,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity
22,Income Tax expense (Gain),- -,- -,20000,- -,-10000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,344200,550912,392767,-175533,780104,-104202,-17243528,138038,-11526557,- -,- -,-10872000,-1508000
23,Net Income,- -,- -,- -,- -,-3370000,1711094,-332604,- -,-1112336,-2027165,-2033030,-1159838,-1044145,-1748372,-1745039,-6051400,-10445473,-9242071,-25272517,-23305706,-47134469,-53769484,-38981244,-54872933,-80885952,-32656319,22978700,-16167000,-19361000,-8150000,-27466000
24,Net Income ratio,- -,- -,- -,- -,-0.1601,Infinity,-Infinity,- -,-86.5362,-3.8122,-18.9212,-14.2577,-16.1552,-36.0036,-49.4878,-132.3463,-45.0889,-110.6292,-2.1852,-0.3338,-0.6394,-3.7523,-2.6575,-3.0589,-3.5969,-0.9255,Infinity,-Infinity,-Infinity,-Infinity,-Infinity
