,https://roic.ai/company/EGLE,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , 
1,Revenue,56066058,104648197,124814804,185424949,192574826,265036066,313432431,190811259,202439528,149111091,103856876,124492844,236784625,310094258,292377638,275133547,594537654
2,COGS,11052429,21562034,27143515,36270382,50161091,86693154,170611320,195964091,187795637,177020167,163398513,167840267,205933138,236665952,252758076,247514082,- -
3,Gross Profit,45013629,83086163,97671289,149154567,142413735,178342912,142821111,-5152832,14643891,-27909076,-59541637,-43347423,30851487,73428306,39619562,27619465,- -
4,Gross Profit Ratio,0.8029,0.7940,0.7825,0.8044,0.7395,0.6729,0.4557,-0.0270,0.0723,-0.1872,-0.5733,-0.3482,0.1303,0.2368,0.1355,0.1004,- -
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,3491330,5222875,7519734,34567070,32713917,40029261,37559639,32065421,16026634,17517652,19426518,22905802,33126310,36156660,35041996,31532109,35160889
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",3491330,5222875,7519734,34567070,32713917,40029261,37559639,32065421,16026634,17517652,19426518,22905802,33126310,36156660,35041996,31532109,35160889
9,Other Expenses,28322085,34882959,29819855,33948840,44329258,62654467,73084105,- -,- -,- -,- -,- -,- -,- -,- -,- -,297984787
10,Operating Expenses,31813415,40105834,37339589,68515910,77043175,102683728,110643744,32065421,16026634,17517652,19426518,22905802,33126310,36156660,35041996,31532109,333145676
11,COGS and Expenses,42865844,61667868,64483104,104786292,127204266,189376882,281255064,228029512,203822271,194537819,182825031,190746069,239059448,272822612,287800072,279046191,- -
12,Interest Income ,661827,1369827,4653387,2783314,204610,369558,130007,32271,75273,10363,6222,215433,651069,585168,1867326,257165,-91533
13,Interest Expense (Gain),- -,- -,- -,17906274,32287899,48885674,46769965,60100569,74874702,45714370,11812485,17266665,29368994,25622199,29920483,35136355,32256787
14,Depreciation and Amortization,10412227,21031357,24791502,31379443,41380917,59503895,69887121,75323119,75003864,64452634,41044397,35556911,29354017,32364359,47082649,55295193,- -
15,EBITDA,17065627,54832897,77035483,110918526,106956087,135234219,101837337,32622785,79357183,-14489323,-95440083,-170698859,14926326,70561242,55306017,55368080,217154671
16,EBITDA ratio,0.3044,0.5240,0.6172,0.5982,0.5554,0.5102,0.3249,0.1710,0.3920,-0.0972,-0.9190,-1.3712,0.0630,0.2275,0.1892,0.2012,0.3652
17,Operating Income,13200214,42980329,60331700,76755769,65370560,75659184,31668291,-37218253,31143304,-45426728,-135537564,-201251972,-140056,37606806,9431132,-4754784,261391978
18,Operating Income ratio,0.2354,0.4107,0.4834,0.4139,0.3395,0.2855,0.1010,-0.1951,0.1538,-0.3047,-1.3050,-1.6166,-0.0006,0.1213,0.0323,-0.0173,0.4397
19,Total Other Income Expenses (Gains),- -,- -,872568,-3882888,- -,-298418,-46488040,-65582650,-101664687,-79229599,-12759401,-22270463,-43656629,-25032122,-31128247,-30308684,-76494094
20,Income Before Tax,- -,- -,- -,- -,- -,- -,-14819749,-102800903,-70521383,-124656327,-148296965,-223522435,-43796685,12574684,-21697115,-35063468,184897884
21,Income Before Tax Ratio,- -,- -,- -,- -,- -,- -,-0.0473,-0.5388,-0.3484,-0.8360,-1.4279,-1.7955,-0.1850,0.0406,-0.0742,-0.1274,0.3110
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
23,Net Income,6653400,33801540,52243981,61632809,33287271,26844650,-14819749,-102800903,-70521383,-124656327,-148296965,-223522435,-43796685,12574684,-21697115,-35063468,184897884
24,Net Income ratio,0.1187,0.3230,0.4186,0.3324,0.1729,0.1013,-0.0473,-0.5388,-0.3484,-0.8360,-1.4279,-1.7955,-0.1850,0.0406,-0.0742,-0.1274,0.3110
25,EPS,3057.22,9986.91,12636.50,13451.75,6114.43,4382.01,-2445.77,-16050.39,-10572.87,-1726.37,-551.60,-76.09,-4.41,1.26,-2.10,-3.40,14.91
26,EPS Diluted,3057.22,9986.91,12636.50,13349.85,6114.43,4382.01,-2445.77,-16050.39,-10572.87,-16246.65,-551.60,-76.09,-4.41,1.26,-2.10,-3.40,11.79
27,Weighted Average Shares Outstanding,2155,3389,4127,4592,5485,6104,6144,6409,6666,72207,268695,2937947,9883176,10095020,10195078,10310246,12399509
28,Weighted Average Shares Outstanding Diluted,2155,3389,4140,4601,5487,6124,6144,6409,6666,72207,268695,2937947,9883176,10257443,10195078,10310246,15684392
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1322439/000095013608001032/0000950136-08-001032-index.htm,https://www.sec.gov/Archives/edgar/data/1322439/000091957409004297/0000919574-09-004297-index.htm,https://www.sec.gov/Archives/edgar/data/1322439/000091957410002124/0000919574-10-002124-index.htm,https://www.sec.gov/Archives/edgar/data/1322439/000091957411001959/0000919574-11-001959-index.htm,https://www.sec.gov/Archives/edgar/data/1322439/000114036112016024/0001140361-12-016024-index.htm,https://www.sec.gov/Archives/edgar/data/1322439/000114420413019308/0001144204-13-019308-index.htm,https://www.sec.gov/Archives/edgar/data/1322439/000143774914005582/0001437749-14-005582-index.htm,https://www.sec.gov/Archives/edgar/data/1322439/000143774915006809/0001437749-15-006809-index.htm,https://www.sec.gov/Archives/edgar/data/1322439/000143774916028714/0001437749-16-028714-index.htm,https://www.sec.gov/Archives/edgar/data/1322439/000143774917005696/0001437749-17-005696-index.htm,https://www.sec.gov/Archives/edgar/data/1322439/000162828018003092/0001628280-18-003092-index.htm,https://www.sec.gov/Archives/edgar/data/1322439/000162828019002879/0001628280-19-002879-index.htm,https://www.sec.gov/Archives/edgar/data/1322439/000162828020003466/0001628280-20-003466-index.htm,https://www.sec.gov/Archives/edgar/data/1322439/000162828021004645/0001628280-21-004645-index.htm,https://www.sec.gov/Archives/edgar/data/1322439/000162828022005984/0001628280-22-005984-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,24526528,22275491,152903692,9208862,71344773,129121680,25075203,18119968,19682724,39975287,24896161,76516110,56251044,67209753,53583898,69927594,86146552
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,988196,197509,13817439,8300740,- -,- -,4500000,- -,- -,- -,- -
33,Cash and Short-Term Investments,24526528,22275491,152903692,9208862,71344773,129121680,26063399,18317477,33500163,48276027,24896161,76516110,60751044,67209753,53583898,69927594,86146552
34,Net Receivables,281094,616205,3392461,4357837,7443450,14366495,13960777,9303958,11197101,14731301,7076528,5089708,17246540,19785582,19982871,13843480,28456036
35,Inventory,- -,- -,- -,- -,- -,3190052,11083331,12083125,9610272,5749273,5574406,10876713,14113079,16137785,15824278,11624833,17651381
36,Other Current Assets,9021145,4760821,1158113,3297801,5416805,4054332,4783330,4094775,7623655,7834242,3478332,11782585,13111888,15341063,11142316,22868873,23778847
37,Total Current Assets,33828767,27652517,157454266,16864500,84205028,150732559,55890837,43799335,61931191,76590843,41025427,104265116,105222551,118474183,100533363,118264780,156032816
38,PP&E,417581610,529270191,950099823,874674636,1475042190,1701695678,1789986565,1714755369,1639916674,834283489,734181240,568225755,690853762,683637739,857109775,818744009,17274657
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,7000000,7000000,9000000,411063011,14000000,- -,1000000,2491530,- -,- -,- -,- -,- -,11000000,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,3933604,4868259,19454284,59573397,34955596,44144721,20379326,28097916,21566436,3002490,11832273,13890746,12273622,33097238,44443998,30118267,953350951
45,Total Non-Current Assets,428515214,541138450,978554107,1345311044,1523997786,1745840399,1811365891,1745344815,1661483110,837285979,746013513,582116501,703127384,727734977,901553773,848862276,970625608
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,462343981,568790967,1136008373,1362175544,1608202814,1896572958,1867256728,1789144150,1723414301,913876822,787038940,686381617,808349935,846209160,1002087136,967127056,1126658424
48,Accounts Payable,1861145,1650159,3621559,2037060,2289333,6089273,10642831,10235007,6422306,11663697,8216473,7135156,7470844,14161169,13483397,10589970,20781295
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,32094006,- -,1174044178,15625000,15625000,- -,4000000,29176230,48965372,46859668,47184321
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,5958833,12577035,11796658,11746626,6992860,5387844,2389595,1560402,6046032,5678673,6926839,4692259,8072295,12087586
52,Other Current Liabilities,4689822,5230867,6641046,13408216,11638649,12629786,14638247,16760892,6365109,11322887,12512233,12394632,13673851,12728961,35074154,16918990,43547481
53,Total Current Liabilities,6550967,6881026,10262605,21404109,26505017,30515717,69121710,33988759,1192219437,41001179,37914108,25575820,30823368,62993199,102215182,82440923,123600683
54,Long-Term Debt,140000000,239974820,597242890,789601403,900170880,1151354476,1097384735,1144866209,- -,204106928,226013307,255943544,313683676,301583347,410067224,412931021,87790743
55,Deferred Revenue,- -,- -,- -,- -,26389796,23480740,17088464,13850772,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,359180,13531883,79743256,35408049,22135507,9486116,2243833,- -,4678049,4767063,4379614,2677858,2026765,8301793,1337029,244000779
58,Total Non-Current Liabilities,140000000,240334000,610774773,869344659,961968725,1196970723,1123959315,1160960814,- -,208784977,230780370,260323158,316361534,303610112,418369017,414268050,331791522
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,21557771,8301793,- -
61,Total Liabilities,146550967,247215026,621037378,890748768,988473742,1227486440,1193081025,1194949573,1192219437,249786156,268694478,285898978,347184902,366603311,520584199,496708973,455392205
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,331500,359000,467271,470313,621267,625604,630033,166378,167828,375045,376661,481069,703944,710555,715022,116618,- -
64,Retained Earnings,-8007600,-45935560,-75826561,-107786658,-74499387,-47654737,-62474486,-165275389,-235796772,-11548728,-159845693,-383368128,-427164813,-415377239,-437074354,-472137822,- -
