,https://roic.ai/company/CAG,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,5911000000,9001600000,9475000000,11340400000,15501200000,19504700000,21219000000,21519100000,23512000000,24109000000,24822000000,24002000000,23840500000,24594000000,25535000000,27194000000,27630000000,19839000000,14522000000,14567000000,11579000000,12028000000,11606000000,12731200000,12079000000,12303000000,13263000000,15491000000,17709000000,15832400000,8664100000,7826900000,7938300000,9538400000,11054400000,11184700000
2,COGS,5096500000,7819800000,8299800000,9772300000,13716900000,16681400000,17875700000,18363400000,20452000000,20778000000,21322000000,20442000000,19716100000,20556000000,22183000000,23312000000,23537000000,16016000000,11302000000,11446000000,8743000000,8890000000,8890000000,9890600000,9014000000,9390000000,10436000000,11931000000,14091000000,12523900000,6227500000,5468200000,5578100000,6878100000,7984800000,8005500000
3,Gross Profit,814500000,1181800000,1175200000,1568100000,1784300000,2823300000,3343300000,3155700000,3060000000,3331000000,3500000000,3560000000,4124400000,4038000000,3352000000,3882000000,4093000000,3823000000,3220000000,3121000000,2836000000,3138000000,2716000000,2840600000,3065000000,2913000000,2827000000,3560000000,3618000000,3308500000,2436600000,2358700000,2360200000,2660300000,3069600000,3179200000
4,Gross Profit Ratio,0.1378,0.1313,0.1240,0.1383,0.1151,0.1447,0.1576,0.1466,0.1301,0.1382,0.1410,0.1483,0.1730,0.1642,0.1313,0.1428,0.1481,0.1927,0.2217,0.2143,0.2449,0.2609,0.2340,0.2231,0.2537,0.2368,0.2131,0.2298,0.2043,0.2090,0.2812,0.3014,0.2973,0.2789,0.2777,0.2842
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,540700000,782700000,788600000,1022000000,1151300000,1782900000,2136300000,2014300000,2091000000,2230000000,2278000000,2265000000,2357700000,2598000000,2108000000,2355000000,2375000000,2308000000,1823000000,1835000000,1938000000,1908000000,1766000000,1694800000,1798000000,1462000000,1983000000,2131000000,2208000000,3472100000,1734500000,710300000,1080900000,1260200000,1622500000,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,48000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",540700000,782700000,788600000,1022000000,1151300000,1782900000,2136300000,2014300000,2091000000,2229900000,2278100000,2265400000,2357700000,2598400000,2108100000,2355100000,2423000000,2308400000,1813300000,1834700000,1937600000,1907800000,1766100000,1694800000,1820000000,1511100000,1997700000,2135600000,2767100000,3472100000,2209400000,1417100000,1318000000,1473400000,1622500000,1403000000
9,Other Expenses,53600000,77400000,89500000,101700000,129700000,250800000,319300000,277000000,254000000,100000,507900000,-400000,446300000,440600000,321900000,-100000,- -,-400000,9700000,-185700000,-328600000,200000,-100000,- -,- -,-100000,-700000,400000,-466100000,- -,-187000000,15900000,6700000,-18600000,- -,- -
10,Operating Expenses,594300000,860100000,878100000,1123700000,1281000000,2033700000,2455600000,2291300000,2345000000,2230000000,2786000000,2265000000,2804000000,3039000000,2430000000,2355000000,2423000000,2308000000,1823000000,1649000000,1609000000,1908000000,1766000000,1694800000,1820000000,1511000000,1997000000,2136000000,2301000000,3472100000,2022400000,1433000000,1324700000,1454800000,1622500000,1403000000
11,COGS and Expenses,5690800000,8679900000,9177900000,10896000000,14997900000,18715100000,20331300000,20654700000,22797000000,23008000000,24108000000,22707000000,22520100000,23595000000,24613000000,25667000000,25960000000,18324000000,13125000000,13095000000,10352000000,10798000000,10656000000,11585400000,10834000000,10901000000,12433000000,14067000000,16392000000,15996000000,8249900000,6901200000,6902800000,8332900000,9607300000,9408500000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,42200000,4000000,3000000,2500000,1200000,1300000,3700000,3800000,6800000,3100000,1900000
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,5000000,-275000000,-305000000,-277000000,- -,-317000000,-304000000,-423000000,-402000000,-276000000,-274000000,-295000000,-246000000,-225000000,-253000000,186200000,-160000000,-178000000,-204000000,275600000,-323000000,333100000,297800000,-196200000,-160700000,-382200000,490200000,422300000
14,Depreciation and Amortization,53600000,77400000,89500000,101700000,129700000,250800000,319300000,277000000,294800000,375800000,407900000,413800000,446300000,499800000,536500000,592900000,623200000,396700000,352300000,350900000,311200000,346000000,296700000,318900000,326800000,360900000,371800000,445200000,602900000,592300000,373900000,268000000,257000000,333000000,388900000,387700000
15,EBITDA,233900000,348900000,329600000,413900000,486600000,766000000,907000000,787200000,1019800000,926800000,511900000,1154800000,1452600000,864800000,849500000,1230900000,1487200000,1331700000,1244300000,1167900000,908200000,1251000000,1201700000,1820700000,1254800000,1420900000,830800000,1895000000,1299100000,906800000,220100000,965800000,1079300000,847900000,1920500000,2302600000
16,EBITDA ratio,0.0396,0.0388,0.0348,0.0365,0.0314,0.0393,0.0427,0.0366,0.0434,0.0384,0.0206,0.0481,0.0609,0.0352,0.0333,0.0453,0.0538,0.0671,0.0857,0.0802,0.0784,0.1040,0.1035,0.1430,0.1039,0.1155,0.0626,0.1223,0.0734,0.0573,0.0254,0.1234,0.1360,0.0889,0.1737,0.2059
17,Operating Income,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
18,Operating Income ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
19,Total Other Income Expenses (Gains),-39900000,-50200000,-57000000,-132200000,-146400000,-274400000,-300000000,-233000000,5000000,-275000000,-305000000,-277000000,-299300000,-317000000,-303000000,-423000000,-402000000,-239000000,-245000000,-339000000,-322000000,-181000000,-254000000,-162200000,-160000000,-177000000,-204000000,-275000000,-323000000,-331900000,-305400000,-196200000,-160700000,-382200000,-477200000,-730700000
20,Income Before Tax,180300000,271500000,240100000,312200000,356900000,515200000,587700000,631400000,720000000,826000000,409000000,1018000000,1021100000,682000000,618000000,1104000000,1268000000,1276000000,1153000000,1133000000,906000000,1050000000,696000000,983600000,1085000000,1225000000,625000000,1149000000,994000000,-495500000,108800000,729500000,874800000,823300000,969900000,1410300000
21,Income Before Tax Ratio,0.0305,0.0302,0.0253,0.0275,0.0230,0.0264,0.0277,0.0293,0.0306,0.0343,0.0165,0.0424,0.0428,0.0277,0.0242,0.0406,0.0459,0.0643,0.0794,0.0778,0.0782,0.0873,0.0600,0.0773,0.0898,0.0996,0.0471,0.0742,0.0561,-0.0313,0.0126,0.0932,0.1102,0.0863,0.0877,0.1261
22,Income Tax expense (Gain),75000000,122800000,85400000,114300000,125200000,204000000,215300000,239900000,283000000,330000000,220000000,403000000,393100000,324000000,235000000,422000000,483000000,436000000,355000000,470000000,309000000,365000000,227000000,337200000,362000000,421000000,195000000,400200000,298200000,234000000,225400000,254700000,174600000,218800000,201300000,193800000
23,Net Income,105300000,148700000,154700000,197900000,231700000,311200000,372400000,270300000,437000000,496000000,189000000,615000000,613200000,358000000,382000000,639000000,783000000,775000000,811000000,642000000,534000000,765000000,931000000,978400000,726000000,817000000,468000000,774000000,721000000,-252600000,-677000000,639300000,808400000,678300000,840100000,1298800000
24,Net Income ratio,0.0178,0.0165,0.0163,0.0175,0.0149,0.0160,0.0176,0.0126,0.0186,0.0206,0.0076,0.0256,0.0257,0.0146,0.0150,0.0235,0.0283,0.0391,0.0558,0.0441,0.0461,0.0636,0.0802,0.0769,0.0601,0.0664,0.0353,0.0500,0.0407,-0.0160,-0.0781,0.0817,0.1018,0.0711,0.0760,0.1161
25,EPS,0.34,0.41,0.43,0.55,0.63,0.71,0.75,0.54,0.91,1.04,0.40,1.36,1.36,0.76,0.80,1.24,1.48,1.47,1.67,1.24,1.03,1.52,1.91,2.16,1.63,1.90,1.13,1.88,0.72,-0.60,-1.57,1.48,2.00,1.53,1.72,2.67
26,EPS Diluted,0.34,0.41,0.43,0.54,0.63,0.71,0.75,0.53,0.91,1.04,0.40,1.36,1.33,0.75,0.80,1.24,1.47,1.46,1.66,1.23,1.03,1.51,1.90,2.15,1.62,1.88,1.12,1.85,0.70,-0.60,-1.57,1.46,1.98,1.52,1.72,2.66
