,https://roic.ai/company/WFRD,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,12600000,2500000,15300000,54200000,107900000,153100000,178000000,192300000,246000000,248500000,351600000,478000000,892300000,2010700000,1240200000,1814261000,2328715000,2328930000,2591408000,3131774000,4333227000,6578928000,7832062000,9600564000,8826933000,10220797000,12990000000,15215000000,15263000000,14911000000,9433000000,5749000000,5699000000,5744000000,4954000000,3685000000,3645000000
2,COGS,1900000,800000,10000000,34200000,72900000,107200000,125100000,140200000,169400000,166800000,241500000,356700000,606100000,1256100000,727200000,1054313000,1528712000,1582142000,1830630000,2158752000,2950622000,4217806000,5057610000,6242460000,6463336000,7583281000,9665000000,11855000000,12302000000,11461000000,8021000000,5189000000,4889000000,4514000000,3853000000,2807000000,2716000000
3,Gross Profit,10700000,1700000,5300000,20000000,35000000,45900000,52900000,52100000,76600000,81700000,110100000,121300000,286200000,754600000,513000000,759948000,800003000,746788000,760778000,973022000,1382605000,2361122000,2774452000,3358104000,2363597000,2637516000,3325000000,3360000000,2961000000,3450000000,1412000000,560000000,810000000,1230000000,1101000000,878000000,929000000
4,Gross Profit Ratio,0.8492,0.6800,0.3464,0.3690,0.3244,0.2998,0.2972,0.2709,0.3114,0.3288,0.3131,0.2538,0.3207,0.3753,0.4136,0.4189,0.3435,0.3207,0.2936,0.3107,0.3191,0.3589,0.3542,0.3498,0.2678,0.2581,0.2560,0.2208,0.1940,0.2314,0.1497,0.0974,0.1421,0.2141,0.2222,0.2383,0.2549
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,79586000,82929000,83552000,107362000,149429000,169317000,192659000,194650000,214481000,245000000,257000000,265000000,290000000,231000000,159000000,158000000,139000000,136000000,97000000,85000000
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,187075000,223172000,175166000,- -,1940000000,2044000000,2017000000,1580000000,1109000000,1040000000,894000000,895000000,- -,-62000000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1585000000,1728000000,1727000000,1353000000,970000000,910000000,764000000,- -,- -,- -
8,"Selling, General and Administrative Exp.",1500000,1300000,4900000,17800000,26000000,32100000,35000000,37300000,45700000,47900000,56900000,58200000,110500000,293400000,282100000,380070000,412057000,393625000,411142000,496128000,632156000,877314000,980799000,1268240000,1465092000,1641582000,1756000000,3525000000,3772000000,3744000000,2933000000,2079000000,1950000000,1658000000,895000000,837000000,738000000
9,Other Expenses,18500000,1700000,400000,1600000,4000000,5700000,8000000,10500000,12300000,14300000,20800000,16800000,33700000,170700000,166700000,206634000,-21528000,208190000,-14947000,-22405000,73658000,-5830000,- -,-81344000,- -,- -,- -,-1585000000,-1728000000,-1727000000,-1353000000,-970000000,-910000000,-764000000,- -,1430000000,- -
