,https://roic.ai/company/BTG,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , 
1,Revenue,- -,- -,20638000,127521000,225352000,259051000,544272000,486624000,553656000,683293000,638677000,1225061000,1155637000,1788928000,1762264000
2,COGS,- -,- -,18221000,62762000,88150000,132029000,397326000,392756000,466627000,473217000,488393000,860405000,705177000,830641000,993712000
3,Gross Profit,- -,- -,2417000,64759000,137202000,127022000,146946000,93868000,87029000,210076000,150284000,364656000,450460000,958287000,768552000
4,Gross Profit Ratio,- -,- -,0.1171,0.5078,0.6088,0.4903,0.2700,0.1929,0.1572,0.3074,0.2353,0.2977,0.3898,0.5357,0.4361
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,4232550,10564332,11318000,16465000,22825000,41084000,58276000,61611000,56294000,59620000,67252000,84686000,74924000,69218000,75828000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",4232550,10564332,11318000,16465000,22825000,41084000,58276000,61611000,56294000,59620000,67252000,84686000,74924000,69218000,75828000
9,Other Expenses,46742,88822,2996000,25796000,27442000,5093000,7482000,21258000,5139000,11558000,3325000,6625000,3604000,5957000,6282000
10,Operating Expenses,4279292,10653154,14314000,42261000,50267000,46177000,65758000,82869000,61433000,71178000,70577000,91311000,78528000,75175000,82110000
11,COGS and Expenses,4279292,10653154,32535000,105023000,138417000,178206000,463084000,475625000,528060000,544395000,558970000,951716000,783705000,905816000,1075822000
12,Interest Income ,- -,- -,262000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,739000,5501000,611000,193000,2991000,5695000,16104000,10184000,12906000,31754000,26550000,15803000,11798000
14,Depreciation and Amortization,46743,88822,2281000,14305000,27442000,- -,2606000,- -,- -,- -,- -,- -,- -,- -,378892000
15,EBITDA,-4232549,-10564332,-25550000,55990000,108562000,77463000,92702000,-744643000,-132173000,79245000,77088000,208284000,493462000,1005881000,1076157000
16,EBITDA ratio,-Infinity,-Infinity,-1.2380,0.4391,0.4817,0.2990,0.1703,-1.5302,-0.2387,0.1160,0.1207,0.1700,0.4270,0.5623,0.6107
17,Operating Income,-6591778,-17098870,-11897000,22498000,85694000,84137000,113592000,-741298000,-96965000,126258000,86650000,219514000,508008000,1052934000,714633000
18,Operating Income ratio,-Infinity,-Infinity,-0.5765,0.1764,0.3803,0.3248,0.2087,-1.5233,-0.1751,0.1848,0.1357,0.1792,0.4396,0.5886,0.4055
19,Total Other Income Expenses (Gains),1938313,-13203899,-16673000,13686000,-5185000,-6867000,-26487000,-10152000,-46479000,-57728000,-17754000,-26801000,-25619000,-18506000,11594000
20,Income Before Tax,-4653465,-30302769,-28570000,36184000,80509000,77270000,87105000,-751450000,-143444000,68530000,68896000,192713000,482389000,1034428000,726227000
21,Income Before Tax Ratio,-Infinity,-Infinity,-1.3843,0.2837,0.3573,0.2983,0.1600,-1.5442,-0.2591,0.1003,0.1079,0.1573,0.4174,0.5782,0.4121
22,Income Tax expense (Gain),-457610,-307788,-782000,6694000,24209000,25363000,19802000,-85065000,1669000,29930000,7330000,147592000,173530000,362015000,265402000
23,Net Income,-4195855,-29994981,-27788000,29490000,56300000,51907000,67303000,-665273000,-149946000,39131000,56852000,28938000,293382000,628063000,420065000
24,Net Income ratio,-Infinity,-Infinity,-1.3464,0.2313,0.2498,0.2004,0.1237,-1.3671,-0.2708,0.0573,0.0890,0.0236,0.2539,0.3511,0.2384
25,EPS,-0.13,-0.21,-0.12,0.10,0.17,0.13,0.11,-0.90,-0.16,0.04,0.06,0.03,0.28,0.60,0.40
26,EPS Diluted,-0.13,-0.21,-0.12,0.09,0.16,0.13,0.07,-0.90,-0.16,0.04,0.06,0.03,0.28,0.59,0.40
27,Weighted Average Shares Outstanding,32384853,145806859,237087000,307068000,338541000,384733000,636130000,741097000,922114000,941737000,980932908,994621917,1030399987,1043385000,1043385000
28,Weighted Average Shares Outstanding Diluted,32384853,145806859,237087000,313572000,351875000,391940000,663785000,741097000,922114000,955145000,980932908,994621917,1030399987,1056302000,1056302000
29,SEC Link,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1429937/000106299314001818/0001062993-14-001818-index.html,- -,https://www.sec.gov/Archives/edgar/data/1429937/000106299316008596/0001062993-16-008596-index.html,https://www.sec.gov/Archives/edgar/data/1429937/000106299317001623/0001062993-17-001623-index.html,https://www.sec.gov/Archives/edgar/data/1429937/000106299318001330/0001062993-18-001330-index.html,https://www.sec.gov/Archives/edgar/data/1429937/000106299319001347/0001062993-19-001347-index.html,https://www.sec.gov/Archives/edgar/data/1429937/000106299320001433/0001062993-20-001433-index.html,- -,- -
30,BALANCE SHEET, , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,98982803,13232670,2924000,70012000,102292000,67949000,252736000,132564000,85143000,144671000,147468000,102752000,140596000,479685000,672999000
32,Short-Term Investments,- -,33048053,369000,483000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,98982803,46280723,3293000,70495000,102292000,67949000,252736000,132564000,85143000,144671000,147468000,102752000,140596000,479685000,672999000
34,Net Receivables,3146435,544559,9798000,11130000,20521000,26432000,46096000,31117000,32129000,27707000,41938000,26308000,48960000,33103000,63799000
35,Inventory,- -,- -,10263000,19438000,26695000,41608000,75665000,95991000,86324000,104691000,206445000,233971000,217923000,238055000,272354000
36,Other Current Assets,3149825,83415,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,11855000,36965000
37,Total Current Assets,105279063,46908697,23354000,101063000,149508000,135989000,374497000,259672000,203596000,277069000,395851000,363031000,407479000,762698000,1046117000
38,PP&E,8077646,55864742,170306000,235735000,341757000,432725000,1517277000,1722807000,1723366000,1950356000,2124133000,2035097000,2046731000,2387020000,2231831000
39,Goodwill,- -,- -,- -,- -,- -,- -,202070000,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2572016000,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,202070000,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,51914000,- -,70780000,105660000,170937000,86334000,52557000,63752000,75574000,76233000,133552000,85589000,136354000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,27433000,10907000,1336000,- -,1455000
44,Other Non-Current Assets,17283071,49449318,1780000,1056000,996000,2091000,44945000,49785000,44863000,44958000,62166000,62536000,93973000,127072000,145536000
