,https://roic.ai/company/BDSX,2018,2019,2020,2021
0,INCOME STATEMENT, , , , 
1,Revenue,20432000,24552000,45557000,54506000
2,COGS,4406000,6074000,21998000,- -
3,Gross Profit,16026000,18478000,23559000,- -
4,Gross Profit Ratio,0.7844,0.7526,0.5171,- -
5,Research and Development Exp.,8188000,10468000,10818000,12789000
6,General and Administrative Exp.,- -,30637000,34857000,- -
7,Selling and Marketing Exp.,25899000,30637000,34857000,- -
8,"Selling, General and Administrative Exp.",25899000,61274000,69714000,50517000
9,Other Expenses,- -,-30637000,-34857000,32140000
10,Operating Expenses,34087000,41105000,45675000,95446000
11,COGS and Expenses,38493000,47179000,67673000,- -
12,Interest Income ,24000,55000,18000,- -
13,Interest Expense (Gain),2916000,3008000,7604000,-4508000
14,Depreciation and Amortization,1740000,2793000,2903000,- -
15,EBITDA,-21510000,-24925000,-20843000,-47667000
16,EBITDA ratio,-1.0528,-1.0152,-0.4575,-0.8745
17,Operating Income,-23461000,-26741000,-22934000,-40940000
18,Operating Income ratio,-1.1482,-1.0892,-0.5034,-0.7511
19,Total Other Income Expenses (Gains),-2705000,-3985000,-8416000,-2219000
20,Income Before Tax,-26166000,-30726000,-31350000,-43159000
21,Income Before Tax Ratio,-1.2806,-1.2515,-0.6881,-0.7918
22,Income Tax expense (Gain),- -,- -,- -,- -
23,Net Income,-26166000,-30726000,-31350000,-43159000
24,Net Income ratio,-1.2806,-1.2515,-0.6881,-0.7918
25,EPS,-1.00,-1.16,-6.48,-1.58
26,EPS Diluted,-1.00,-1.16,-6.48,-1.58
27,Weighted Average Shares Outstanding,26131000,26131000,4838000,27365000
28,Weighted Average Shares Outstanding Diluted,26131000,26131000,4838000,27365000
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1439725/000156459021013512/0001564590-21-013512-index.htm,https://www.sec.gov/Archives/edgar/data/1439725/000095017022003495/0000950170-22-003495-index.htm
30,BALANCE SHEET, , , , 
31,Cash and Cash Equivalents,5914000,5286000,62126000,32712000
32,Short-Term Investments,- -,- -,- -,- -
33,Cash and Short-Term Investments,5914000,5286000,62126000,32712000
34,Net Receivables,1892000,5292000,15304000,3656000
35,Inventory,- -,- -,- -,- -
36,Other Current Assets,2107000,2122000,8710000,7245000
37,Total Current Assets,9913000,12700000,86140000,43613000
38,PP&E,1388000,2120000,3178000,4179000
39,Goodwill,10804000,11631000,15031000,15031000
40,Intangible Assets,16853000,15092000,13260000,11617000
41,Intangible Assets,27657000,26723000,28291000,26648000
42,Investments,- -,- -,- -,- -
