,https://roic.ai/company/JYNT,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , 
1,Revenue,2784942,5958067,7116662,13835431,20523640,25164004,31789249,48450900,58682976,81191981
2,COGS,1090533,2006196,2246439,2819913,2939609,3312194,4310249,5565917,6507468,8513777
3,Gross Profit,1694409,3951871,4870223,11015518,17584031,21851810,27479000,42884983,52175508,72678204
4,Gross Profit Ratio,0.6084,0.6633,0.6843,0.7962,0.8568,0.8684,0.8644,0.8851,0.8891,0.8951
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,2242821,2660101,5098793,15371223,22101083,18117533,20304131,30543030,36195817,49124490
7,Selling and Marketing Exp.,748915,781256,1188016,3691782,4419180,4473881,4819555,6913709,7804420,11424416
8,"Selling, General and Administrative Exp.",2991736,3441357,6286809,19063005,26520263,22591414,25123686,37456739,44000237,60548906
9,Other Expenses,49814,70725,210123,1268955,2566136,2017323,1556240,1899257,2734462,6088947
10,Operating Expenses,3041550,3512082,6496932,20331960,29086399,24608737,26679926,39355996,46734699,66637853
11,COGS and Expenses,4132083,5518278,8743371,23151873,32026008,27920931,30990175,44921913,53242167,75151630
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
14,Depreciation and Amortization,49814,70725,210123,1268955,2566136,2017323,1556240,1899257,2734462,6088947
15,EBITDA,-1261009,478514,-1480661,-7764221,-12443307,-1222030,1771595,5271675,8147114,12027585
16,EBITDA ratio,-0.4528,0.0803,-0.2081,-0.5612,-0.6063,-0.0486,0.0557,0.1088,0.1388,0.1481
17,Operating Income,-1347141,439789,-1626709,-9316442,-15022738,-3174898,205114,3414635,5492130,5352419
18,Operating Income ratio,-0.4837,0.0738,-0.2286,-0.6734,-0.7320,-0.1262,0.0065,0.0705,0.0936,0.0659
19,Total Other Income Expenses (Gains),36318,-32000,-64075,283266,13295,-64455,10241,-42217,-79478,586219
20,Income Before Tax,-1310823,407789,-1690784,-9033176,-15009443,-3239353,215355,3372418,5412652,5938638
21,Income Before Tax Ratio,-0.4707,0.0684,-0.2376,-0.6529,-0.7313,-0.1287,0.0068,0.0696,0.0922,0.0731
22,Income Tax expense (Gain),-574528,252154,1340436,-235855,164429,35880,-37728,48706,-7754662,-1220669
23,Net Income,-736295,155635,-3031220,-8797321,-15173872,-3275233,253083,3323712,13167314,7159307
24,Net Income ratio,-0.2644,0.0261,-0.4259,-0.6359,-0.7393,-0.1302,0.0080,0.0686,0.2244,0.0882
25,EPS,-0.08,0.02,-0.56,-0.88,-1.20,-0.25,0.02,0.24,0.94,0.50
26,EPS Diluted,-0.08,0.02,-0.56,-0.88,-1.20,-0.25,0.02,0.23,0.90,0.48
27,Weighted Average Shares Outstanding,9171601,9171601,5451851,10042001,12696649,13245119,13669107,13819149,14003708,14388905
28,Weighted Average Shares Outstanding Diluted,9171601,9171601,5451851,10042001,12696649,13245119,14031717,14467567,14582877,14970328
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1612630/000117184315001550/0001171843-15-001550-index.htm,https://www.sec.gov/Archives/edgar/data/1612630/000117184316008640/0001171843-16-008640-index.htm,https://www.sec.gov/Archives/edgar/data/1612630/000117184317001428/0001171843-17-001428-index.htm,https://www.sec.gov/Archives/edgar/data/1612630/000117184318001818/0001171843-18-001818-index.htm,https://www.sec.gov/Archives/edgar/data/1612630/000117184319001609/0001171843-19-001609-index.htm,https://www.sec.gov/Archives/edgar/data/1612630/000162828020003113/0001628280-20-003113-index.htm,https://www.sec.gov/Archives/edgar/data/1612630/000162828021004004/0001628280-21-004004-index.htm,https://www.sec.gov/Archives/edgar/data/1612630/000162828022005982/0001628280-22-005982-index.htm
30,BALANCE SHEET, , , , , , , , , , 
31,Cash and Cash Equivalents,3565592,3516750,20796783,16792850,3009864,4216221,8716874,8455989,20554258,19526119
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,3565592,3516750,20796783,16792850,3009864,4216221,8716874,8455989,20554258,19526119
34,Net Receivables,117252,420584,1128247,875128,1104573,1310308,1363324,2773809,1850499,3391120
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,2396524,1723465,1478001,1357165,1582219,1130242,1631147,2073874,2728947,3664091
37,Total Current Assets,6079368,5660799,23403031,19025143,5696656,6656771,11711345,13303672,25133704,26581330
38,PP&E,229580,400267,1134452,7138746,4724706,3800466,3658008,19068260,20328804,31636874
39,Goodwill,- -,- -,677204,2466937,2750338,2916426,2916426,4150461,4625604,5085203
40,Intangible Assets,- -,- -,153000,2542269,2338922,1760042,1634060,3219791,2865006,5403390
41,Intangible Assets,- -,- -,830204,5009206,5089260,4676468,4550486,7370252,7490610,10488593
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,644800,1265700,- -,- -,- -,- -,- -,- -,8007633,9261191
44,Other Non-Current Assets,2146410,2441669,3191341,2189233,1544239,1776265,3606513,3963483,4772092,6072622
45,Total Non-Current Assets,3020790,4107636,5155997,14337185,11358205,10253199,11815007,30401995,40599139,57459280
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,9100158,9768435,28559028,33362328,17054861,16909970,23526352,43705667,65732843,84040610
48,Accounts Payable,101363,226757,1271405,1996971,1054946,1068669,1253274,1525838,1561648,1705568
49,Short-Term Debt,- -,- -,- -,451850,331500,100000,1100000,2337362,5716617,6268490
50,Tax Payable,- -,419297,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,3218052,2760902,2044500,2579423,3077430,2553818,3364734,5937618,6905569,8559142
52,Other Current Liabilities,115098,601800,948681,2459138,1400008,1244802,3020115,3765496,4501810,6276872
53,Total Current Liabilities,3434513,3589459,4264586,7487382,5863884,4967289,8738123,13566314,18685644,22810072
54,Long-Term Debt,- -,- -,- -,130000,- -,1000000,- -,- -,2000000,16182300
55,Deferred Revenue,6762417,7252084,7915918,4369702,2231712,4693441,11239221,12366322,13503745,15458921
56,Deferred Tax Liabilities,- -,- -,- -,- -,120700,136434,76672,89863,- -,- -
57,Other Non-Current Liabilities,39724,147753,751171,695938,1913152,1213989,1111092,11962668,10792371,27231
58,Total Non-Current Liabilities,6802141,7399837,8667089,5195640,4265564,7043864,12426985,24418853,26296116,31668452
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,14272800,13753788,20450790
61,Total Liabilities,10236654,10989296,12931675,12683022,10129448,12011153,21165108,37985167,44981760,54478524
62,Preferred Stock,25,25,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,5340,5340,10197,13070,13317,13600,13757,13899,14174,14450
64,Retained Earnings,-2136596,-1980961,-5012181,-13809502,-28983374,-32258607,-35750908,-33637395,-20470081,-13551583
65,Other Comprehensive Income/Loss,-46322,-117047,-305644,-1098438,-2566172,-3928349,-4909002,-5671366,- -,- -
66,Other Total Stockholders Equity,1041057,871782,20934981,35574176,38461642,41072173,43007397,45015262,41206890,43074219
67,Total Stockholders Equity,-1136496,-1220861,15627353,20679306,6925413,4898817,2361244,5720400,20750983,29537086
68,Total Liabilities And Stockholders Equity,9100158,9768435,28559028,33362328,17054861,16909970,23526352,43705567,65732743,84015610
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,100,100,25000
70,Total Liabilities & Equity,9100158,9768435,28559028,33362328,17054861,16909970,23526352,43705667,65732843,84040610
71,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1612630/000117184315001550/0001171843-15-001550-index.htm,https://www.sec.gov/Archives/edgar/data/1612630/000117184316008640/0001171843-16-008640-index.htm,https://www.sec.gov/Archives/edgar/data/1612630/000117184317001428/0001171843-17-001428-index.htm,https://www.sec.gov/Archives/edgar/data/1612630/000117184318001818/0001171843-18-001818-index.htm,https://www.sec.gov/Archives/edgar/data/1612630/000117184319001609/0001171843-19-001609-index.htm,https://www.sec.gov/Archives/edgar/data/1612630/000162828020003113/0001628280-20-003113-index.htm,https://www.sec.gov/Archives/edgar/data/1612630/000162828021004004/0001628280-21-004004-index.htm,https://www.sec.gov/Archives/edgar/data/1612630/000162828022005982/0001628280-22-005982-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , 
73,Net Income,-736295,155635,-3031220,-8797321,-15173872,-3275233,253083,3323712,13167314,7159307
74,Depreciation and Amortization,49814,70725,210123,1268955,2566136,2017323,1556240,1899257,2734462,6088947
75,Deferred Income Tax,-576100,-552300,1758100,40800,120700,15734,-77020,1781,-8097494,-1173118
76,Stock Based Compensation,- -,- -,101830,825145,1123481,594371,628430,720651,885975,1056015
77,Change in Working Capital,3438518,-573515,17067105,-7600684,-11704989,1856710,1283740,-3235864,6710702,2109399
