,https://roic.ai/company/ORAN,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,23671794510,24674275080,27253696960,33767164360,43100824590,46592609240,46040241490,47122260720,49000375160,51701734840,53042442320,53614742580,45944000000,45503000000,45277000000,43515000000,40981000000,39445000000,40236000000,40918000000,41096000000,41381000000,42237000000,42270000000,42522000000
2,COGS,8356355280,8239253580,9692433870,12768362080,17649882640,18542890260,17193131590,17125241200,20133416260,22808742070,23192694050,23708093360,19170000000,19375000000,19638000000,19100000000,17965000000,17251000000,17697000000,18281000000,18475000000,18563000000,17897000000,17691000000,17973000000
3,Gross Profit,15315439230,16435021500,17561263090,20998802280,25450941950,28049718980,28847109900,29997019520,28866958900,28892992770,29849748270,29906649220,26774000000,26128000000,25639000000,24415000000,23016000000,22194000000,22539000000,22637000000,22621000000,22818000000,24340000000,24579000000,24549000000
4,Gross Profit Ratio,0.6470,0.6661,0.6444,0.6219,0.5905,0.6020,0.6266,0.6366,0.5891,0.5588,0.5628,0.5578,0.5828,0.5742,0.5663,0.5611,0.5616,0.5627,0.5602,0.5532,0.5504,0.5514,0.5763,0.5815,0.5773
5,Research and Development Exp.,808181010,769951980,593292630,450385020,567574550,575593880,477212030,563587520,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,10058000000,9214000000,8815000000,10363000000,9019000000,9066000000,9032000000,8866000000,8572000000,9074000000,8494000000,8490000000,9917000000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,10058000000,9214000000,8815000000,10363000000,9019000000,9066000000,9032000000,8866000000,8572000000,9074000000,8494000000,8490000000,9917000000
9,Other Expenses,10675443870,11533079160,12506847150,15679361240,19675168460,12568721330,18832803540,18617567840,10011827980,21338065780,18825073890,19138732620,8126000000,8036000000,8540000000,8007000000,7590000000,8015000000,8732000000,8380000000,8531000000,8805000000,9926000000,10389000000,10145000000
10,Operating Expenses,11483624880,12303031140,13100139780,16129746260,20242743010,13144315210,19310015570,19181155360,10011827980,21338065780,18825073890,19138732620,18184000000,17250000000,17355000000,18370000000,16609000000,17081000000,17764000000,17246000000,17103000000,17879000000,18420000000,18879000000,20062000000
11,COGS and Expenses,19839980160,20542284720,22792573650,28898108340,37892625650,31687205470,36503147160,36306396560,30145244240,44146807850,42017767940,42846825980,37354000000,36625000000,36993000000,37470000000,34574000000,34332000000,35461000000,35527000000,35578000000,36442000000,36317000000,36570000000,38035000000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,120000000,125000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2293000000,2117000000,2066000000,1801000000,1746000000,1653000000,1597000000,1407000000,1274000000,1341000000,1231000000,1220000000,950000000
14,Depreciation and Amortization,4691813490,4670871480,5024602240,6836695540,12720413380,15625849090,10334300450,9736638320,7028880750,7832999220,8123444280,7794707340,7104000000,6461000000,6735000000,6329000000,6052000000,6038000000,6465000000,6728000000,6846000000,7047000000,8349000000,8573000000,8555000000
15,EBITDA,7842719430,8413196220,9593054870,11823937700,1489180750,-2596843250,10948879670,14514591680,14300922780,14152133820,15765407820,14672812840,14689000000,15213000000,14783000000,10181000000,11076000000,10189000000,11363000000,12040000000,11114000000,11651000000,14033000000,13767000000,10700000000
16,EBITDA ratio,0.3313,0.3410,0.3520,0.3502,0.0346,-0.0557,0.2378,0.3080,0.2919,0.2737,0.2972,0.2737,0.3197,0.3343,0.3265,0.2340,0.2703,0.2583,0.2824,0.2942,0.2704,0.2816,0.3322,0.3257,0.2516
17,Operating Income,3831814350,4131990360,4461123310,4869056020,5208198940,14905403770,9537094330,10815864160,18401736450,6988174870,10816169900,10296685560,7859000000,7562000000,7948000000,4063000000,5288000000,4571000000,4742000000,4077000000,4917000000,4829000000,5927000000,5521000000,2521000000
18,Operating Income ratio,0.1619,0.1675,0.1637,0.1442,0.1208,0.3199,0.2071,0.2295,0.3755,0.1352,0.2039,0.1920,0.1711,0.1662,0.1755,0.0934,0.1290,0.1159,0.1179,0.0996,0.1196,0.1167,0.1403,0.1306,0.0593
19,Total Other Income Expenses (Gains),-680908410,-389665620,107329320,118186140,-16439431570,-33128096110,-8922515110,-6037910800,-11129694420,-3880130490,-3174206360,-3418580060,-2299000000,-2000000000,-2033000000,-1728000000,-1750000000,-1638000000,-1583000000,-2097000000,-1715000000,-1362000000,-1252000000,-1312000000,-783000000
