,https://roic.ai/company/ENLC,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , 
1,Revenue,388972000,454040000,1013663000,1978776000,3033048000,3141804000,3860431000,4907049000,1459090000,1792676000,2013942000,1655851000,1944312000,3478300000,4442700000,4263500000,5743800000,7693800000,6038500000,3915800000,6845000000
2,COGS,362833000,420011000,971738000,1904675000,2927297000,2970314000,3604610000,4654943000,1258262000,1559436000,1750555000,1424393000,1687272000,2774800000,3632600000,3519400000,4906800000,6585300000,5009500000,3027100000,5797400000
3,Gross Profit,26139000,34029000,41925000,74101000,105751000,171490000,255821000,252106000,200828000,233240000,263387000,231458000,257040000,703500000,810100000,744100000,837000000,1108500000,1029000000,888700000,1047600000
4,Gross Profit Ratio,0.0672,0.0749,0.0414,0.0374,0.0349,0.0546,0.0663,0.0514,0.1376,0.1301,0.1308,0.1398,0.1322,0.2023,0.1823,0.1745,0.1457,0.1441,0.1704,0.2270,0.1530
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,65083000,79993000,97300000,136900000,122500000,128600000,140300000,152600000,103300000,107800000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,65083000,79993000,97300000,136900000,122500000,128600000,140300000,152600000,103300000,107800000
9,Other Expenses,7761000,31178000,28575000,43700000,72045000,126792000,165897000,192114000,177993000,158016000,180874000,130882000,150858000,278200000,419900000,398500000,418700000,453400000,467100000,373800000,362900000
10,Operating Expenses,7761000,31178000,28575000,43700000,72045000,126792000,165897000,192114000,177993000,158016000,180874000,195965000,230851000,375500000,556800000,521000000,547300000,593700000,619700000,477100000,470700000
11,COGS and Expenses,370594000,451189000,1000313000,1948375000,2999342000,3097106000,3770507000,4847057000,1436255000,1717452000,1931429000,1620358000,1918123000,3150300000,4189400000,4040400000,5454100000,7179000000,5629200000,3504200000,6268100000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5400000,900000,- -,2900000,1400000,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,95078000,- -,79227000,86515000,76859000,49800000,108300000,137000000,161100000,180900000,212500000,218700000,215200000
14,Depreciation and Amortization,6208000,7745000,13542000,23034000,37197000,85486000,111565000,133030000,129812000,111625000,125358000,162300000,140285000,280300000,387300000,503900000,545300000,577300000,617000000,638600000,607500000
15,EBITDA,2290000,6103000,37147000,36883000,116380000,113059000,134790000,159673000,234512000,93953000,195810000,229692000,177294000,532500000,166100000,185500000,722400000,763200000,-282900000,579000000,870500000
16,EBITDA ratio,0.0059,0.0134,0.0366,0.0186,0.0384,0.0360,0.0349,0.0325,0.1607,0.0524,0.0972,0.1387,0.0912,0.1531,0.0374,0.0435,0.1258,0.0992,-0.0468,0.1479,0.1272
17,Operating Income,-1946000,2851000,13350000,30401000,33706000,44698000,89924000,28752000,19941000,73913000,74473000,34829000,-47636000,356300000,-1301900000,-674500000,294400000,153800000,-760800000,18000000,418500000
18,Operating Income ratio,-0.0050,0.0063,0.0132,0.0154,0.0111,0.0142,0.0233,0.0059,0.0137,0.0412,0.0370,0.0210,-0.0245,0.1024,-0.2930,-0.1582,0.0513,0.0200,-0.1260,0.0046,0.0611
19,Total Other Income Expenses (Gains),174000,-4493000,10255000,-16552000,45477000,-17295000,-77358000,-59932000,-98298000,-101447000,-78520000,-78211000,-75213000,-28200000,-82100000,-209100000,-171200000,-168400000,-231900000,-190400000,-250200000
20,Income Before Tax,- -,-1642000,23605000,13849000,79183000,27403000,12566000,-31180000,-78357000,-27534000,-4047000,-43382000,-122849000,328100000,-1384000000,-883600000,123200000,-14600000,-992700000,-172400000,168300000
