,https://roic.ai/company/BGS,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,179780000,336112000,351416000,332433000,293677000,328356000,- -,379262000,411300000,471300000,- -,486900000,501000000,543866000,633800000,725000000,- -,848017000,1391257000,1646387000,1700764000,1660414000,- -,1967909000
2,COGS,108186000,180062000,200651000,192525000,203707000,226174000,- -,275768000,297100000,323300000,- -,353000000,352300000,366090000,410500000,482100000,- -,600246000,943295000,1205809000,1351264000,1277290000,- -,1486169000
3,Gross Profit,71594000,156050000,150765000,139908000,89970000,102182000,- -,103494000,114200000,148000000,- -,133900000,148700000,177776000,223300000,242900000,- -,247771000,447962000,440578000,349500000,383124000,- -,481740000
4,Gross Profit Ratio,0.3982,0.4643,0.4290,0.4209,0.3064,0.3112,- -,0.2729,0.2777,0.3140,- -,0.2750,0.2968,0.3269,0.3523,0.3350,- -,0.2922,0.3220,0.2676,0.2055,0.2307,- -,0.2448
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,55155000,121044000,113668000,101696000,- -,- -,- -,- -,7657000,9716000,- -,8712000,10916000,- -,65000000,71600000,- -,85718000,- -,183448000,167389000,160745000,- -,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,45343000,51684000,- -,44888000,43084000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",55155000,121044000,113668000,101696000,- -,- -,- -,- -,53000000,61400000,- -,53600000,54000000,- -,65000000,71600000,- -,85718000,- -,183448000,167389000,160745000,- -,- -
9,Other Expenses,250000,450000,750000,1450000,41363000,46290000,- -,48487000,200000,7300000,- -,6400000,16600000,64297000,19700000,48600000,- -,51703000,188562000,20382000,-144908000,19720000,- -,205302000
10,Operating Expenses,55405000,121494000,114418000,103146000,41363000,46290000,- -,48487000,53200000,68700000,- -,60000000,70600000,64297000,84700000,120200000,- -,137421000,188562000,203830000,22481000,180465000,- -,205302000
11,COGS and Expenses,163591000,301556000,315069000,295671000,245070000,272464000,- -,324255000,350300000,392000000,- -,413000000,422900000,430387000,495200000,602300000,- -,737667000,1131857000,1409639000,1373745000,1457755000,- -,1691471000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,-43481000,-52688000,- -,-58067000,-49432000,36675000,47660000,41813000,- -,46573000,74456000,-91784000,-108334000,-98126000,- -,101634000
14,Depreciation and Amortization,7183000,15148000,15754000,14290000,5300000,6014000,- -,9703000,10814000,16488000,- -,15552000,17454000,16229000,18853000,24077000,- -,27434000,37266000,49172000,53639000,70130000,- -,75660000
15,EBITDA,9464000,19830000,16028000,24317000,29805000,30701000,- -,22943000,-15105000,-7760000,- -,-26731000,-3354000,129708000,157467000,146739000,- -,137784000,288788000,105450000,167582000,76896000,- -,354656000
16,EBITDA ratio,0.0526,0.0590,0.0456,0.0731,0.1015,0.0935,- -,0.0605,-0.0367,-0.0165,- -,-0.0549,-0.0067,0.2385,0.2484,0.2024,- -,0.1625,0.2076,0.0640,0.0985,0.0463,- -,0.1802
17,Operating Income,16189000,34556000,36347000,36762000,48607000,55892000,- -,55007000,60491000,81153000,- -,73884000,88317000,113479000,149005000,153996000,- -,116098000,253995000,239402000,340154000,203836000,- -,276438000
18,Operating Income ratio,0.0900,0.1028,0.1034,0.1106,0.1655,0.1702,- -,0.1450,0.1471,0.1722,- -,0.1517,0.1763,0.2087,0.2351,0.2124,- -,0.1369,0.1826,0.1454,0.2000,0.1228,- -,0.1405
19,Total Other Income Expenses (Gains),-13908000,-29874000,-36073000,-26735000,-24102000,-31205000,- -,-41767000,-42991000,-52653000,- -,-58084000,-59617000,-36675000,-58105000,-73096000,- -,-52321000,-76929000,-91340000,-117877000,-98144000,- -,-99076000
