,https://roic.ai/company/BKI,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , 
1,Revenue,1368800000,852100000,930700000,1026000000,1051600000,1114000000,1177200000,1238500000,1475200000
2,COGS,1020700000,514900000,538200000,582600000,569500000,625400000,646000000,- -,- -
3,Gross Profit,348100000,337200000,392500000,443400000,482100000,488600000,531200000,1238000000,- -
4,Gross Profit Ratio,0.2543,0.3957,0.4217,0.4322,0.4584,0.4386,0.4512,0.9996,- -
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,- -,- -,- -,- -,- -,- -,- -,- -
9,Other Expenses,1153600000,703700000,732500000,790900000,776000000,842400000,882200000,940300000,1158900000
10,Operating Expenses,1153600000,703700000,732500000,790900000,776000000,842400000,882200000,940300000,1158900000
11,COGS and Expenses,1153600000,703700000,732500000,790900000,776000000,842400000,882200000,940300000,1158900000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),39600000,128700000,89800000,67600000,57500000,51700000,63500000,62900000,83600000
14,Depreciation and Amortization,79700000,188800000,194300000,208300000,206500000,217000000,236200000,270700000,365000000
15,EBITDA,283800000,205100000,317500000,347500000,384500000,474900000,450400000,639300000,692200000
16,EBITDA ratio,0.2073,0.2407,0.3411,0.3387,0.3656,0.4263,0.3826,0.5162,0.4692
17,Operating Income,203200000,29100000,190200000,232800000,262500000,265000000,289600000,266800000,303000000
18,Operating Income ratio,0.1485,0.0342,0.2044,0.2269,0.2496,0.2379,0.2460,0.2154,0.2054
19,Total Other Income Expenses (Gains),-37700000,-140700000,-94400000,-74000000,-70100000,-58800000,-64900000,-46500000,-90000000
