,https://roic.ai/company/CPWR,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , 
1,Revenue,- -,- -,- -,771651,1151962,1310584,867341,672755,569845,252361,122319,8347,3856,49,- -,- -,- -,- -,- -
2,COGS,- -,- -,- -,280027,418562,466117,336974,357770,352754,34832,43428,3099,40,- -,- -,- -,- -,- -,- -
3,Gross Profit,- -,- -,- -,491624,733400,844467,530367,314985,217091,217529,78891,5248,3816,49,- -,- -,- -,- -,- -
4,Gross Profit Ratio,- -,- -,- -,0.6371,0.6367,0.6443,0.6115,0.4682,0.3810,0.8620,0.6450,0.6287,0.9896,1.0000,- -,- -,- -,- -,- -
5,Research and Development Exp.,- -,- -,- -,152552,210965,938621,194003,162245,159196,108408,60878,341,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,15736,1005885,901849,712681,572767,359056,254282,186550,131616,53146,238784,420661,5883661,3158968,1798037,255500,1151226
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,157483,112035,131063,75823,33088,5527,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",150,150,15736,1005885,901849,870164,684802,490119,330105,219638,137143,53146,238784,420661,5883661,3158968,1798037,2783950,1151226
9,Other Expenses,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,830655
10,Operating Expenses,- -,- -,15736,1158437,1112814,1808785,878805,652364,489301,328046,198021,53487,238784,420661,5883661,3158968,1798037,2783950,1981881
11,COGS and Expenses,150,150,15736,1438464,1531376,2274902,1215779,1010134,842055,362878,241449,56586,238824,420661,5883661,3158968,1798037,2783950,- -
12,Interest Income ,- -,- -,- -,537,309,1119,1200,137,2,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,335,91988,59004,30861,30946,63046,85043,97272,66252,51110,111774,75964,659709,2442117,2388774,1428710,1745194
14,Depreciation and Amortization,- -,- -,- -,12448,11971,11413,13636,15351,15335,13990,5628,2701,- -,- -,1014,680,672,212087,362259
15,EBITDA,-150,-150,-15736,-616328,-211211,-349251,426024,-321830,-256873,-96527,-101252,29462,-234968,-420612,-5882647,-3158288,-1797365,-2571863,-1619622
16,EBITDA ratio,-Infinity,-Infinity,-Infinity,-0.7987,-0.1833,-0.2665,0.4912,-0.4784,-0.4508,-0.3825,-0.8278,3.5297,-60.9357,-8583.9184,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity
17,Operating Income,-150,-150,-15736,-666813,-379414,-964318,-348438,-337379,-272210,-110517,-119130,-48239,-234968,-420612,-12702221,-4051607,-1798037,-2783950,-1981881
18,Operating Income ratio,-Infinity,-Infinity,-Infinity,-0.8641,-0.3294,-0.7358,-0.4017,-0.5015,-0.4777,-0.4379,-0.9739,-5.7792,-60.9357,-8583.9184,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity
19,Total Other Income Expenses (Gains),- -,- -,- -,-53951,97228,572793,-29682,-62848,-85041,-97272,-54002,23890,-111774,-75964,-1889454,-3828406,-3082154,-3666507,-688756
20,Income Before Tax,- -,- -,- -,-720764,-282186,-391525,-378120,-400227,-357251,-207789,-173132,-24349,-346742,-496576,-14591675,-7880013,-4880191,-6450457,-2670637
21,Income Before Tax Ratio,- -,- -,- -,-0.9341,-0.2450,-0.2987,-0.4360,-0.5949,-0.6269,-0.8234,-1.4154,-2.9171,-89.9227,-10134.2041,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
23,Net Income,-150,-150,-16071,-720764,-282186,-391525,381442,-400227,-357251,-207789,-173132,-24349,-346742,-496576,-14591675,-7880013,-4880191,-6450457,-2670637
24,Net Income ratio,-Infinity,-Infinity,-Infinity,-0.9341,-0.2450,-0.2987,0.4398,-0.5949,-0.6269,-0.8234,-1.4154,-2.9171,-89.9227,-10134.2041,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity
25,EPS,-0.01,-0.01,-0.92,-4.61,-1.15,-2.31,2.31,-2.31,-2.31,-1.15,-1.15,-0.12,-1.15,-0.98,-0.13,-0.06,-0.04,-0.05,-0.02
26,EPS Diluted,-0.01,-0.01,-0.92,-4.61,-1.15,-2.31,2.31,-2.31,-2.31,-1.15,-1.15,-0.12,-1.15,-0.98,-0.13,-0.06,-0.04,-0.05,-0.02
27,Weighted Average Shares Outstanding,17421,17421,17421,166233,180421,184399,185435,189723,195620,199694,206360,208364,400765,504953,111735383,124725638,133582149,136330320,136330320
28,Weighted Average Shares Outstanding Diluted,17421,17421,17421,166233,180421,184399,185435,189723,195620,199694,206360,208364,400765,504953,111735383,124725638,133582149,136330320,136330320
