,https://roic.ai/company/IVR,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , 
1,Revenue,- -,20904000,107542000,302655000,376523000,191789000,-155808000,146988000,297112000,405944000,-26120000,408051000,-1648259000,-63405000
2,COGS,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
3,Gross Profit,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
4,Gross Profit Ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,3464000,12093000,30118000,39684000,53144000,52866000,46401000,41806000,44746000,47792000,46174000,40230000,29233000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,3464000,12093000,30118000,39684000,53144000,52866000,46401000,41806000,44746000,47792000,46174000,40230000,29233000
9,Other Expenses,- -,4536000,29907000,154882000,237316000,330856000,276134000,277599000,157194000,196254000,339208000,471826000,- -,- -
10,Operating Expenses,- -,8000000,42000000,185000000,277000000,384000000,329000000,324000000,199000000,241000000,387000000,518000000,- -,- -
11,COGS and Expenses,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
12,Interest Income ,- -,23529000,134229000,453352000,566830000,682360000,693938000,644495000,478682000,545055000,643016000,778367000,280166000,169202000
13,Interest Expense (Gain),- -,4627000,29556000,155241000,237405000,332252000,281895000,277973000,157354000,196591000,338868000,472320000,82262000,-11290000
14,Depreciation and Amortization,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-21383000
15,EBITDA,- -,19721000,127955000,437156000,577290000,473872000,82450000,381943000,411765000,545198000,268078000,836421000,-1592090000,-122673000
16,EBITDA ratio,- -,0.9434,1.1898,1.4444,1.5332,2.4708,-0.5292,2.5985,1.3859,1.3430,-10.2633,2.0498,0.9659,1.9348
17,Operating Income,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
18,Operating Income ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
19,Total Other Income Expenses (Gains),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
20,Income Before Tax,- -,- -,- -,- -,344008000,143106000,-201746000,105211000,257698000,353057000,-70536000,364101000,-1674352000,-90000000
21,Income Before Tax Ratio,- -,- -,- -,- -,0.9136,0.7462,1.2948,0.7158,0.8673,0.8697,2.7005,0.8923,1.0158,1.4194
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
23,Net Income,- -,15094000,98399000,281915000,339885000,141620000,-199445000,103970000,254411000,348607000,-70790000,364101000,-1674352000,-90000000
24,Net Income ratio,- -,0.7221,0.9150,0.9315,0.9027,0.7384,1.2801,0.7073,0.8563,0.8588,2.7102,0.8923,1.0158,1.4194
25,EPS,- -,3.37,3.78,3.27,2.89,0.99,-1.76,0.67,2.07,2.87,-1.03,2.42,-9.89,-0.27
26,EPS Diluted,- -,3.37,3.78,3.27,2.89,0.99,-1.76,0.67,1.98,2.75,-1.03,2.42,-9.89,-0.27
27,Weighted Average Shares Outstanding,8600000,4480000,26039000,86365000,115559000,132089899,123194886,121377585,111858454,111681882,111860194,132097107,173730389,329907996
28,Weighted Average Shares Outstanding Diluted,8600000,5198000,27468000,87804000,117012000,132089899,123194886,122843838,116942929,116555273,111860194,132097107,173730389,329907996
