,https://roic.ai/company/AMPY,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , 
1,Revenue,30241000,89320000,214277000,258831000,513790000,654994000,324185000,- -,225094000,205082000,275575000,202144000,342916000
2,COGS,8075000,11114000,14523000,156061000,329265000,362937000,295662000,- -,143626000,116470000,198236000,181526000,- -
3,Gross Profit,22166000,78206000,199754000,102770000,184525000,292057000,28523000,- -,81468000,88612000,77339000,20618000,- -
4,Gross Profit Ratio,0.7330,0.8756,0.9322,0.3971,0.3591,0.4459,0.0880,- -,0.3619,0.4321,0.2806,0.1020,- -
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,6006000,17022000,69249000,30541000,53250000,48733000,38703000,- -,29352000,24540000,55288000,27789000,25285000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",6006000,17022000,69249000,30541000,53250000,48733000,38703000,- -,29352000,24540000,55288000,27789000,25285000
9,Other Expenses,17634000,50560000,106933000,25644000,29287000,31080000,-2612000,- -,9969000,12526000,25076000,19456000,96113000
10,Operating Expenses,23640000,67582000,176182000,56185000,82537000,79813000,36091000,- -,39321000,37066000,80364000,47245000,121398000
11,COGS and Expenses,31715000,78696000,190705000,212246000,411802000,442750000,331753000,- -,182947000,153536000,278600000,228771000,368525000
12,Interest Income ,6000,9000,23000,245000,33000,39000,115000,- -,9000,33000,- -,- -,- -
13,Interest Expense (Gain),- -,- -,2094000,12999000,83138000,137548000,178096000,- -,5207000,4024000,16855000,20522000,-12099000
14,Depreciation and Amortization,- -,- -,- -,- -,- -,- -,- -,75276000,- -,- -,- -,- -,17977000000
15,EBITDA,-11752000,-15635000,18751000,20788000,-407376000,260872000,-1628740000,- -,-79870000,53808000,-18392000,-443393000,17932837000
16,EBITDA ratio,-0.3886,-0.1750,0.0875,0.0803,-0.7929,0.3983,-5.0241,- -,-0.3548,0.2624,-0.0667,-2.1935,52.2951
17,Operating Income,-11758000,-15644000,18728000,20543000,-407409000,260833000,-1643803000,- -,-79494000,54251000,-11971000,-441889000,-25609000
18,Operating Income ratio,-0.3888,-0.1751,0.0874,0.0794,-0.7929,0.3982,-5.0706,- -,-0.3532,0.2645,-0.0434,-2.1860,-0.0747
19,Total Other Income Expenses (Gains),-10284000,-26268000,-4844000,-12754000,-83105000,-137509000,-163033000,- -,-5583000,-4467000,-23276000,-22026000,-6455000
20,Income Before Tax,- -,- -,- -,7789000,-490514000,123324000,-1806836000,- -,-85077000,49784000,-35247000,-463915000,-32064000
21,Income Before Tax Ratio,- -,- -,- -,0.0301,-0.9547,0.1883,-5.5735,- -,-0.3780,0.2428,-0.1279,-2.2950,-0.0935
22,Income Tax expense (Gain),- -,- -,- -,157886000,-146529000,6395000,-9641000,- -,- -,- -,-50000,115000,6000
23,Net Income,-11752000,-15635000,16657000,-150097000,-343985000,116929000,-1797195000,- -,-85077000,49784000,-35197000,-464030000,-32070000
24,Net Income ratio,-0.3886,-0.1750,0.0777,-0.5799,-0.6695,0.1785,-5.5437,- -,-0.3780,0.2428,-0.1277,-2.2955,-0.0935
25,EPS,-1.10,-1.47,1.56,-25.00,-54.70,10.10,-232.74,- -,-3.39,1.91,-1.20,-12.34,-0.84
26,EPS Diluted,-1.10,-1.47,1.56,-25.00,-54.70,10.10,-232.74,- -,-3.39,1.91,-1.20,-12.34,-0.84
27,Weighted Average Shares Outstanding,10645000,10645000,10645000,5997900,6576600,6644000,7726000,24994867,25119000,25337000,29301000,37612000,38024142
28,Weighted Average Shares Outstanding Diluted,10645000,10645000,10645000,5997900,6576600,6644000,7726000,24994867,25119000,25337000,29301000,37612000,38024142
29,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1533924/000104746913003196/0001047469-13-003196-index.html,https://www.sec.gov/Archives/edgar/data/1533924/000104746914002865/a2218798z10-k.htm,https://www.sec.gov/Archives/edgar/data/1533924/000104746915002257/a2223529z10-k.htm,https://www.sec.gov/Archives/edgar/data/1533924/000104746916011743/0001047469-16-011743-index.html,https://www.sec.gov/Archives/edgar/data/1533924/000104746917002204/0001047469-17-002204-index.html,https://www.sec.gov/Archives/edgar/data/1533924/000110465918017491/0001104659-18-017491-index.html,https://www.sec.gov/Archives/edgar/data/1533924/000110465919014838/0001104659-19-014838-index.html,https://www.sec.gov/Archives/edgar/data/1533924/000156459020008959/0001564590-20-008959-index.html,https://www.sec.gov/Archives/edgar/data/1533924/000156459021012491/0001564590-21-012491-index.htm,https://www.sec.gov/Archives/edgar/data/1533924/000155837022003152/0001558370-22-003152-index.htm
