,https://roic.ai/company/JP,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , 
1,Revenue,51647039,135934947,241376927,612513383,1127710444,1706161622,1321743663,785947212,388171743,359054000
2,COGS,2266220,22441251,66107986,242884999,477034912,737507904,684558659,481746067,205634704,156114000
3,Gross Profit,49380819,113493696,175268941,369628384,650675532,968653718,637185004,304201145,182537039,202940000
4,Gross Profit Ratio,0.9561,0.8349,0.7261,0.6035,0.5770,0.5677,0.4821,0.3871,0.4702,0.5652
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,12089094,26732203,43479517,94477774,155958876,204052576,274782664,265527496,153650898,119450000
7,Selling and Marketing Exp.,5397106,23312865,35781631,89653599,237297482,282171751,303170575,206777405,84903304,90063000
8,"Selling, General and Administrative Exp.",17486200,50045068,79261149,184131373,393256358,486224327,577953239,472304901,238554202,209513000
9,Other Expenses,-1225511,-4711321,-14663441,-24381711,-37385834,-41138443,-48742897,-31429802,-21590703,-5397000
10,Operating Expenses,16260689,45333747,64597708,159749661,355870524,445085884,529210342,440875099,216963499,204116000
11,COGS and Expenses,18526909,67774997,130705694,402634660,832905436,1182593788,1213769001,922621166,422598203,360230000
12,Interest Income ,55977,394491,1161746,2877201,3712918,11385895,3990096,6136600,5162441,7516000
13,Interest Expense (Gain),- -,94552,92804,- -,- -,- -,- -,- -,- -,7516000
14,Depreciation and Amortization,82186,514569,2336493,13402817,29679790,32572171,36289554,26101844,16339376,- -
15,EBITDA,34511373,75501233,126426852,240619094,319875790,565062859,-221599097,-85639592,-14231748,-258001000
16,EBITDA ratio,0.6682,0.5554,0.5238,0.3928,0.2837,0.3312,-0.1677,-0.1090,-0.0367,-0.7186
17,Operating Income,33120130,68159950,110671233,209878723,294805008,523567834,-159942913,-136673954,-34426460,-1176000
18,Operating Income ratio,0.6413,0.5014,0.4585,0.3427,0.2614,0.3069,-0.1210,-0.1739,-0.0887,-0.0033
19,Total Other Income Expenses (Gains),2071014,6921230,14441792,27069779,16313237,19357470,8487136,22172742,211297,-287228000
20,Income Before Tax,35191144,75081180,125113025,236948502,311118245,542925304,-151455777,-114501212,-34215163,-288404000
21,Income Before Tax Ratio,0.6814,0.5523,0.5183,0.3868,0.2759,0.3182,-0.1146,-0.1457,-0.0881,-0.8032
22,Income Tax expense (Gain),9544077,19410221,34844884,69224770,82612132,122998509,129855367,52944639,796524,2345000
23,Net Income,24885110,55481891,89152670,157991508,207583868,409492179,-387744018,-164686075,-31367648,-267862000
24,Net Income ratio,0.4818,0.4082,0.3694,0.2579,0.1841,0.2400,-0.2934,-0.2095,-0.0808,-0.7460
25,EPS,1.30,2.84,4.84,6.54,6.47,12.60,-11.60,-4.90,-0.94,-2.55
26,EPS Diluted,1.30,2.75,4.84,6.23,6.21,11.97,-11.60,-4.90,-0.94,-2.49
27,Weighted Average Shares Outstanding,19074227,19522534,19074227,19020717,32112336,32577902,33413485,33615983,33405213,104899000
28,Weighted Average Shares Outstanding Diluted,19074227,20144265,19074227,19933158,33460986,34278651,33413485,33615983,33405213,107486000
29,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1616291/000110465916113377/a16-1328_120f.htm,https://www.sec.gov/Archives/edgar/data/1616291/000110465917022091/a16-23155_120f.htm,https://www.sec.gov/Archives/edgar/data/1616291/000110465918023548/a18-5393_120f.htm,https://www.sec.gov/Archives/edgar/data/1616291/000110465919023844/a19-2729_120f.htm,https://www.sec.gov/Archives/edgar/data/1616291/000110465920050552/a20-5556_120f.htm,- -,- -
30,BALANCE SHEET, , , , , , , , , , 
31,Cash and Cash Equivalents,- -,32381935,195752356,795279104,1123166156,1527777270,1298565042,711205698,630416786,601770000
32,Short-Term Investments,- -,41249442,79873809,74295069,25210000,23203612,4723612,- -,- -,167000
33,Cash and Short-Term Investments,- -,73631377,275626166,869574173,1148376156,1550980882,1303288654,711205698,630416786,601937000
34,Net Receivables,- -,77898695,36313398,71451814,264714248,345261913,259457874,109318538,81443744,60288000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,5282463,20172139,52665656,68342559,12276204,19320791,6084541,42853851,23876000
37,Total Current Assets,- -,156812534,332111702,993691644,1481432963,1908518999,1582067319,826608777,754714381,686101000
38,PP&E,- -,2806752,8433814,16060529,37199812,44957054,36267042,96784861,56213149,42973000
39,Goodwill,- -,- -,- -,259643314,277752765,261621691,297031,- -,- -,- -
40,Intangible Assets,- -,- -,- -,54739163,83072545,74350855,58124608,38250479,34177021,30807000
41,Intangible Assets,- -,- -,- -,314382477,360825310,335972546,58421639,38250479,34177021,30807000
42,Investments,- -,37152132,74937533,140003648,156280444,232372556,126212431,336491000,319291909,325006000
43,Tax Assets,- -,515678,753037,8071364,8494738,71807042,100985228,4608063,4312491,4161000
44,Other Non-Current Assets,- -,- -,1317865,96762453,83821152,32459581,76540374,247003763,242693365,240569000
45,Total Non-Current Assets,- -,40474561,85442249,575280471,646621456,717568779,398426714,723138166,656687935,643516000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,197287095,417553950,1568972115,2128054419,2626087778,1980494033,1549746943,1411402316,1329617000
48,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
50,Tax Payable,- -,28756354,39679256,142517937,196321095,236549962,270547516,83495289,88236637,86200000
51,Deferred Revenue,- -,6894571,54277360,141871280,158076445,189468365,130669882,77728462,18963227,14394000
52,Other Current Liabilities,- -,39621049,66461066,235541524,324861291,508504845,458236230,239454088,222548261,463084000
53,Total Current Liabilities,- -,46515621,120738426,377412804,482937736,697973210,588906112,317182550,241511488,477478000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,28518789,12619411,10046000
55,Deferred Revenue,- -,2062712,3012183,34260541,81091522,69529400,24240899,5229496,12709468,1457000
56,Deferred Tax Liabilities,- -,- -,- -,13684789,9815595,4717167,198187,- -,- -,- -
57,Other Non-Current Liabilities,- -,13303996,242416794,39647590,5938816,- -,- -,- -,- -,- -
58,Total Non-Current Liabilities,- -,15366708,245428978,87592920,96845933,74246567,24439086,33748285,25328879,11503000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,28518789,12619411,10046000
61,Total Liabilities,- -,61882329,366167404,465005723,579783669,772219777,613345198,350930835,266840367,488981000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,303012,189951,582926,606170,620953,631715,632601,623201,- -
64,Retained Earnings,- -,89512769,955660,158991651,362922123,661218074,147118546,-17567529,-48935177,- -
65,Other Comprehensive Income/Loss,- -,3801328,3564804,-22672759,77171557,40770443,53153406,54141670,37929187,- -
66,Other Total Stockholders Equity,- -,37850926,42147118,949643028,1059906023,1116742286,1138107676,1150352309,1148823625,- -
67,Total Stockholders Equity,- -,131468035,46857534,1086544846,1500605873,1819351756,1339011343,1187559051,1138440836,840636000
68,Total Liabilities And Stockholders Equity,- -,193350363,413024938,1551550569,2080389542,2591571533,1952356541,1538489886,1405281203,1329617000
69,Minority Interest,- -,3936732,4529012,17421546,47664877,34516245,28137492,11257057,6121113,- -
70,Total Liabilities & Equity,- -,197287095,417553950,1568972115,2128054419,2626087778,1980494033,1549746943,1411402316,1329617000
71,SEC Link,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1616291/000110465916113377/a16-1328_120f.htm,https://www.sec.gov/Archives/edgar/data/1616291/000110465917022091/a16-23155_120f.htm,https://www.sec.gov/Archives/edgar/data/1616291/000110465918023548/a18-5393_120f.htm,https://www.sec.gov/Archives/edgar/data/1616291/000110465919023844/a19-2729_120f.htm,https://www.sec.gov/Archives/edgar/data/1616291/000110465920050552/a20-5556_120f.htm,- -,- -
72,CASH FLOW STATEMENT, , , , , , , , , , 
73,Net Income,24885110,55481891,89152670,157991508,207583868,409492179,-387744018,-164686075,-31367648,- -
74,Depreciation and Amortization,82186,514569,2336493,13402817,29679790,32572171,36289554,26101844,16339376,- -
75,Deferred Income Tax,- -,-2587983,- -,-35230640,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,3093828,16363054,21423694,30455939,18108942,9583596,3593400,- -
77,Change in Working Capital,-13902901,54328864,53412469,180355893,-91544076,129210303,-168389004,-134938889,-6069724,- -
78,Accounts Receivable,-7748895,4489783,-2470219,-20322681,-25988894,-1400646,-6713876,32449697,-6539,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
81,Other Working Capital,1467499,7161258,36630611,70816479,49152130,1701990,-137907656,24552892,-50989689,- -
82,Other Non-Cash Items,-1253081,-2856397,3629118,28719169,21120453,15796464,434012893,50683702,18040055,- -
83,Cash Provided by Operating Activities,9811314,104880944,151624579,361601801,188263729,617527056,-67721633,-213255822,535459,- -
84,CAPEX,-680357,-2740550,-7961896,-12465917,-52634072,-39065784,-9308534,-13203815,-2143055,- -
85,Acquisitions Net,-4202061,-7903498,-7083290,-75858747,-27029351,-17614800,3121889,-11787910,5714573,- -
86,Purchases of Investments,-26631837,-35771294,-154027098,-299461191,-15360767,-179745612,- -,-200000000,- -,- -
87,Sales/Maturities of Investments,- -,12039824,74672996,323677361,100200000,196542000,8480000,34200000,- -,- -
88,Other Investing Activites,-2774460,-57363426,56889463,3569566,-3297719,-34157786,-43175045,-174871729,-36000000,- -
89,Cash Used for Investing Activites,-34288715,-91738943,-37509825,-60538929,1878091,-74041982,-40881690,-365663454,-32428482,- -
90,Debt Repayment,- -,-14976368,- -,- -,- -,- -,- -,- -,- -,- -
91,Common Stock Issued,29720865,- -,- -,358543219,114399705,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,-47542266,-10078713,- -,- -,- -,-7085100,- -
93,Dividends Paid,- -,- -,- -,- -,- -,-111196228,-126355510,- -,- -,- -
94,Other Financing Activites,694851,27855057,48142442,-1111867,10085437,-9951429,4925989,29636,- -,- -
95,Cash Used/Provided by Financing Activities,30415716,12878689,48142442,309889086,114406429,-121147657,-121429521,29636,-7085100,- -
96,Effect of Forex Changes on Cash,13688,545870,349929,-20536730,23120744,-17726303,4820616,-11369704,-16091630,- -
97,Net Change In Cash,5952003,26566559,162607125,590415228,327668993,404611114,-225212228,-590259344,-55069753,- -
98,Cash at the End of Period,5989610,32381935,195752356,795279104,1123166156,1527777270,1302565042,712305698,657235945,- -
99,Cash at the Beginning of Period,37607,5815376,33145231,204863876,795497163,1123166156,1527777270,1302565042,712305698,- -
100,Free Cash Flow,9130957,102140394,143662684,349135883,135629657,578461272,-77030167,-226459637,-1607596,- -
101,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1616291/000110465916113377/a16-1328_120f.htm,https://www.sec.gov/Archives/edgar/data/1616291/000110465917022091/a16-23155_120f.htm,https://www.sec.gov/Archives/edgar/data/1616291/000110465918023548/a18-5393_120f.htm,https://www.sec.gov/Archives/edgar/data/1616291/000110465919023844/a19-2729_120f.htm,https://www.sec.gov/Archives/edgar/data/1616291/000110465920050552/a20-5556_120f.htm,- -,undefined
102,Forex Rate,0.1605,0.1652,0.1611,0.154,0.1439,0.1537,0.1453,0.1436,0.1532,0.1572
