,https://roic.ai/company/AMBO,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
0,INCOME STATEMENT, , , , , , , , , , , , , , 
1,Revenue,318931000,508369000,902026000,1404884000,1669212000,1343763000,1140487000,411998000,395715000,412016000,443924000,531508000,583909000,531980000
2,COGS,205619000,327168000,408985000,581029000,715332000,857914000,742637000,274036000,245945000,238742000,256395000,338143000,388894000,387490000
3,Gross Profit,113312000,181201000,493041000,823855000,953880000,485849000,397850000,137962000,149770000,173274000,187529000,193365000,195015000,144490000
4,Gross Profit Ratio,0.3553,0.3564,0.5466,0.5864,0.5715,0.3616,0.3488,0.3349,0.3785,0.4206,0.4224,0.3638,0.3340,0.2716
5,Research and Development Exp.,3754000,11696000,17470000,27769000,39541000,31842000,19545000,12259000,7308000,7572000,6262000,1513000,3793000,5703000
6,General and Administrative Exp.,33828000,56860000,188518000,289082000,329913000,715977000,555494000,508544000,280634000,145513000,142252000,132718000,194417000,174283000
7,Selling and Marketing Exp.,19600000,43123000,138423000,243193000,353425000,596324000,374301000,80377000,55511000,41818000,36710000,43751000,55721000,52355000
8,"Selling, General and Administrative Exp.",53428000,99983000,326941000,532275000,683338000,1312301000,929795000,588921000,336145000,187331000,178962000,176469000,250138000,226638000
9,Other Expenses,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
10,Operating Expenses,57182000,111679000,344411000,560044000,722879000,1344143000,949340000,601180000,343453000,194903000,185224000,177982000,253931000,232341000
11,COGS and Expenses,262801000,438847000,753396000,1141073000,1438211000,2202057000,1691977000,875216000,589398000,433645000,441619000,516125000,642825000,619831000
12,Interest Income ,- -,- -,- -,- -,6751000,- -,- -,- -,- -,- -,- -,6652000,- -,9501000
13,Interest Expense (Gain),- -,- -,- -,12639000,31354000,9708000,14126000,121794000,51015000,- -,- -,- -,- -,- -
14,Depreciation and Amortization,1410000,9290000,68306000,117388000,138393000,138577000,129797000,86599000,45690000,24997000,22673000,26329000,57360000,68249000
15,EBITDA,46225000,84385000,208104000,384501000,233163000,-1531649000,-792366000,-867285000,41481000,-4792000,78750000,74817000,-29664000,6599000
16,EBITDA ratio,0.1449,0.1660,0.2307,0.2737,0.1397,-1.1398,-0.6948,-2.1051,0.1048,-0.0116,0.1774,0.1408,-0.0508,0.0124
17,Operating Income,56130000,69522000,148630000,263811000,205665000,-1714990000,-635736000,-755795000,-356034000,-44031000,2305000,15383000,-97670000,-124550000
18,Operating Income ratio,0.1760,0.1368,0.1648,0.1878,0.1232,-1.2763,-0.5574,-1.8345,-0.8997,-0.1069,0.0052,0.0289,-0.1673,-0.2341
19,Total Other Income Expenses (Gains),-11315000,5573000,-9047000,-13670000,-27634000,-10111000,-27735000,-267861000,-39371000,12924000,53234000,33055000,10161000,61631000
20,Income Before Tax,44815000,75095000,139583000,250141000,178031000,-1725101000,-663471000,-1023656000,-395405000,-31107000,55539000,48438000,-87509000,-62919000
21,Income Before Tax Ratio,0.1405,0.1477,0.1547,0.1781,0.1067,-1.2838,-0.5817,-2.4846,-0.9992,-0.0755,0.1251,0.0911,-0.1499,-0.1183
22,Income Tax expense (Gain),10578000,7735000,1562000,38442000,42231000,-58768000,-29471000,1135000,-118963000,5911000,9614000,3498000,12917000,1062000
23,Net Income,34237000,67360000,138236000,216032000,21185000,-1621166000,-906818000,-1076813000,63739000,-35700000,46463000,44990000,-99941000,-62712000
24,Net Income ratio,0.1073,0.1325,0.1533,0.1538,0.0127,-1.2064,-0.7951,-2.6136,0.1611,-0.0866,0.1047,0.0846,-0.1712,-0.1179
25,EPS,37.20,47.40,69.00,46.20,17.40,-667.81,-331.80,-154.80,3.46,-1.86,2.40,2.18,-4.60,-2.82
26,EPS Diluted,31.80,44.40,65.40,35.40,17.40,-667.81,-331.80,-154.80,3.46,-1.86,2.36,2.16,-4.60,-2.82
27,Weighted Average Shares Outstanding,926625,1412424,1999124,1425842,1191146,2427641,2732352,6963954,18424408,19234617,19413400,20671298,21752588,22186163
28,Weighted Average Shares Outstanding Diluted,1071473,1514429,2118717,1868682,1253594,2427641,2732352,6963954,18424408,19234617,19651880,20835882,21752588,22186163
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1494558/000114420417016256/0001144204-17-016256-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/1494558/000110465920110256/0001104659-20-110256-index.htm,https://www.sec.gov/Archives/edgar/data/1494558/000110465920136529/0001104659-20-136529-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,416094000,778824000,409926000,869300000,470682000,188216000,177295000,180285000,246303000,196900000,195303000,211436000,157600000,118821000
32,Short-Term Investments,- -,- -,119623000,59200000,46205000,2200000,1800000,1000000,256542000,239511000,221042000,117208000,88487000,162854000
33,Cash and Short-Term Investments,416094000,778824000,529549000,928500000,516887000,190416000,179095000,181285000,502845000,436411000,416345000,328644000,246087000,281675000
34,Net Receivables,328066000,397882000,254010000,198469000,174768000,236021000,371503000,237438000,127737000,137043000,109007000,147968000,112566000,113293000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,261851000,402006000,349956000,536813000,977850000,837494000,124546000,594016000,52042000,43073000,47371000,78788000,40987000,29161000
37,Total Current Assets,1006011000,1578712000,1133515000,1663782000,1669505000,1263931000,675144000,1012739000,682624000,616527000,572723000,555400000,399640000,424129000
38,PP&E,5031000,47127000,606820000,673341000,789016000,527457000,267315000,149272000,94982000,88007000,168423000,165933000,421274000,397950000
39,Goodwill,- -,219607000,1028592000,1000555000,1159386000,674676000,522380000,84541000,85988000,67954000,73166000,73166000,60353000,25710000
40,Intangible Assets,144000,118153000,808426000,787424000,755784000,421524000,223105000,124138000,105331000,96600000,98617000,94216000,58366000,56523000
41,Intangible Assets,144000,337760000,1837018000,1787979000,1915170000,1096200000,745485000,208679000,191319000,164554000,171783000,167382000,118719000,82233000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1764000,2446000,1895000,1740000
43,Tax Assets,- -,69000,503000,4315000,4800000,54063000,81702000,14001000,33903000,29726000,8222000,10240000,10195000,6338000
44,Other Non-Current Assets,1149000,30216000,94538000,109080000,342136000,238707000,183763000,120997000,5097000,77381000,54505000,8818000,69076000,137327000
45,Total Non-Current Assets,6324000,415172000,2538879000,2574715000,3051122000,1916427000,1278265000,492949000,325301000,359668000,404697000,354819000,621159000,625588000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,1012335000,1993884000,3672394000,4238497000,4720627000,3180358000,1953409000,1505688000,1007925000,976195000,977420000,910219000,1020799000,1049717000
48,Accounts Payable,285074000,150131000,83987000,39568000,51896000,52487000,40961000,39966000,28391000,26738000,23414000,13583000,14718000,19423000
49,Short-Term Debt,- -,- -,202000000,179070000,134070000,181156000,201335000,53103000,2300000,- -,- -,41179000,53512000,63702000
50,Tax Payable,14138000,20654000,47567000,89521000,132406000,294912000,297687000,301859000,393139000,396741000,243751000,248261000,223184000,216357000
51,Deferred Revenue,116451000,226623000,424131000,446084000,456189000,534808000,541423000,124463000,122643000,124448000,132974000,133681000,174737000,168234000
52,Other Current Liabilities,73579000,125984000,421783000,406680000,807582000,896108000,668217000,1273804000,686047000,686816000,606164000,456704000,366017000,392236000
53,Total Current Liabilities,475104000,502738000,1131901000,1071402000,1449737000,1664559000,1451936000,1491336000,839381000,838002000,762552000,645147000,608984000,643595000
54,Long-Term Debt,- -,- -,73000000,54000000,46500000,- -,- -,- -,- -,- -,39205000,- -,216067000,229913000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,22888000,163373000,154793000,154368000,131844000,103750000,67658000,25721000,23172000,- -,- -,- -,- -
57,Other Non-Current Liabilities,387757000,1131408000,214351000,225309000,303559000,- -,- -,- -,- -,- -,9704000,2301000,32152000,35055000
