,https://roic.ai/company/NTWK,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,168835,3000000,6984539,6726836,3578113,3745386,5749062,12437653,18690412,29282086,36642175,26448177,36779897,36547575,39775524,50797161,36384803,51048578,64550193,65366268,60930258,67819183,56372319,54920615
2,COGS,133860,1300000,2174820,4129973,2961680,1778993,2656377,4754749,9020518,13658979,15724144,17198334,13867048,14804127,18278023,22953933,27720340,33021364,33748607,36958332,31723341,33373532,29408949,28567587
3,Gross Profit,34975,1700000,4809719,2596863,616433,1966393,3092685,7682904,9669894,15623107,20918031,9249843,22912849,21743448,21497501,27843228,8664463,18027214,30801586,28407936,29206917,34445651,26963370,26353028
4,Gross Profit Ratio,0.2072,0.5667,0.6886,0.3860,0.1723,0.5250,0.5379,0.6177,0.5174,0.5335,0.5709,0.3497,0.6230,0.5949,0.5405,0.5481,0.2381,0.3531,0.4772,0.4346,0.4793,0.5079,0.4783,0.4798
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,249712,314892,485783,393345,853996,1971228,1468954,674168
6,General and Administrative Exp.,- -,2800000,7292993,9140490,4280028,2654994,4313301,5053637,7642563,10987636,11769310,8249447,8909641,7067693,8871433,10648249,15046328,14778641,14965016,16747550,16254067,16916953,17138832,15437382
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3115883,2222841,3016402,3130379,3556997,4572108,6092530,7823916,9746229,7620476,7831758,6450663,6555004
8,"Selling, General and Administrative Exp.",- -,2800000,7292993,9140490,4280028,2654994,4313301,5053637,7642563,10987636,11769310,11365330,11132482,10084095,12001812,14205246,19618436,20871171,22788932,26493779,23874543,24748711,23589495,21992386
9,Other Expenses,620454,400000,1408873,8936152,-10059022,1576890,1714754,1564562,2286678,1988603,1939502,4367682,2052659,1547289,1238049,1555402,1886148,2006957,1225170,2522026,1423467,897800,834583,965625
10,Operating Expenses,620454,3200000,8701866,18076642,-5778994,4231884,6028055,6618199,9929241,12976239,13708812,15733012,13185141,11631384,13239861,15760648,21754296,23193020,24499885,29409150,26152006,27617739,25893032,23632179
11,COGS and Expenses,754314,4500000,10876686,22206615,-2817314,6010877,8684432,11372948,18949759,26635218,29432956,32931346,27052189,26435511,31517884,38714581,49474636,56214384,58248492,66367482,57875347,60991271,55301981,52199766
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,291030,261296,154856,82039,185343,261251,331432,161794,179723,592153,955061,1569536,1017432
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1294293,1478474,863707,823684,664025,255677,166962,264511,310044,422327,311798,346856,394289
14,Depreciation and Amortization,1814,400000,1408873,1509624,2115399,1576890,2070708,1979603,3120220,5456630,3337956,4188208,3907945,4288512,4641987,5702749,8730736,10343814,7152139,6562334,5573474,4423657,3731954,3956314
15,EBITDA,-583665,-1200000,-2242203,-15390318,-3883465,-560616,-899267,2653344,1873188,739375,10681986,-2473415,6834482,11000848,7967600,14695343,-2031352,5375456,11471957,2826299,11175716,14376638,6156959,7155477
16,EBITDA ratio,-3.4570,-0.4000,-0.3210,-2.2879,-1.0853,-0.1497,-0.1564,0.2133,0.1002,0.0253,0.2915,-0.0935,0.1858,0.3010,0.2003,0.2893,-0.0558,0.1053,0.1777,0.0432,0.1834,0.2120,0.1092,0.1303
17,Operating Income,-585479,-1500000,-3892147,-15479779,6395427,-2265491,-2935370,1064705,-259347,2646868,7209219,-6483169,9727708,10164821,7264582,11667098,-13089833,-5165806,6301701,-1001214,3054911,6827912,1070338,2720849
18,Operating Income ratio,-3.4678,-0.5000,-0.5573,-2.3012,1.7874,-0.6049,-0.5106,0.0856,-0.0139,0.0904,0.1967,-0.2451,0.2645,0.2781,0.1826,0.2297,-0.3598,-0.1012,0.0976,-0.0153,0.0501,0.1007,0.0190,0.0495
19,Total Other Income Expenses (Gains),- -,100000,241071,70907,-219870,-214847,-135663,-390964,-987685,-7364123,134811,343396,-3387548,-341309,-559927,886383,-668359,330132,-592014,196729,4968094,6247412,1262753,567400
20,Income Before Tax,- -,- -,-3651076,-15408872,- -,- -,- -,673741,-1247032,-4717255,7344030,-6139773,6340160,9823512,6704655,12553481,-13758192,-4835674,5709687,-804485,8023005,13075324,2333091,3288249
21,Income Before Tax Ratio,- -,- -,-0.5227,-2.2907,- -,- -,- -,0.0542,-0.0667,-0.1611,0.2004,-0.2321,0.1724,0.2688,0.1686,0.2471,-0.3781,-0.0947,0.0885,-0.0123,0.1317,0.1928,0.0414,0.0599
22,Income Tax expense (Gain),- -,- -,-250000,-2850000,- -,- -,- -,10416,106021,160306,121982,91132,53943,120542,55384,465426,338282,413498,652546,931951,873027,1057784,1141068,1026617
23,Net Income,-585479,-1600000,-3401076,-14049942,-5998864,-2137506,-2969975,663325,-1353053,-4877561,7222048,-8047048,1394120,5728087,2446545,7863143,-11356047,-5548818,3402761,-4978030,4306888,8583399,937081,1778257
24,Net Income ratio,-3.4678,-0.5333,-0.4869,-2.0886,-1.6765,-0.5707,-0.5166,0.0533,-0.0724,-0.1666,0.1971,-0.3043,0.0379,0.1567,0.0615,0.1548,-0.3121,-0.1087,0.0527,-0.0762,0.0707,0.1266,0.0166,0.0324
25,EPS,-16.50,-22.00,-17.50,-62.50,-20.00,-4.70,-3.80,0.60,-0.90,-2.70,2.90,-3.00,0.40,1.20,0.39,0.96,-1.25,-0.57,0.33,-0.46,0.38,0.74,0.08,0.15
26,EPS Diluted,-16.50,-22.00,-17.50,-62.50,-20.00,-4.70,-3.80,0.40,-0.90,-2.70,2.80,-3.00,0.40,1.20,0.39,0.95,-1.25,-0.57,0.32,-0.46,0.38,0.74,0.08,0.15
27,Weighted Average Shares Outstanding,35481,74672,193322,224530,300604,451220,788155,1159762,1456700,1818959,2411853,2693750,3451642,4854320,6217842,8201247,9063345,9728122,10391157,10912284,11197319,11599290,11734648,11499983
28,Weighted Average Shares Outstanding Diluted,45821,74672,193322,224530,300604,451220,788155,1477632,1456700,1818959,2599704,2693750,3779674,4956819,6244185,8288951,9063345,9728122,10584835,10912284,11197319,11621990,11784414,11499983
29,SEC Link,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1039280/000095015002000935/0000950150-02-000935-index.htm,https://www.sec.gov/Archives/edgar/data/1039280/000114420404010391/0001144204-04-010391-index.htm,https://www.sec.gov/Archives/edgar/data/1039280/000114420405008611/0001144204-05-008611-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1039280/000114420406039873/0001144204-06-039873-index.htm,https://www.sec.gov/Archives/edgar/data/1039280/000114420407050276/0001144204-07-050276-index.htm,https://www.sec.gov/Archives/edgar/data/1039280/000114420408067015/0001144204-08-067015-index.htm,https://www.sec.gov/Archives/edgar/data/1039280/000114420409048597/0001144204-09-048597-index.htm,https://www.sec.gov/Archives/edgar/data/1039280/000114420410048772/0001144204-10-048772-index.htm,https://www.sec.gov/Archives/edgar/data/1039280/000117184311002778/0001171843-11-002778-index.htm,https://www.sec.gov/Archives/edgar/data/1039280/000117184312003317/0001171843-12-003317-index.htm,https://www.sec.gov/Archives/edgar/data/1039280/000117184313003695/0001171843-13-003695-index.htm,https://www.sec.gov/Archives/edgar/data/1039280/000117184314004360/0001171843-14-004360-index.htm,https://www.sec.gov/Archives/edgar/data/1039280/000149315215004366/0001493152-15-004366-index.htm,https://www.sec.gov/Archives/edgar/data/1039280/000149315216013366/0001493152-16-013366-index.htm,https://www.sec.gov/Archives/edgar/data/1039280/000149315217011038/0001493152-17-011038-index.htm,https://www.sec.gov/Archives/edgar/data/1039280/000149315218013757/0001493152-18-013757-index.htm,https://www.sec.gov/Archives/edgar/data/1039280/000149315219014421/0001493152-19-014421-index.htm,https://www.sec.gov/Archives/edgar/data/1039280/000149315220018417/0001493152-20-018417-index.htm,https://www.sec.gov/Archives/edgar/data/1039280/000149315221023957/0001493152-21-023957-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,2981046,306125,86914,214490,871161,1371727,2493768,4010164,6275238,4403762,4075546,4172802,7599607,7874318,11462695,14168957,11557527,14172954,22088853,17366364,20166830,33705154
32,Short-Term Investments,- -,- -,1000000,- -,- -,- -,391403,205480,1739851,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,3981046,306125,86914,214490,1262564,1577207,4233619,4010164,6275238,4403762,4075546,4172802,7599607,7874318,11462695,14168957,11557527,14172954,22088853,17366364,20166830,33705154
34,Net Receivables,- -,500000,2768036,2283545,1306511,627900,994091,6052923,11301610,17096182,22671366,11394844,12280331,15062503,13757637,30446523,10835127,15588600,27166233,27887825,33056643,34813014,29859922,19007485
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,200000,229414,179946,210679,932163,1306846,743731,6695214,1622022,1776971,12993523,16998939,15355134,14920862,3753438,4564738,1753108,1728066,2211296,2205400,2412438,1868959,2866135
37,Total Current Assets,- -,700000,6978496,2769616,1604104,1774553,3563501,8373861,22230443,22728368,30723575,28792129,33354816,34590439,36278106,42074279,26862560,31510665,40451826,44272075,57350896,54591816,51895711,55578774
38,PP&E,- -,200000,2490151,3035438,2370719,2037507,4203580,5114776,6472038,7583752,9176780,9186163,9472917,16014461,16912795,20978369,29721128,25119634,22774435,20370703,16165491,12096855,13689760,13437681
39,Goodwill,- -,- -,- -,1950000,- -,- -,- -,- -,6092906,7708501,9439285,9439285,9439285,9439285,9653330,9653330,9516568,9516568,9516568,9516568,9516568,9516568,9516568,9516568
40,Intangible Assets,- -,9700000,14024921,4909612,5523750,4930191,3990688,7637397,8229761,10200253,12570617,15146626,19668656,25602194,28502983,29452654,28803018,22815467,19674033,17043151,12247196,7332950,5391077,3904656
41,Intangible Assets,- -,9700000,14024921,6859612,5523750,4930191,3990688,7637397,14322667,17908754,22009902,24585911,29107941,35041479,38156313,39105984,38319586,32332035,29190601,26559719,21763764,16849518,14907645,13421224
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,200506,- -,- -,545483,- -,- -,720350,3057020,3217162,2653769,2387692,3155852
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,100000,1727601,841021,931612,- -,- -,- -,- -,1308267,1866437,204823,- -,1,- -,- -,- -,- -,212203,5417813,1276968,1305061,5592281,1012730
45,Total Non-Current Assets,- -,10000000,18242673,10736071,8826081,6967698,8194268,12752173,20794705,26800773,33053119,33976897,38781364,51055941,55069108,60629836,68040714,57451669,52897589,55405255,42423385,32905203,36577378,31027487
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,10700000,25221169,13505687,10430185,8742251,11757769,21126034,43025148,49529141,63776694,62769026,72136180,85646380,91347214,102704115,94903274,88962334,93349415,99677330,99774281,87497019,88473089,86606261
48,Accounts Payable,- -,700000,2072976,3047609,3572148,2090159,2207823,2927233,5946154,3590652,4116659,5209492,5005058,1348453,1278452,825025,1642325,1514841,1346532,1466265,1665865,1156498,1351158,1067937
49,Short-Term Debt,- -,100000,176604,286226,609090,1339376,1262674,1478281,1431735,3985026,5212661,2458757,5344572,5064902,4925495,4999708,5311367,3425161,3951725,9861787,8284480,6541254,10251473,12223900
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,841884,608121
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,2815660,3293728,3473228,2545314,2685526,2737124,2446955,3239852,4897327,4739214,3925702,5949581,5977736,4095472,4556626
52,Other Current Liabilities,- -,-100000,- -,30868,85809,104079,103451,510047,4176971,1396468,1063896,6252239,7332839,10915969,4663479,3598428,4419971,4997236,5192921,5863261,6607707,6772729,4418003,5628098
53,Total Current Liabilities,- -,700000,2249580,3364703,4267047,3533614,3573948,4915561,11554860,11787806,13686944,17393716,20227783,20014850,13604550,11870116,14613515,14834565,15230392,21117015,22507633,20448217,20116106,23476561
54,Long-Term Debt,- -,- -,315818,- -,84447,126674,1027156,138175,3505137,- -,411608,6923340,4793445,434884,2487905,1082330,997137,124812,477692,366762,330596,67131,2879940,1264098
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
