,https://roic.ai/company/BORR,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , 
1,Revenue,- -,100000,164900000,334100000,307500000,245300000
2,COGS,- -,47900000,103700000,121600000,117900000,119600000
3,Gross Profit,- -,-47800000,61200000,212500000,189600000,125700000
4,Gross Profit Ratio,- -,-478.0000,0.3711,0.6360,0.6166,0.5124
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,21000000,38700000,50400000,49100000,34700000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,21000000,38700000,50400000,49100000,34700000
9,Other Expenses,- -,36200000,180100000,307900000,270400000,180500000
10,Operating Expenses,- -,57200000,218800000,358300000,319500000,215200000
11,COGS and Expenses,- -,105100000,322500000,479900000,437400000,334800000
12,Interest Income ,- -,3200000,1200000,1500000,200000,- -
13,Interest Expense (Gain),- -,500000,13700000,70400000,87400000,92900000
14,Depreciation and Amortization,- -,47900000,79500000,101400000,117900000,119600000
15,EBITDA,- -,-39600000,-94800000,-114600000,-96100000,29200000
16,EBITDA ratio,- -,-396.0000,-0.5749,-0.3430,-0.3125,0.1190
17,Operating Income,- -,-109700000,131400000,-150800000,-188000000,-88300000
18,Operating Income ratio,- -,-1097.0000,0.7968,-0.4514,-0.6114,-0.3600
19,Total Other Income Expenses (Gains),- -,21700000,-319800000,-137100000,-113400000,-95000000
20,Income Before Tax,- -,-88000000,-188400000,-287900000,-301400000,-183300000
21,Income Before Tax Ratio,- -,-880.0000,-1.1425,-0.8617,-0.9802,-0.7472
22,Income Tax expense (Gain),- -,- -,2500000,11200000,16200000,9700000
23,Net Income,- -,-88000000,-190500000,-297600000,-317600000,-193000000
24,Net Income ratio,- -,-880.0000,-1.1552,-0.8908,-1.0328,-0.7868
25,EPS,- -,-3.31,-3.60,-5.59,-4.06,-1.43
26,EPS Diluted,- -,-3.31,-3.60,-5.59,-4.06,-1.43
27,Weighted Average Shares Outstanding,- -,26563207,52831094,55193928,75177351,134726336
28,Weighted Average Shares Outstanding Diluted,- -,26563207,52831094,55193928,75177351,134726336
29,SEC Link,undefined,- -,- -,- -,- -,- -
30,BALANCE SHEET, , , , , , 
31,Cash and Cash Equivalents,138119000,164000000,27900000,59100000,19200000,34900000
32,Short-Term Investments,- -,4400000,4200000,- -,- -,- -
33,Cash and Short-Term Investments,138119000,168400000,32100000,59100000,19200000,34900000
34,Net Receivables,- -,5100000,88000000,110500000,99000000,99200000
35,Inventory,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,52000000,88500000,108300000,22600000,42100000
37,Total Current Assets,138119000,225500000,208600000,277900000,140800000,176200000
38,PP&E,3000,1426100000,2649400000,2954200000,2967000000,2870000000
39,Goodwill,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -
42,Investments,- -,20700000,31000000,31400000,62700000,19400000
43,Tax Assets,- -,- -,2600000,1300000,200000,- -
44,Other Non-Current Assets,19966000,- -,22100000,15200000,400000,14700000
45,Total Non-Current Assets,19969000,1446800000,2705100000,3002100000,3030300000,2904100000
46,Other Assets,- -,- -,- -,- -,- -,- -
47,Total Assets,158088000,1672300000,2913700000,3280000000,3171100000,3080300000
48,Accounts Payable,40000,9600000,9600000,14100000,20400000,34700000
49,Short-Term Debt,- -,- -,- -,3400000,3100000,- -
50,Tax Payable,- -,- -,4200000,17800000,9900000,- -
51,Deferred Revenue,- -,- -,3200000,76900000,2600000,- -
52,Other Current Liabilities,204000,11500000,106500000,155300000,69900000,83200000
53,Total Current Liabilities,244000,21100000,119300000,249700000,96000000,117900000
54,Long-Term Debt,- -,87000000,1175700000,1709800000,1906200000,1915900000
55,Deferred Revenue,- -,71300000,78300000,- -,71300000,71300000
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,6900000,26400000,60800000,85300000
58,Total Non-Current Liabilities,- -,158300000,1260900000,1736200000,2038300000,2072500000
59,Other Liabilities,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,3400000,3100000,- -
61,Total Liabilities,244000,179400000,1380200000,1985900000,2134300000,2190400000
62,Preferred Stock,- -,- -,- -,- -,- -,- -
63,Common Stock,775000,4800000,5300000,5600000,11000000,13800000
64,Retained Earnings,-755000,-88800000,-279200000,-576700000,-895200000,-1088200000
65,Other Comprehensive Income/Loss,- -,-6200000,-5600000,- -,- -,- -
66,Other Total Stockholders Equity,157824000,1581100000,1811300000,1865000000,1921000000,1964300000
67,Total Stockholders Equity,157844000,1490900000,1531800000,1293900000,1036800000,889900000
68,Total Liabilities And Stockholders Equity,158088000,1670300000,2912000000,3279800000,3171100000,3080300000
69,Minority Interest,- -,2000000,1700000,200000,- -,- -
70,Total Liabilities & Equity,158088000,1672300000,2913700000,3280000000,3171100000,3080300000
71,SEC Link,- -,- -,- -,- -,- -,- -
72,CASH FLOW STATEMENT, , , , , , 
73,Net Income,- -,-88000000,-190500000,-299100000,-317600000,-193000000
74,Depreciation and Amortization,- -,47900000,79500000,101400000,117900000,119600000
75,Deferred Income Tax,- -,- -,-500000,1400000,1100000,-500000
76,Stock Based Compensation,- -,8200000,3700000,3900000,700000,1300000
77,Change in Working Capital,- -,3600000,-59500000,18500000,67100000,24900000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -
79,Inventory,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -
