,https://roic.ai/company/CHGI,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , 
1,Revenue,- -,198304,87865,- -,25357242,27303385,15369978,30994150,30994150,49846744,31482852,-1038,281620,323369,809909,1478115,359974,429335
2,COGS,- -,149855,61170,- -,20447251,20605710,13192496,24062354,24062354,38261812,24707625,- -,163309,244993,648152,1367084,171869,237986
3,Gross Profit,- -,48449,26695,- -,4909991,6697675,2177482,6931796,6931796,11584932,6775227,-1038,118311,78376,161757,111031,188105,191349
4,Gross Profit Ratio,- -,0.2443,0.3038,- -,0.1936,0.2453,0.1417,0.2236,0.2236,0.2324,0.2152,1.0000,0.4201,0.2424,0.1997,0.0751,0.5226,0.4457
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,- -,- -,1951642,2594713,4155581,5420157,6785273,10075818,891808,958895,418050,366196,420775,392188,366399
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,504884,365865,186693,- -,- -,- -,- -,- -,- -,- -,- -,22117,43516
8,"Selling, General and Administrative Exp.",- -,127538,120524,135763,1245080,2456526,2960578,4342274,6017959,7038877,10135444,934962,985689,447385,386638,449748,414305,409915
9,Other Expenses,- -,- -,- -,- -,16350,68422,75352,163310,224074,237082,636087,1,1543734,- -,- -,- -,- -,- -
10,Operating Expenses,- -,127538,120524,135763,1261430,2524948,3035930,4505584,6242033,7275959,10771531,934963,2529423,447385,386638,449748,414305,409915
11,COGS and Expenses,- -,277393,181694,135763,21708681,23130658,16228426,28567938,28567938,44503845,31983584,1072694,1098272,2774416,1095537,1816832,586174,647901
12,Interest Income ,- -,- -,- -,- -,563,- -,- -,- -,3,- -,877429,95,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,784,- -,2278,495448,580808,833854,1366104,- -,- -,- -,149,95,- -,2686,- -,- -,56295
14,Depreciation and Amortization,- -,- -,- -,- -,1147316,1254462,1814034,1752232,1803770,3298709,2897885,8872,8926,8606,9334,15111,8231,8922
15,EBITDA,- -,-81098,-100853,-135282,5236946,5817558,1173612,4501727,2953340,6270960,-663630,-61869859,-6107205,-2361859,-195842,-330989,-290652,-206184
16,EBITDA ratio,- -,-0.4090,-1.1478,-Infinity,0.2065,0.2131,0.0764,0.1452,0.0953,0.1258,-0.0211,59604.8738,-21.6860,-7.3039,-0.2418,-0.2239,-0.8074,-0.4802
