,https://roic.ai/company/BRFH,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , 
1,Revenue,- -,- -,- -,- -,8928,110085,211467,1457499,1997012,4235159,4306785,2567547,6699850
2,COGS,- -,10000,- -,- -,8884,48534,126804,772827,1085575,2090495,1993576,1803475,4175132
3,Gross Profit,- -,- -,- -,- -,44,61551,84663,684672,911437,2144664,2313209,764072,2524718
4,Gross Profit Ratio,- -,- -,- -,- -,0.0049,0.5591,0.4004,0.4698,0.4564,0.5064,0.5371,0.2976,0.3768
5,Research and Development Exp.,- -,- -,3153,113820,103293,47035,51465,432146,574989,674224,538391,515145,- -
6,General and Administrative Exp.,- -,- -,55592,202021,1618057,2111131,2966637,9372050,8220852,6389142,5744068,3659781,3979702
7,Selling and Marketing Exp.,- -,- -,4355,16012,82817,109104,193806,611737,696253,750059,568107,205050,- -
8,"Selling, General and Administrative Exp.",- -,- -,59947,218033,1700874,2220235,3160443,9983787,8917105,7139201,6312175,3864831,3979702
9,Other Expenses,- -,- -,741,2181,35376,84843,134221,208614,330883,511319,649847,593198,621727
10,Operating Expenses,- -,- -,63841,334034,1839543,2352113,3346129,10624547,9822977,8324744,7500413,4973174,4601429
11,COGS and Expenses,- -,10000,63841,334034,1848427,2400647,3472933,11397374,10908552,10415239,9493989,6776649,8776561
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,196489,292888,517015,250850,- -,764813,1213263,479144,- -
14,Depreciation and Amortization,- -,- -,741,2181,35375,84843,134221,208614,330883,568418,753481,667476,17673
15,EBITDA,- -,-10000,-63100,-320007,-1804124,-2205719,-3127245,-9731261,-8580657,-5989592,-3626558,-3005886,-1247474
16,EBITDA ratio,- -,-Infinity,-Infinity,-Infinity,-202.0748,-20.0365,-14.7883,-6.6767,-4.2967,-1.4143,-0.8421,-1.1707,-0.1862
17,Operating Income,- -,-10000,- -,- -,-1839499,-2290562,-3261466,-9939875,-8911540,-6180080,-5187204,-4209102,-2094384
18,Operating Income ratio,- -,-Infinity,- -,- -,-206.0371,-20.8072,-15.4230,-6.8198,-4.4624,-1.4592,-1.2044,-1.6393,-0.3126
19,Total Other Income Expenses (Gains),- -,- -,- -,-11846,-196489,-292888,-517015,-250850,- -,-1142743,-406098,56596,829237
20,Income Before Tax,- -,-10000,- -,- -,-2035988,-2583450,-3778481,-10190725,-8911540,-7322823,-5593302,-4152506,-1265147
21,Income Before Tax Ratio,- -,-Infinity,- -,- -,-228.0453,-23.4678,-17.8679,-6.9919,-4.4624,-1.7291,-1.2987,-1.6173,-0.1888
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
23,Net Income,- -,-10000,-63841,-345880,-2035988,-2583450,-3778481,-10190725,-8911540,-7322823,-5593302,-4152506,-1265147
24,Net Income ratio,- -,-Infinity,-Infinity,-Infinity,-228.0453,-23.4678,-17.8679,-6.9919,-4.4624,-1.7291,-1.2987,-1.6173,-0.1888
25,EPS,- -,-0.00,-0.02,-0.13,-0.52,-0.65,-0.78,-1.43,-1.04,-0.78,-0.52,-0.39,-0.12
26,EPS Diluted,- -,-0.00,-0.02,-0.13,-0.52,-0.65,-0.78,-1.43,-1.04,-0.78,-0.52,-0.39,-0.12
27,Weighted Average Shares Outstanding,- -,18000000,2866059,3027245,3746721,4405862,5127071,7350580,9057561,9199928,9885424,10673489,10673489
28,Weighted Average Shares Outstanding Diluted,- -,18000000,2866059,3027245,3746721,4405862,5127071,7350580,9057561,9199928,9885424,10673489,10673489
29,SEC Link,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1487197/000149315221008727/0001493152-21-008727-index.htm,https://www.sec.gov/Archives/edgar/data/1487197/000149315222006512/0001493152-22-006512-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,30000,- -,420976,85957,2632612,1986004,9180947,1304916,1041569,999989,1816887,5532840
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,30000,- -,420976,85957,2632612,1986004,9180947,1304916,1041569,999989,1816887,5532840
34,Net Receivables,- -,- -,- -,- -,20953,68640,28596,131088,301012,357304,284668,425029,1222476
35,Inventory,- -,- -,- -,- -,12712,76913,327961,317948,1415495,1226463,634746,870190,705349
36,Other Current Assets,- -,- -,- -,4000,226602,12007,30524,25864,24496,98457,108991,189448,206241
37,Total Current Assets,- -,30000,- -,424976,346224,2790172,2373085,9655847,3045919,2723793,2028394,3301554,7666906
38,PP&E,- -,- -,- -,149141,311496,362078,688772,1494478,1760890,2500256,2609604,2070859,1675434
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,36344,34165,31985,700654,617257,619863,586943,537789,479503,430216,370278
41,Intangible Assets,- -,- -,36344,34165,31985,700654,617257,619863,586943,537789,479503,430216,370278
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,10731,14461,16451,53202,39369,- -,8304,14817,6746
45,Total Non-Current Assets,- -,- -,36344,183306,354212,1077193,1322480,2167543,2387202,3038045,3097411,2515892,2052458
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,30000,36344,608282,700436,3867365,3695565,11823390,5433121,5761836,5125805,5817446,9719364
48,Accounts Payable,- -,40000,- -,10896,247682,175851,- -,153756,421176,1101882,625068,353046,974218
49,Short-Term Debt,- -,- -,- -,- -,351923,544746,2209910,3849,- -,- -,207434,633567,81295
