,https://roic.ai/company/WCUI,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , 
1,Revenue,- -,- -,90000,- -,230000,283110,299600,272720,213720,33380,5000,239962
2,COGS,- -,- -,20000,- -,- -,121800,189590,146940,79960,20030,- -,228580
3,Gross Profit,- -,- -,70000,- -,220000,161310,110010,125780,133760,13350,5000,11382
4,Gross Profit Ratio,- -,- -,0.7778,- -,0.9565,0.5698,0.3672,0.4612,0.6259,0.3999,1.0000,0.0474
5,Research and Development Exp.,- -,- -,10000,10000,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,40000,109184,407779,2861449,1664033,1992362,2137656,2129184,- -,- -,- -,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",40000,109184,432064,2965128,1698961,1992362,2137656,2129184,- -,- -,- -,- -
9,Other Expenses,- -,- -,34116,-387,275209,488329,- -,- -,2226362,1779934,1922594,1239238
10,Operating Expenses,40000,109184,476180,2974741,1974170,2480691,2137656,2129184,2226362,1779934,1922594,1239238
11,COGS and Expenses,40000,110000,490000,2210000,5290000,7075570,2456280,1987350,2306320,1799960,1922594,1467818
12,Interest Income ,- -,- -,- -,- -,15638,2284,2913,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,7078,26667,160,-15990,2351,27354,25298,67861,-134449
14,Depreciation and Amortization,- -,- -,40000,330000,310000,316790,83320,11130,2510,1060,22442,6961
15,EBITDA,-40000,-110000,-360000,-1880000,-4523333,-6637270,-2283950,-1577249,-3379316,-2361192,-2130773,-1454305
16,EBITDA ratio,-Infinity,-Infinity,-4.0000,-Infinity,-19.6667,-23.4441,-7.6233,-5.7834,-15.8119,-70.7367,-426.1546,-6.0606
17,Operating Income,-40000,- -,-402286,-2705743,-5061024,-7132793,-2195602,-2003404,-2092599,-1766584,-1921594,-1227856
18,Operating Income ratio,-Infinity,- -,-4.4698,-Infinity,-22.0045,-25.1944,-7.3284,-7.3460,-9.7913,-52.9234,-384.3188,-5.1169
