,https://roic.ai/company/PGEN,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , 
1,Revenue,8013000,13925000,23760000,71930000,173605000,190926000,230981000,160574000,90722000,103178000,103873000
2,COGS,- -,- -,- -,19260000,63929000,61639000,62788000,63287000,61401000,55513000,58385000
3,Gross Profit,- -,- -,- -,52670000,109676000,129287000,168193000,97287000,29321000,47665000,45488000
4,Gross Profit Ratio,- -,- -,- -,0.7322,0.6318,0.6772,0.7282,0.6059,0.3232,0.4620,0.4379
5,Research and Development Exp.,70228000,64185000,48165000,58983000,147483000,112135000,143207000,404586000,101879000,41644000,50141000
6,General and Administrative Exp.,- -,24897000,33618000,63649000,109057000,142318000,146103000,137807000,100844000,91704000,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,24897000,33618000,63649000,109057000,142318000,146103000,137807000,100844000,91704000,74122000
9,Other Expenses,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,58928000
10,Operating Expenses,- -,89082000,81783000,122632000,256540000,254453000,289310000,542393000,202723000,133348000,183191000
11,COGS and Expenses,90440000,89082000,81783000,141892000,320469000,316092000,352098000,605680000,264124000,188861000,241576000
12,Interest Income ,- -,- -,- -,806000,1884000,10190000,19485000,19084000,3871000,2451000,- -
13,Interest Expense (Gain),183000,57000,141000,666000,1244000,861000,611000,8530000,17666000,18400000,-18891000
14,Depreciation and Amortization,4338000,7984000,7205000,10415000,17743000,24572000,31145000,33112000,24896000,17516000,- -
15,EBITDA,-80759000,-73833000,-31634000,-70844000,-64490000,-165056000,-88142000,-489222000,-280692000,-134687000,-110897000
16,EBITDA ratio,-10.0785,-5.3022,-1.3314,-0.9849,-0.3715,-0.8645,-0.3816,-3.0467,-3.0940,-1.3054,-1.0676
17,Operating Income,-82427000,-75157000,-58023000,-69962000,-146864000,-125166000,-137890000,-505610000,-204212000,-86603000,-79318000
18,Operating Income ratio,-10.2867,-5.3973,-2.4420,-0.9726,-0.8460,-0.6556,-0.5970,-3.1488,-2.2510,-0.8394,-0.7636
19,Total Other Income Expenses (Gains),-2853000,-6717000,17115000,-15757000,59886000,-68985000,8190000,-30624000,-4475000,-17252000,-17607000
20,Income Before Tax,-85280000,-81874000,-40908000,-85719000,-86978000,-194151000,-129700000,-536234000,-208687000,-103855000,-96925000
21,Income Before Tax Ratio,-10.6427,-5.8796,-1.7217,-1.1917,-0.5010,-1.0169,-0.5615,-3.3395,-2.3003,-1.0066,-0.9331
22,Income Tax expense (Gain),- -,- -,- -,-103000,1016000,-3877000,-2880000,-21528000,-930000,-82000,160000
23,Net Income,-85280000,-81874000,-38980000,-81822000,-84493000,-186612000,-117018000,-509336000,-322324000,-170521000,-92166000
24,Net Income ratio,-10.6427,-5.8796,-1.6406,-1.1375,-0.4867,-0.9774,-0.5066,-3.1720,-3.5529,-1.6527,-0.8873
25,EPS,-17.50,-14.45,-1.40,-0.83,-0.76,-1.58,-0.98,-3.93,-2.09,-1.02,-0.47
26,EPS Diluted,-17.50,-14.45,-1.40,-0.83,-0.76,-1.58,-0.98,-3.93,-2.09,-1.02,-0.47
27,Weighted Average Shares Outstanding,5664665,5664665,40951952,99170653,111066352,117983836,119998826,129521731,154138774,167065539,197759900
28,Weighted Average Shares Outstanding Diluted,5664665,5664665,40951952,99170653,111066352,117983836,119998826,129521731,154138774,167065539,197759900
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1356090/000119312514124119/0001193125-14-124119-index.htm,https://www.sec.gov/Archives/edgar/data/1356090/000135609015000004/0001356090-15-000004-index.htm,https://www.sec.gov/Archives/edgar/data/1356090/000135609016000092/0001356090-16-000092-index.html,https://www.sec.gov/Archives/edgar/data/1356090/000135609017000003/0001356090-17-000003-index.html,https://www.sec.gov/Archives/edgar/data/1356090/000135609018000002/0001356090-18-000002-index.html,https://www.sec.gov/Archives/edgar/data/1356090/000135609019000004/0001356090-19-000004-index.html,https://www.sec.gov/Archives/edgar/data/1356090/000162828020002699/0001628280-20-002699-index.html,https://www.sec.gov/Archives/edgar/data/1356090/000135609021000003/0001356090-21-000003-index.htm,https://www.sec.gov/Archives/edgar/data/1356090/000135609022000002/0001356090-22-000002-index.htm
30,BALANCE SHEET, , , , , , , , , , , 
31,Cash and Cash Equivalents,19628000,10403000,49509000,27466000,135782000,62607000,68111000,102768000,65793000,51792000,42920000
