,https://roic.ai/company/ANTE,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
0,INCOME STATEMENT, , , , , , , , , , , , , , , , 
1,Revenue,1348000,17935000,41628000,119433000,149428000,230505000,270624000,286742000,272266000,252481000,50233000,16513000,23759000,24546000,26022000,23434000
2,COGS,3189000,10040000,21365000,70995000,147541000,197908000,244470000,250606000,244673000,235835000,89577000,49042000,58967000,32630000,33587000,19588000
3,Gross Profit,-1841000,7895000,20263000,48438000,1887000,32597000,26154000,36136000,27593000,16646000,-39344000,-32529000,-35208000,-8084000,-7565000,3846000
4,Gross Profit Ratio,-1.3657,0.4402,0.4868,0.4056,0.0126,0.1414,0.0966,0.1260,0.1013,0.0659,-0.7832,-1.9699,-1.4819,-0.3293,-0.2907,0.1641
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1157000,724000
6,General and Administrative Exp.,837000,4044000,26795000,14374000,34936000,24646000,22004000,21842000,25723000,26337000,27102000,45227000,63507000,32612000,20208000,9807000
7,Selling and Marketing Exp.,- -,- -,- -,10171000,13439000,18112000,18238000,17995000,20069000,25067000,9611000,12056000,12747000,7492000,4445000,2533000
8,"Selling, General and Administrative Exp.",837000,4044000,26795000,24545000,48375000,42758000,40242000,39837000,45792000,51404000,36713000,57283000,76254000,40104000,24653000,12340000
9,Other Expenses,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
10,Operating Expenses,837000,4044000,26795000,24545000,48375000,42758000,40242000,39837000,45792000,51404000,36713000,57283000,76254000,40104000,25810000,13064000
11,COGS and Expenses,4026000,14084000,48160000,95540000,195916000,240666000,284712000,290443000,290465000,287239000,126290000,106325000,135221000,72734000,59397000,32652000
12,Interest Income ,3000,17000,1745000,5379000,2025000,694000,1242000,1355000,1213000,1340000,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,742000
14,Depreciation and Amortization,318000,522000,1386000,5545000,16513000,23479000,25138000,24033000,21862000,14531000,5771000,12971000,12048000,1560000,1878000,2280000
15,EBITDA,-2357000,4391000,-3919000,35245000,-26758000,17827000,15808000,-6202000,9523000,-10734000,161839000,-48171000,-143795000,-88387000,-28908000,314000
16,EBITDA ratio,-1.7485,0.2448,-0.0941,0.2951,-0.1791,0.0773,0.0584,-0.0216,0.0350,-0.0425,3.2218,-2.9172,-6.0522,-3.6009,-1.1109,0.0134
17,Operating Income,-2678000,3851000,-6532000,23893000,-46488000,-11161000,-15747000,-33895000,-18199000,-34758000,-76057000,-89812000,-178804000,-48752000,-33375000,-9218000
18,Operating Income ratio,-1.9866,0.2147,-0.1569,0.2001,-0.3111,-0.0484,-0.0582,-0.1182,-0.0668,-0.1377,-1.5141,-5.4389,-7.5257,-1.9861,-1.2826,-0.3934
19,Total Other Income Expenses (Gains),3000,17000,1745000,6514000,3264000,2553000,3090000,4125000,5035000,3554000,1855000,5086000,2859000,-44517000,162000,5431000
20,Income Before Tax,-2675000,3868000,-4787000,30407000,-43224000,-8608000,-12657000,-29770000,-13164000,-31204000,-74202000,-84726000,-175945000,-93269000,-33213000,-3787000
21,Income Before Tax Ratio,-1.9844,0.2157,-0.1150,0.2546,-0.2893,-0.0373,-0.0468,-0.1038,-0.0483,-0.1236,-1.4772,-5.1309,-7.4054,-3.7998,-1.2763,-0.1616
22,Income Tax expense (Gain),-273000,-197000,-195000,-498000,-6032000,-735000,266000,2493000,-1713000,430000,6421000,4483000,633000,150000,691000,-10235000
23,Net Income,-2402000,4066000,-5110000,30198000,-37239000,-4917000,-9596000,-32728000,-10626000,-25695000,149647000,-65625000,-156476000,-90097000,-31477000,7527000
24,Net Income ratio,-1.7819,0.2267,-0.1228,0.2528,-0.2492,-0.0213,-0.0355,-0.1141,-0.0390,-0.1018,2.9791,-3.9741,-6.5860,-3.6705,-1.2096,0.3212
25,EPS,-0.20,0.30,-1.20,2.30,-2.30,-0.40,-0.70,-2.60,-0.90,-2.20,12.30,-5.20,-12.50,-7.20,-2.50,0.60
26,EPS Diluted,-0.20,0.30,-1.20,2.20,-2.30,-0.40,-0.70,-2.60,-0.90,-2.20,11.60,-5.20,-12.50,-7.20,-2.50,0.60
27,Weighted Average Shares Outstanding,12480000,6240000,7346959,13360342,13132073,13125212,12953796,12426924,12038664,11930477,12174019,12527706,12562978,12565318,12566478,12579561
28,Weighted Average Shares Outstanding Diluted,12480000,6240000,7346959,13778214,13132073,13125212,12953796,12426924,12038664,11930477,12937216,12527706,12562978,12565318,12566478,12579561
29,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1413745/000095014409003595/h03282e20vf.htm,https://www.sec.gov/Archives/edgar/data/1413745/000095012310053973/c01819e20vf.htm,https://www.sec.gov/Archives/edgar/data/1413745/000120445911001247/form20f.htm,https://www.sec.gov/Archives/edgar/data/1413745/000120445912000897/form20f.htm,https://www.sec.gov/Archives/edgar/data/1413745/000106299313002125/form20f.htm,https://www.sec.gov/Archives/edgar/data/1413745/000114420414024869/v373278_20f.htm,https://www.sec.gov/Archives/edgar/data/1413745/000114420415024774/v406261_20f.htm,https://www.sec.gov/Archives/edgar/data/1413745/000114420416102621/v437328_20f.htm,https://www.sec.gov/Archives/edgar/data/1413745/000114420417034515/v464671_20f.htm,https://www.sec.gov/Archives/edgar/data/1413745/000114420418054212/tv493799_20f.htm,https://www.sec.gov/Archives/edgar/data/1413745/000114420419022497/tv519090_20f.htm,- -,- -
30,BALANCE SHEET, , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,2952000,2086000,210915000,161534000,123754000,106505000,112734000,73634000,59652000,67437000,86960000,117547000,15355000,15536000,958000,283000
32,Short-Term Investments,- -,- -,- -,- -,586000,- -,1858000,46210000,47032000,18871000,3855000,74000,129000,711000,4670000,5110000
33,Cash and Short-Term Investments,2952000,2086000,210915000,161534000,124340000,106505000,114592000,119844000,106684000,86308000,90815000,117621000,15484000,16247000,5628000,5393000
34,Net Receivables,961000,5261000,14435000,38386000,46010000,62962000,93219000,107075000,123267000,109645000,237792000,75585000,61999000,44015000,30074000,35723000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,589000,2581000,14661000,40916000,24618000,46147000,39854000,34506000,45153000,53923000,14011000,12038000,21109000,6103000,3219000,17519000
37,Total Current Assets,4502000,9928000,240011000,240836000,194968000,215614000,247665000,261425000,275104000,249876000,342618000,205244000,98592000,66365000,38921000,58635000
38,PP&E,959000,4519000,15985000,62443000,78831000,71720000,56429000,45930000,36084000,50329000,48339000,61005000,15442000,13466000,14899000,13566000
39,Goodwill,- -,- -,- -,- -,9087000,20736000,20734000,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,4885000,4862000,9027000,11141000,17496000,13788000,1521000,1446000,807000,2325000,1682000,- -,- -,- -,- -
41,Intangible Assets,- -,4885000,4862000,9027000,20228000,38232000,34522000,1521000,1446000,807000,2325000,1682000,- -,- -,- -,- -
42,Investments,- -,- -,- -,1099000,1984000,1714000,2047000,4337000,7829000,15177000,94418000,85715000,103841000,46271000,43002000,42495000
43,Tax Assets,273000,465000,507000,1762000,4726000,6032000,5763000,8347000,11755000,13932000,4483000,- -,- -,- -,- -,- -
44,Other Non-Current Assets,637000,750000,5494000,14724000,15914000,13874000,15042000,22307000,70573000,65476000,39418000,27544000,7127000,3714000,884000,382000
45,Total Non-Current Assets,1869000,10619000,26848000,89055000,121683000,131572000,113803000,82442000,127687000,145721000,188983000,175946000,126410000,63451000,58785000,56443000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,6371000,20547000,266859000,329891000,316651000,347186000,361468000,343867000,402791000,395597000,531601000,381190000,225002000,129816000,97706000,115078000
48,Accounts Payable,792000,- -,4666000,15696000,30680000,39020000,63577000,72895000,81157000,94933000,36371000,40366000,48545000,39304000,35544000,22211000
49,Short-Term Debt,784000,2863000,- -,- -,408000,422000,- -,- -,- -,3000000,- -,- -,- -,6109000,1046000,8203000
50,Tax Payable,- -,- -,- -,852000,52000,1263000,2054000,3911000,4609000,4535000,45029000,15849000,14991000,11833000,12168000,2676000
51,Deferred Revenue,123000,1162000,1712000,2929000,8941000,12751000,11522000,18966000,17492000,13523000,1361000,1764000,1337000,1995000,2813000,2589000
52,Other Current Liabilities,855000,3874000,1352000,6924000,7188000,13516000,12511000,12191000,12438000,13810000,69700000,48079000,25913000,65246000,74145000,80825000
53,Total Current Liabilities,2554000,7899000,7730000,25549000,47217000,65709000,87610000,104052000,111087000,125266000,107432000,90209000,75795000,112654000,113548000,113828000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2763000,2586000,2605000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,1527000,2659000,3155000,4761000,3800000,380000,361000,202000,91000,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,211000,1611000,- -,- -,- -,- -,- -,- -,- -,1257000,26445000,24384000,25528000,- -,535000,3000
58,Total Non-Current Liabilities,211000,1611000,1527000,2659000,3155000,4761000,3800000,380000,361000,1459000,26536000,24384000,25528000,2763000,3121000,2608000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1437000,1005000
61,Total Liabilities,2765000,9510000,9257000,28208000,50372000,70470000,91410000,104432000,111448000,126725000,133968000,114593000,101323000,115417000,116669000,116436000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,62000,62000,133000,134000,132000,132000,128000,128000,128000,128000,128000,128000,128000,128000,128000,152000
64,Retained Earnings,-2698000,-174000,-10317000,16070000,-22488000,-28164000,-38138000,-72961000,-84411000,-110519000,49876000,-15842000,-172318000,-262415000,-293892000,-286365000
65,Other Comprehensive Income/Loss,-54000,333000,4659000,10054000,9944000,18353000,30734000,43092000,51197000,45196000,22928000,-292000,35451000,31311000,31692000,31308000
66,Other Total Stockholders Equity,- -,- -,263130000,274474000,275454000,285347000,279424000,271617000,304052000,313931000,313636000,284743000,284388000,282375000,282536000,286528000
67,Total Stockholders Equity,-2690000,221000,257605000,300732000,263042000,275668000,272148000,241876000,270966000,248736000,386568000,268737000,147649000,51399000,20464000,31623000
68,Total Liabilities And Stockholders Equity,75000,9731000,266862000,328940000,313414000,346138000,363558000,346308000,382414000,375461000,520536000,383330000,248972000,166816000,137133000,148059000
69,Minority Interest,6296000,10816000,-3000,951000,3237000,1048000,-2090000,-2441000,20377000,20136000,11065000,-2140000,-23970000,-37000000,-39427000,-32981000
