,https://roic.ai/company/NTCO,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , 
1,Revenue,9852708000,13397419000,14444690000,36921980000,40164687000
2,COGS,2911077000,3782843000,4033454000,13229715000,14011525000
3,Gross Profit,6941631000,9614576000,10411236000,23692265000,26153162000
4,Gross Profit Ratio,0.7045,0.7176,0.7208,0.6417,0.6511
5,Research and Development Exp.,- -,102436000,- -,270256000,223472000
6,General and Administrative Exp.,1535945000,1956556000,2405576000,4754152000,5603770000
7,Selling and Marketing Exp.,3965019000,5828713000,6395586000,15702787000,16999225000
8,"Selling, General and Administrative Exp.",5500964000,7785269000,8801162000,20456939000,22602995000
9,Other Expenses,-221498000,151271000,92225000,899017000,855985000
10,Operating Expenses,5279466000,8038976000,8893387000,21626212000,23682452000
11,COGS and Expenses,8190543000,11821819000,12926841000,34855927000,37693977000
12,Interest Income ,164442000,129296000,83115000,167967000,264764000
13,Interest Expense (Gain),387658000,631475000,637619000,1344730000,856209000
14,Depreciation and Amortization,383352000,589911000,1117416000,2718856000,2791523000
15,EBITDA,1742202000,1894791000,2059601000,3688134000,3647706000
16,EBITDA ratio,0.1768,0.1414,0.1426,0.0999,0.0908
17,Operating Income,1358641000,1256693000,1351248000,789597000,2470710000
18,Operating Income ratio,0.1379,0.0938,0.0935,0.0214,0.0615
19,Total Other Income Expenses (Gains),-387449000,-583288000,-1046682000,-1035419000,-2379457000
20,Income Before Tax,971192000,673405000,304566000,-245822000,91253000
21,Income Before Tax Ratio,0.0986,0.0503,0.0211,-0.0067,0.0023
22,Income Tax expense (Gain),300941000,125026000,149099000,274744000,-1047986000
23,Net Income,670251000,548379000,155467000,-650196000,1047960000
24,Net Income ratio,0.0680,0.0409,0.0108,-0.0176,0.0261
25,EPS,1.55,1.27,0.36,-0.97,1.52
26,EPS Diluted,1.55,1.27,0.36,-0.97,1.52
27,Weighted Average Shares Outstanding,432863731,432863731,432863781,687579318,687579318
28,Weighted Average Shares Outstanding Diluted,432863731,432863731,432863781,687579318,687579318
29,SEC Link,- -,- -,- -,- -,- -
30,BALANCE SHEET, , , , , 
31,Cash and Cash Equivalents,- -,1215048000,4513582000,5821672000,4007257000
32,Short-Term Investments,- -,1215377000,1025845000,2520648000,1978740000
33,Cash and Short-Term Investments,- -,2430425000,5539427000,8342320000,5985997000
