,https://roic.ai/company/DBX,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , 
1,Revenue,603800000,844800000,1106800000,1391700000,1661300000,1913900000,2157900000
2,COGS,407400000,390600000,368900000,394700000,411000000,414600000,444200000
3,Gross Profit,196400000,454200000,737900000,997000000,1250300000,1499300000,1713700000
4,Gross Profit Ratio,0.3253,0.5376,0.6667,0.7164,0.7526,0.7834,0.7942
5,Research and Development Exp.,201600000,289700000,380300000,768200000,662100000,727500000,755900000
6,General and Administrative Exp.,107900000,107400000,157300000,283200000,245400000,227800000,224600000
7,Selling and Marketing Exp.,193100000,250600000,314000000,439600000,423300000,422800000,427500000
8,"Selling, General and Administrative Exp.",301000000,358000000,471300000,722800000,668700000,650600000,652100000
9,Other Expenses,- -,- -,- -,- -,- -,- -,- -
10,Operating Expenses,502600000,647700000,851600000,1491000000,1330800000,1378100000,1408000000
11,COGS and Expenses,910000000,1038300000,1220500000,1885700000,1741800000,1792700000,1852200000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -
14,Depreciation and Amortization,149600000,191600000,181800000,166800000,173500000,159300000,151400000
15,EBITDA,-176000000,-13400000,70300000,-313300000,121500000,-90900000,450700000
16,EBITDA ratio,-0.2915,-0.0159,0.0635,-0.2251,0.0731,-0.0475,0.2089
17,Operating Income,-306200000,-193500000,-113700000,-494000000,-80500000,-277000000,274400000
18,Operating Income ratio,-0.5071,-0.2290,-0.1027,-0.3550,-0.0485,-0.1447,0.1272
19,Total Other Income Expenses (Gains),-19400000,-11500000,2200000,13900000,28500000,26800000,24900000
20,Income Before Tax,-325600000,-205000000,-111500000,-480100000,-52000000,-250200000,299300000
21,Income Before Tax Ratio,-0.5393,-0.2427,-0.1007,-0.3450,-0.0313,-0.1307,0.1387
22,Income Tax expense (Gain),300000,5200000,200000,4800000,700000,6100000,-36500000
23,Net Income,-325900000,-210200000,-111700000,-484900000,-52700000,-256300000,335800000
24,Net Income ratio,-0.5397,-0.2488,-0.1009,-0.3484,-0.0317,-0.1339,0.1556
25,EPS,-0.91,-0.59,-0.31,-1.35,-0.13,-0.62,0.87
26,EPS Diluted,-0.91,-0.59,-0.31,-1.35,-0.13,-0.62,0.84
27,Weighted Average Shares Outstanding,358600000,358600000,358600000,358600000,411600000,414300000,385500000
28,Weighted Average Shares Outstanding Diluted,358600000,358600000,358600000,358600000,411600000,414300000,398100000
29,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1467623/000146762319000005/0001467623-19-000005-index.htm,https://www.sec.gov/Archives/edgar/data/1467623/000146762320000011/0001467623-20-000011-index.htm,https://www.sec.gov/Archives/edgar/data/1467623/000146762321000012/0001467623-21-000012-index.htm,https://www.sec.gov/Archives/edgar/data/1467623/000146762322000015/0001467623-22-000015-index.htm
30,BALANCE SHEET, , , , , , , 
31,Cash and Cash Equivalents,- -,352700000,430000000,519300000,551300000,314900000,533000000
32,Short-Term Investments,- -,- -,- -,570000000,607700000,806400000,1185100000
33,Cash and Short-Term Investments,- -,352700000,430000000,1089300000,1159000000,1121300000,1718100000
34,Net Receivables,- -,13200000,29300000,28600000,36700000,43400000,49600000
35,Inventory,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,47500000,58800000,92300000,47500000,62800000,82100000
37,Total Current Assets,- -,413400000,518100000,1210200000,1243200000,1227500000,1849800000
38,PP&E,- -,444000000,341900000,310600000,1103200000,809200000,735900000
39,Goodwill,- -,96000000,98900000,96500000,234500000,236900000,356600000
40,Intangible Assets,- -,24200000,17000000,14700000,47400000,33500000,53600000
41,Intangible Assets,- -,120200000,115900000,111200000,281900000,270400000,410200000
42,Investments,- -,- -,- -,- -,- -,-400000,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,26600000,44000000,62100000,70900000,80500000,95400000
45,Total Non-Current Assets,- -,590800000,501800000,483900000,1456000000,1159700000,1241500000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,1004200000,1019900000,1694100000,2699200000,2387200000,3091300000
48,Accounts Payable,- -,15500000,31900000,33300000,40700000,18700000,25700000
49,Short-Term Debt,- -,127600000,102700000,73800000,156600000,188300000,198700000
50,Tax Payable,- -,51600000,70100000,76000000,92200000,85900000,77400000
51,Deferred Revenue,- -,353000000,417900000,485000000,554200000,610500000,671500000
52,Other Current Liabilities,- -,139200000,185900000,245400000,263300000,270300000,279900000
53,Total Current Liabilities,- -,635300000,738400000,837500000,1014800000,1087800000,1175800000
54,Long-Term Debt,- -,- -,- -,- -,- -,759000000,2170000000
55,Deferred Revenue,- -,72500000,69800000,81000000,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,173600000,108800000,98800000,876000000,206600000,39400000
58,Total Non-Current Liabilities,- -,246100000,178600000,179800000,876000000,965600000,2209400000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,257200000,174300000,163700000,1006700000,1119500000,998400000
61,Total Liabilities,- -,881400000,917000000,1017300000,1890800000,2053400000,3385200000
62,Preferred Stock,- -,615300000,615300000,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -
64,Retained Earnings,- -,-937500000,-1049700000,-1659500000,-1726200000,-2241400000,-2739400000
65,Other Comprehensive Income/Loss,- -,-1000000,4200000,-1200000,3300000,10900000,-2600000
66,Other Total Stockholders Equity,- -,1061300000,1148600000,2337300000,2531600000,2564200000,- -
67,Total Stockholders Equity,- -,122800000,102900000,676800000,808400000,333800000,-293900000
68,Total Liabilities And Stockholders Equity,- -,1004200000,1019900000,1694100000,2699200000,2387200000,3091300000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,1004200000,1019900000,1694100000,2699200000,2387200000,3091300000
71,SEC Link,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1467623/000146762319000005/0001467623-19-000005-index.htm,https://www.sec.gov/Archives/edgar/data/1467623/000146762320000011/0001467623-20-000011-index.htm,https://www.sec.gov/Archives/edgar/data/1467623/000146762321000012/0001467623-21-000012-index.htm,https://www.sec.gov/Archives/edgar/data/1467623/000146762322000015/0001467623-22-000015-index.htm
72,CASH FLOW STATEMENT, , , , , , , 
73,Net Income,-325900000,-210200000,-111700000,-484900000,-52700000,-256300000,335800000
74,Depreciation and Amortization,149600000,191600000,181800000,166800000,173500000,159300000,151400000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,66100000,147600000,164600000,650100000,261200000,261500000,287100000
77,Change in Working Capital,123600000,-294900000,1600000,593000000,-144300000,-88700000,-61900000
78,Accounts Receivable,- -,- -,- -,- -,- -,-5000000,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,9200000,5500000,16200000,-1700000,6400000,-19900000,7600000
81,Other Working Capital,73000000,-221900000,-220300000,372700000,228400000,139700000,88400000
82,Other Non-Cash Items,1400000,418500000,94000000,-499600000,290800000,495000000,17400000
83,Cash Provided by Operating Activities,14800000,252600000,330300000,425400000,528500000,570800000,729800000
84,CAPEX,-83300000,-123700000,-26100000,-66000000,-137800000,-80300000,-28900000
85,Acquisitions Net,-2300000,- -,- -,- -,-173900000,- -,-140000000
86,Purchases of Investments,- -,- -,- -,-850400000,-775400000,-756100000,-1138400000
87,Sales/Maturities of Investments,- -,- -,- -,283600000,750900000,585500000,742300000
88,Other Investing Activites,-83300000,-118000000,-23900000,-67000000,-121600000,-63000000,11300000
89,Cash Used for Investing Activites,-85600000,-118000000,-23900000,-633800000,-320000000,-233600000,-524800000
90,Debt Repayment,-103000000,-141700000,-139200000,-112600000,-92900000,-89500000,-375700000
91,Common Stock Issued,1500000,- -,500000,772800000,2200000,2300000,6900000
92,Common Stock Repurchased,- -,- -,-87900000,-351900000,-85400000,-397500000,-1058500000
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,11900000,7200000,-5100000,-7500000,-600000,-93000000,1443500000
95,Cash Used/Provided by Financing Activities,-89600000,-134500000,-231700000,300800000,-176700000,-577700000,16200000
96,Effect of Forex Changes on Cash,-900000,-4300000,2600000,-3100000,200000,4100000,-3100000
97,Net Change In Cash,-161300000,-4200000,77300000,89300000,32000000,-236400000,218100000
98,Cash at the End of Period,356900000,352700000,430000000,519300000,551300000,314900000,533000000
99,Cash at the Beginning of Period,518200000,356900000,352700000,430000000,519300000,551300000,314900000
100,Free Cash Flow,-68500000,128900000,304200000,359400000,390700000,490500000,700900000
101,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1467623/000146762319000005/0001467623-19-000005-index.htm,https://www.sec.gov/Archives/edgar/data/1467623/000146762320000011/0001467623-20-000011-index.htm,https://www.sec.gov/Archives/edgar/data/1467623/000146762321000012/0001467623-21-000012-index.htm,https://www.sec.gov/Archives/edgar/data/1467623/000146762322000015/0001467623-22-000015-index.htm
102,false,,,,,,,
