,https://roic.ai/company/CTHR,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,100000,4000000,12300000,12795125,11505129,16513515,17240383,23917045,43544090,40712085,27818446,14727054,8312470,12686771,16033408,22450498,28487187,25640649,30767117,29168128,27032964,- -,32244109,29189020,39235839
2,COGS,- -,2700000,5700000,5258333,5137630,6586925,6575931,8570448,14463410,10795224,7608495,5592879,3472842,4825921,6510452,9971663,14600177,18013335,20552707,20401439,15470617,- -,17352167,21200207,20809690
3,Gross Profit,- -,1300000,6600000,7536792,6367499,9926590,10664452,15346597,29080680,29916861,20209951,9134175,4839628,7860850,9522956,12478835,13887010,7627314,10214410,8766689,11562347,- -,14891942,7988813,18426149
4,Gross Profit Ratio,- -,0.3250,0.5366,0.5890,0.5534,0.6011,0.6186,0.6417,0.6678,0.7348,0.7265,0.6202,0.5822,0.6196,0.5939,0.5558,0.4875,0.2975,0.3320,0.3006,0.4277,- -,0.4619,0.2737,0.4696
5,Research and Development Exp.,2100000,4000000,2700000,1439526,21977,7259,26702,14076,215778,73226,76646,113621,401496,99888,145720,17013,24903,18070,17795,2848,3714,- -,2069,- -,- -
6,General and Administrative Exp.,3300000,5700000,9400000,12720355,5326923,7368302,8543233,12294196,19735081,20414255,19807859,15920833,5702609,4526335,4671111,4756432,5476939,6789274,7384119,5544452,4689823,- -,4640810,4861297,4441441
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1949576,1992842,3312383,7443784,9867425,9853671,12362511,7038277,7477354,- -,7983506,9443244,8476716
8,"Selling, General and Administrative Exp.",3300000,5700000,9400000,12720355,5326923,7368302,8543233,12294196,19735081,20414255,19807859,15920833,7652185,6519177,7983494,12200216,15344364,16642945,19746630,12582729,12167177,- -,12624316,14304541,12918157
9,Other Expenses,- -,200000,700000,569986,119460,-450,- -,- -,- -,- -,- -,- -,- -,- -,94408,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
10,Operating Expenses,5400000,9900000,12800000,14729867,5468360,7375111,8569935,12308272,19950859,20487481,19884505,16034454,8053681,6619065,8223622,12217229,15369267,16661015,19764425,12585577,12170891,- -,12626385,14304541,12918157
11,COGS and Expenses,5400000,12600000,18500000,19988200,10605990,13962036,15145866,20878720,34414269,31282705,27493000,21627333,11526523,11444986,14734074,22188892,29969444,34674350,40317132,32987016,27641508,- -,29978552,35504748,33727847
