,https://roic.ai/company/OPI,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , 
1,Revenue,73050000,75425000,78957000,116768000,178950000,211076000,226910000,251031000,248549000,258180000,316532000,426560000,678404000,587919000,576482000
2,COGS,- -,- -,8546000,21241000,34661000,23413000,25710000,28389000,29906000,30703000,37942000,49708000,73717000,65119000,71970000
3,Gross Profit,73050000,75425000,70411000,95527000,144289000,187663000,201200000,222642000,218643000,227477000,278590000,376852000,604687000,522800000,504512000
4,Gross Profit Ratio,1.0000,1.0000,0.8918,0.8181,0.8063,0.8891,0.8867,0.8869,0.8797,0.8811,0.8801,0.8835,0.8913,0.8892,0.8752
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,- -,- -,29165000,29826000,35178000,32742000,32166000,39845000,51347000,67030000,53827000,52109000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,- -,- -,- -,- -,29165000,29826000,35178000,32742000,32166000,39845000,51347000,67030000,53827000,52109000
9,Other Expenses,40680000,43514000,38912000,50780000,82771000,89724000,96833000,112575000,119121000,127443000,174937000,252098000,410828000,357031000,347319000
10,Operating Expenses,40680000,43514000,38912000,50780000,82771000,118889000,126659000,147753000,151863000,159609000,214782000,303445000,477858000,410858000,399428000
11,COGS and Expenses,40680000,43514000,47458000,72021000,117432000,142302000,152369000,176142000,181769000,190312000,252724000,353153000,551575000,475977000,471398000
12,Interest Income ,88000,37000,38000,103000,104000,29000,37000,69000,14000,158000,1962000,639000,1045000,779000,7000
13,Interest Expense (Gain),359000,141000,5556000,7351000,12057000,16892000,16831000,28048000,37008000,45060000,65406000,89865000,134880000,108303000,112385000
14,Depreciation and Amortization,13534000,13829000,16443000,23807000,39957000,51855000,56302000,65384000,67611000,71492000,108601000,161060000,287378000,251020000,237092000
15,EBITDA,45992000,45777000,47980000,59120000,98214000,118866000,127886000,150083000,-105256000,174496000,186198000,229158000,453371000,366378000,341548000
16,EBITDA ratio,0.6296,0.6069,0.6077,0.5063,0.5488,0.5631,0.5636,0.5979,-0.4235,0.6759,0.5882,0.5372,0.6683,0.6232,0.5925
17,Operating Income,32370000,31911000,31499000,44747000,61518000,66666000,72102000,71529000,65969000,66677000,54318000,73407000,126829000,111942000,-5428000
18,Operating Income ratio,0.4431,0.4231,0.3989,0.3832,0.3438,0.3158,0.3178,0.2849,0.2654,0.2583,0.1716,0.1721,0.1870,0.1904,-0.0094
19,Total Other Income Expenses (Gains),- -,- -,- -,-16785000,-15318000,-16547000,-16794000,-29286000,-293959000,-43741000,-63871000,-98627000,-94457000,-103694000,- -
20,Income Before Tax,- -,- -,- -,27962000,46200000,50119000,55308000,42243000,-227990000,22936000,-9553000,-25220000,32372000,8248000,-5428000
21,Income Before Tax Ratio,- -,- -,- -,0.2395,0.2582,0.2374,0.2437,0.1683,-0.9173,0.0888,-0.0302,-0.0591,0.0477,0.0140,-0.0094
22,Income Tax expense (Gain),- -,- -,- -,167000,203000,159000,133000,117000,86000,101000,101000,117000,778000,377000,251000
23,Net Income,32099000,31807000,25981000,27795000,45997000,49960000,54620000,56534000,-209961000,57843000,12090000,-21884000,30335000,6678000,-8180000
24,Net Income ratio,0.4394,0.4217,0.3291,0.2380,0.2570,0.2367,0.2407,0.2252,-0.8447,0.2240,0.0382,-0.0513,0.0447,0.0114,-0.0142
25,EPS,12.92,12.80,6.88,3.24,4.24,4.16,4.00,3.68,-11.88,3.24,0.56,-0.90,0.63,0.14,-0.17
26,EPS Diluted,12.90,12.79,6.88,3.24,4.24,4.16,4.00,3.68,-11.88,3.24,0.56,-0.90,0.63,0.14,-0.17
27,Weighted Average Shares Outstanding,2487500,2487500,3770500,8585250,10842000,13650250,13670000,15328250,17675000,17762500,21158250,24830000,48062000,48124000,48195000
28,Weighted Average Shares Outstanding Diluted,2487500,2487500,3770500,8585250,10842000,13650250,13670000,15349750,17675000,17767750,21163250,24830000,48062000,48124000,48195000
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1456772/000104746910001094/0001047469-10-001094-index.html,https://www.sec.gov/Archives/edgar/data/1456772/000104746911001362/0001047469-11-001362-index.html,https://www.sec.gov/Archives/edgar/data/1456772/000104746912001342/0001047469-12-001342-index.html,https://www.sec.gov/Archives/edgar/data/1456772/000104746913001368/0001047469-13-001368-index.html,https://www.sec.gov/Archives/edgar/data/1456772/000104746914001040/a2218319z10-k.htm,https://www.sec.gov/Archives/edgar/data/1456772/000155837015000114/gov-20141231x10k.htm,https://www.sec.gov/Archives/edgar/data/1456772/000155837016003282/0001558370-16-003282-index.html,https://www.sec.gov/Archives/edgar/data/1456772/000145677217000010/0001456772-17-000010-index.html,https://www.sec.gov/Archives/edgar/data/1456772/000145677218000008/0001456772-18-000008-index.html,https://www.sec.gov/Archives/edgar/data/1456772/000145677219000015/0001456772-19-000015-index.html,https://www.sec.gov/Archives/edgar/data/1456772/000145677220000009/0001456772-20-000009-index.html,https://www.sec.gov/Archives/edgar/data/1456772/000145677221000007/0001456772-21-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1456772/000145677222000009/0001456772-22-000009-index.htm
