,https://roic.ai/company/CRDF,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , 
1,Revenue,650000,265665,257696,450404,259246,280178,312812,381072,505404,378325,244632,365993,359000
2,COGS,- -,- -,- -,- -,- -,15441,629191,1730512,1811424,597457,- -,- -,- -
3,Gross Profit,- -,265665,257696,- -,259246,264737,-316379,-1349440,-1306020,-219132,244632,- -,- -
4,Gross Profit Ratio,- -,1.0000,1.0000,- -,1.0000,0.9449,-1.0114,-3.5412,-2.5841,-0.5792,1.0000,- -,- -
5,Research and Development Exp.,- -,3691028,910685,1920298,3947589,6664906,10593869,15006642,7882650,8164011,11162236,11235396,17376000
6,General and Administrative Exp.,2220000,1953925,2323814,3379262,6756732,5810087,7919826,11475947,11497466,8005583,5760890,8216471,11838000
7,Selling and Marketing Exp.,- -,- -,- -,- -,245466,2734903,6443578,11523144,2735410,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",2220000,1953925,2323814,3379262,7002198,8544990,14363404,22999091,14232876,8005583,5760890,8216471,11838000
9,Other Expenses,830000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
10,Operating Expenses,3050000,5644953,3234499,5299560,10949787,15209896,24957273,38005733,22115526,16169594,16923126,19451867,29214000
11,COGS and Expenses,3050000,5644953,3234499,5299560,10949787,15225337,25586464,39736245,23926950,16767051,16923126,19451867,29214000
12,Interest Income ,- -,182,171,- -,3663,12239,57261,- -,147883,219430,234169,89809,264000
13,Interest Expense (Gain),-90000,115585,56636,- -,17005,843259,1525482,- -,1033939,25409,- -,1519,- -
14,Depreciation and Amortization,50000,8388,10285,37842,130520,234813,378711,1069547,1247576,859487,494232,466009,451000
15,EBITDA,-2520000,-5325165,-2172291,-11528119,-11663413,-13247412,-25566901,-38134172,-22625229,-15576282,-15919927,-18839144,-27840000
16,EBITDA ratio,-3.8769,-20.0447,-8.4297,-25.5951,-44.9898,-47.2821,-81.7325,-100.0708,-44.7666,-41.1717,-65.0770,-51.4741,-77.5487
17,Operating Income,-2390000,-5379288,-2976803,-4849156,-10690541,-14945159,-25273652,-40145611,-25595797,-17053412,-16678494,-19085874,-28855000
18,Operating Income ratio,-3.6769,-20.2484,-11.5516,-10.7662,-41.2371,-53.3417,-80.7950,-105.3491,-50.6442,-45.0761,-68.1779,-52.1482,-80.3760
19,Total Other Income Expenses (Gains),-90000,45553,794056,-6716805,-1120397,619675,-2197442,941892,689053,592234,264335,-220798,564000
20,Income Before Tax,-2480000,- -,- -,-11565961,-11810938,-14325484,-27471094,-39203719,-24906744,-16461178,-16414159,-19306672,-28291000
21,Income Before Tax Ratio,-3.8154,- -,- -,-25.6791,-45.5588,-51.1299,-87.8198,-102.8775,-49.2809,-43.5107,-67.0974,-52.7515,-78.8050
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
23,Net Income,-2480000,-5449138,-2239212,-11565961,-11810938,-14325484,-27471094,-39203719,-24906744,-16461178,-16414159,-19306672,-28291000
24,Net Income ratio,-3.8154,-20.5113,-8.6894,-25.6791,-45.5588,-51.1299,-87.8198,-102.8775,-49.2809,-43.5107,-67.0974,-52.7515,-78.8050
25,EPS,-35.43,-56.16,-17.28,-64.08,-50.40,-54.72,-75.60,-93.60,-51.84,-8.26,-2.80,-1.08,-0.73
26,EPS Diluted,-35.43,-56.16,-17.28,-64.08,-50.40,-63.36,-87.12,-98.64,-51.84,-8.26,-2.80,-1.08,-0.73
27,Weighted Average Shares Outstanding,70000,99427,134882,181485,235808,262555,363915,419096,481665,2329538,5974000,20874665,39030000
28,Weighted Average Shares Outstanding Diluted,70000,99427,134882,181485,235808,264874,367388,420568,481665,2329538,5974000,20874665,39030000
29,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1213037/000110465913026211/0001104659-13-026211-index.htm,https://www.sec.gov/Archives/edgar/data/1213037/000110465914020261/0001104659-14-020261-index.htm,https://www.sec.gov/Archives/edgar/data/1213037/000110465915019213/0001104659-15-019213-index.htm,https://www.sec.gov/Archives/edgar/data/1213037/000162828016012562/0001628280-16-012562-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1213037/000162828018002226/0001628280-18-002226-index.htm,https://www.sec.gov/Archives/edgar/data/1213037/000162828019002546/0001628280-19-002546-index.htm,https://www.sec.gov/Archives/edgar/data/1213037/000162828020002424/0001628280-20-002424-index.htm,https://www.sec.gov/Archives/edgar/data/1213037/000162828021003277/0001628280-21-003277-index.htm,https://www.sec.gov/Archives/edgar/data/1213037/000162828022003808/0001628280-22-003808-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , 
31,Cash and Cash Equivalents,550000,58703,700374,10819781,25836937,27293798,67493047,13915094,8225764,11453133,10195292,130980681,11943000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,23978022,- -,- -,- -,- -,128878000
33,Cash and Short-Term Investments,550000,58703,700374,10819781,25836937,27293798,67493047,37893116,8225764,11453133,10195292,130980681,140821000
34,Net Receivables,30000,75000,99140,168381,78994,56694,98736,100460,77095,167755,203480,320458,535000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,70000,151032,42658,60041,152789,369259,789285,956616,1165828,1144377,954957,2055321,4771000
37,Total Current Assets,650000,284735,842172,11048203,26068720,27719751,68381068,38950192,9468687,12765265,11353729,133356460,146127000
38,PP&E,10000,31260,22504,254742,750565,840387,2690579,3826915,2426312,1304433,1575241,966695,3178000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,100000,196229,174581,362081,336450,336708,374004,1173304,389942,102798,157576,404232,239000
45,Total Non-Current Assets,110000,227489,197085,616823,1087015,1177095,3064583,5000219,2816254,1407231,1732817,1370927,3417000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,760000,512224,1039257,11665026,27155735,28896846,71445651,43950411,12284941,14172496,13086546,134727387,149544000
48,Accounts Payable,830000,637863,928364,175679,286608,747799,1040868,1130536,825244,664840,656304,1366008,1439000
49,Short-Term Debt,2110000,2335050,- -,- -,198166,1898548,5225818,2360109,1331515,- -,865379,860206,551000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,270000,448738,501517,554691,1524092,1841808,1934411,4306611,1789011,2300478,3260061,3892763,4569000
53,Total Current Liabilities,3210000,3421651,1429881,730370,2008866,4488155,8201097,7797256,3945770,2965318,4781744,6118977,6559000
54,Long-Term Debt,- -,- -,- -,- -,322998,13053117,11246188,14176359,- -,- -,- -,- -,2568000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,1340000,2085938,3840644,8765628,4431871,3006021,3297077,2208657,1833064,1122986,993458,450528,- -
58,Total Non-Current Liabilities,1340000,2085938,3840644,8765628,4754869,16059138,14543265,16385016,1833064,1122986,993458,450528,2568000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1726342,869497,3119000
61,Total Liabilities,4550000,5507589,5270525,9495998,6763735,20547293,22744362,24182272,5778834,4088304,5775202,6569505,9127000
62,Preferred Stock,- -,96,96,96,60,60,60,60,60,60,60,716,1000
63,Common Stock,- -,5261,6442,1547,1890,1891,2974,3070,5279,7742,8312,3678,4000
64,Retained Earnings,-35830000,-41320979,-43598431,-55202632,-67043410,-81391909,-108887243,-148115202,-173046186,-192191215,-208897883,-231495279,-259810000
65,Other Comprehensive Income/Loss,-200000,-211514,-221799,-259641,-348602,-533870,-854782,-10773,-2071492,-2110061,-2604293,- -,-142000
66,Other Total Stockholders Equity,32240000,36531771,39582424,57629658,87782062,90273381,158440280,167890984,181618446,204377666,218805148,359648767,400364000
67,Total Stockholders Equity,-3790000,-4995365,-4231268,2169028,20392000,8349553,48701289,19768139,6506107,10084192,7311344,128157882,140417000
68,Total Liabilities And Stockholders Equity,760000,512224,1039257,11665026,27155735,28896846,71445651,43950411,12284941,14172496,13086546,134727387,149544000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,760000,512224,1039257,11665026,27155735,28896846,71445651,43950411,12284941,14172496,13086546,134727387,149544000
71,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1213037/000110465913026211/0001104659-13-026211-index.htm,https://www.sec.gov/Archives/edgar/data/1213037/000110465914020261/0001104659-14-020261-index.htm,https://www.sec.gov/Archives/edgar/data/1213037/000110465915019213/0001104659-15-019213-index.htm,https://www.sec.gov/Archives/edgar/data/1213037/000162828016012562/0001628280-16-012562-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1213037/000162828018002226/0001628280-18-002226-index.htm,https://www.sec.gov/Archives/edgar/data/1213037/000162828019002546/0001628280-19-002546-index.htm,https://www.sec.gov/Archives/edgar/data/1213037/000162828020002424/0001628280-20-002424-index.htm,https://www.sec.gov/Archives/edgar/data/1213037/000162828021003277/0001628280-21-003277-index.htm,https://www.sec.gov/Archives/edgar/data/1213037/000162828022003808/0001628280-22-003808-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , 
73,Net Income,-2480000,-5449138,-2239212,-11565961,-11810938,-14325484,-27471094,-39203719,-24906744,-16461178,-16414159,-19306672,-28291000
74,Depreciation and Amortization,50000,8388,10285,37842,130520,234813,378711,1069547,1247576,859487,494232,466009,451000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,325930,250978,532140,1979364,2070194,3946027,7504316,4012585,2174627,884943,1764804,3234000
77,Change in Working Capital,-360000,-576916,2549207,10905542,13742021,-828258,36948375,-29027035,-25630019,4277030,-3227962,120665498,-1789000
78,Accounts Receivable,- -,-47035,-24140,-69241,89387,22300,-42042,-1724,23365,- -,- -,- -,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
81,Other Working Capital,-2560000,-3136916,-587709,10317833,24059854,23231596,60179971,31152936,5522917,9799947,6571985,127237483,- -
82,Other Non-Cash Items,1560000,3603020,-2501559,-4844224,-11358215,121350,-35921044,28617036,21995535,-4048979,4995446,-119904601,3355000
83,Cash Provided by Operating Activities,-1230000,-2088716,-1930301,-4934661,-7317248,-12727385,-22119025,-31039855,-23281067,-13199013,-13267500,-16314962,-23040000
84,CAPEX,-10000,-27747,-1528,-270080,-649284,-363290,-2241066,-823483,-101101,-5100,-67622,-211880,-205000
85,Acquisitions Net,- -,-104700,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,-37760166,-8804604,-31500,- -,- -,-174385000
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,13750000,32866390,31500,- -,- -,43142000
88,Other Investing Activites,- -,-27747,-1528,-270080,-649284,-299790,-2233466,-823483,-99561,22842,378,-211880,-205000
89,Cash Used for Investing Activites,-10000,-132447,-1528,-270080,-649284,-299790,-2233466,-24833649,23962225,22842,-67622,-211880,-131448000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,-8948341,-17239171,-1375414,- -,-305000,- -
91,Common Stock Issued,- -,1734700,2573500,15323548,18829644,- -,61215399,2285415,11727153,13115648,8817772,112299949,34187000
92,Common Stock Repurchased,1470000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,180000,- -,- -,600,4154044,14484036,3336341,8964302,-866039,4663306,3259509,25317282,1263000
95,Cash Used/Provided by Financing Activities,1650000,1734700,2573500,15324148,22983688,14484036,64551740,2301376,-6378057,16403540,12077281,137312231,35450000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,-5825,7569,- -,- -,- -,- -
97,Net Change In Cash,410000,-486463,641671,10119407,15017156,1456861,40199249,-53577953,-5689330,3227369,-1257841,120785389,-119038000
98,Cash at the End of Period,410000,58703,700374,10819781,25836937,27293798,67493047,13915094,8225764,11453133,10195292,130980681,11943000
99,Cash at the Beginning of Period,- -,545166,58703,700374,10819781,25836937,27293798,67493047,13915094,8225764,11453133,10195292,130981000
100,Free Cash Flow,-1240000,-2116463,-1931829,-5204741,-7966532,-13090675,-24360091,-31863338,-23382168,-13204113,-13335122,-16526842,-23245000
101,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1213037/000110465913026211/0001104659-13-026211-index.htm,https://www.sec.gov/Archives/edgar/data/1213037/000110465914020261/0001104659-14-020261-index.htm,https://www.sec.gov/Archives/edgar/data/1213037/000110465915019213/0001104659-15-019213-index.htm,https://www.sec.gov/Archives/edgar/data/1213037/000162828016012562/0001628280-16-012562-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1213037/000162828018002226/0001628280-18-002226-index.htm,https://www.sec.gov/Archives/edgar/data/1213037/000162828019002546/0001628280-19-002546-index.htm,https://www.sec.gov/Archives/edgar/data/1213037/000162828020002424/0001628280-20-002424-index.htm,https://www.sec.gov/Archives/edgar/data/1213037/000162828021003277/0001628280-21-003277-index.htm,https://www.sec.gov/Archives/edgar/data/1213037/000162828022003808/0001628280-22-003808-index.htm
102,false,,,,,,,,,,,,,
