,https://roic.ai/company/MTLS,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , 
1,Revenue,- -,59107000,68723000,81355000,102035000,114477000,142573000,184721000,196679000,170449000,205450000
2,COGS,- -,23792000,27189000,32396000,42963000,46706000,62787000,82299000,86972000,76446000,88169000
3,Gross Profit,- -,35315000,41534000,48959000,59072000,67771000,79786000,102422000,109707000,94003000,117281000
4,Gross Profit Ratio,- -,0.5975,0.6044,0.6018,0.5789,0.5920,0.5596,0.5545,0.5578,0.5515,0.5708
5,Research and Development Exp.,- -,9424000,10596000,15093000,18186000,17682000,19959000,22416000,23348000,27104000,26891000
6,General and Administrative Exp.,- -,7146000,7703000,10842000,13563000,17715000,22115000,28482000,28156000,26900000,32601000
7,Selling and Marketing Exp.,- -,19768000,22360000,27543000,36832000,36153000,39109000,46303000,52989000,44636000,49151000
8,"Selling, General and Administrative Exp.",- -,26914000,30063000,38385000,50395000,53868000,61224000,74785000,81145000,71536000,81752000
9,Other Expenses,- -,-3213000,-3441000,-4360000,-5259000,-3434000,-2497000,495000,-1802000,-1449000,-3578000
10,Operating Expenses,- -,33125000,37218000,49118000,63322000,68116000,78686000,97696000,102691000,97191000,105065000
11,COGS and Expenses,- -,56917000,64407000,81514000,106285000,114822000,141473000,179995000,189663000,173637000,193234000
12,Interest Income ,- -,64000,54000,62000,40000,14000,6000,- -,- -,2453000,5620000
13,Interest Expense (Gain),- -,636000,568000,606000,615000,665000,1026000,1747000,2146000,2299000,4101000
14,Depreciation and Amortization,- -,2911000,3190000,4565000,6707000,8374000,12631000,17287000,19198000,19674000,20516000
15,EBITDA,- -,5219000,7288000,7619000,4126000,7730000,12535000,22486000,25585000,13900000,38362000
16,EBITDA ratio,- -,0.0883,0.1060,0.0937,0.0404,0.0675,0.0879,0.1217,0.1301,0.0815,0.1867
17,Operating Income,- -,2111000,4420000,330000,-3889000,107000,865000,5164000,7016000,-4639000,12217000
18,Operating Income ratio,- -,0.0357,0.0643,0.0041,-0.0381,0.0009,0.0061,0.0280,0.0357,-0.0272,0.0595
19,Total Other Income Expenses (Gains),- -,-537000,-987000,1929000,640000,-1416000,-1987000,-1712000,-2697000,-3542000,1519000
20,Income Before Tax,- -,1574000,3433000,2259000,-3249000,-1309000,-1122000,3452000,4319000,-8181000,13736000
21,Income Before Tax Ratio,- -,0.0266,0.0500,0.0278,-0.0318,-0.0114,-0.0079,0.0187,0.0220,-0.0480,0.0669
22,Income Tax expense (Gain),- -,121000,21000,387000,-389000,1710000,534000,425000,2595000,-949000,591000
23,Net Income,- -,1551000,3509000,2061000,-2807000,-3019000,-1656000,3027000,1646000,-7124000,13154000
24,Net Income ratio,- -,0.0262,0.0511,0.0253,-0.0275,-0.0264,-0.0116,0.0164,0.0084,-0.0418,0.0640
25,EPS,- -,0.04,0.07,0.05,-0.06,-0.06,-0.03,0.06,0.03,-0.13,0.25
26,EPS Diluted,- -,0.04,0.07,0.05,-0.06,-0.06,-0.03,0.06,0.03,-0.13,0.25
27,Weighted Average Shares Outstanding,- -,39072000,37841000,43118000,47224000,47325000,47325000,49806000,52891000,53364000,53364000
28,Weighted Average Shares Outstanding Diluted,- -,41104000,39406000,43288000,47224000,47325000,47325000,50609000,53779000,53364000,53364000
29,SEC Link,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1091223/000119312515162857/d915518d20f.htm,https://www.sec.gov/Archives/edgar/data/1091223/000119312516564184/d120629d20f.htm,https://www.sec.gov/Archives/edgar/data/1091223/000119312517149080/d369572d20f.htm,https://www.sec.gov/Archives/edgar/data/1091223/000119312518143179/d557201d20f.htm,https://www.sec.gov/Archives/edgar/data/1091223/000119312519129416/d750783d20f.htm,https://www.sec.gov/Archives/edgar/data/1091223/000119312520128829/d873114d20f.htm,- -,- -
30,BALANCE SHEET, , , , , , , , , , , 
31,Cash and Cash Equivalents,2922000,6417000,12598000,51019000,50726000,55912000,43175000,115506000,128897000,111538000,196028000
32,Short-Term Investments,- -,- -,- -,10000000,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,2922000,6417000,12598000,61019000,50726000,55912000,43175000,115506000,128897000,111538000,196028000
34,Net Receivables,10263000,11109000,12382000,18370000,22843000,30477000,44039000,42610000,47456000,37069000,41541000
35,Inventory,3000000,3487000,3328000,3660000,5387000,7870000,10328000,9157000,12201000,9294000,11295000
36,Other Current Assets,1486000,1837000,3053000,3540000,4993000,1483000,2021000,2046000,2632000,2841000,8939000
37,Total Current Assets,17671000,22850000,31361000,86589000,83949000,95742000,99563000,169319000,191186000,160742000,257803000
38,PP&E,18012000,20601000,20617000,30212000,38400000,45063000,86881000,92537000,100917000,99263000,93505000
39,Goodwill,1532000,1532000,1612000,7714000,9664000,8860000,18447000,17491000,20174000,20342000,18726000
40,Intangible Assets,621000,1130000,1439000,7727000,9657000,9765000,28646000,26326000,27395000,32981000,31668000
41,Intangible Assets,2153000,2662000,3051000,15441000,19321000,18625000,47093000,43817000,47569000,53323000,50394000
42,Investments,194000,210000,253000,747000,1374000,- -,31000,2701000,3085000,10045000,3959000
43,Tax Assets,479000,352000,406000,232000,1092000,336000,304000,315000,192000,201000,227000
44,Other Non-Current Assets,- -,- -,- -,- -,- -,2154000,3667000,4536000,6345000,4093000,7520000
45,Total Non-Current Assets,20838000,23825000,24327000,46632000,60187000,66178000,137976000,143906000,158108000,166925000,155605000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,38509000,46675000,55688000,133221000,144136000,161920000,237539000,313225000,349294000,327667000,413408000
48,Accounts Payable,5294000,4672000,6794000,7205000,9712000,13400000,15670000,18667000,18517000,17698000,20171000
49,Short-Term Debt,5373000,4037000,4640000,5499000,4482000,5539000,12769000,13598000,16838000,17523000,21202000
50,Tax Payable,961000,628000,803000,1116000,1168000,1620000,5623000,4488000,5625000,3992000,783000
51,Deferred Revenue,4209000,5675000,6773000,12155000,16847000,18403000,19661000,23908000,28356000,29959000,33306000
52,Other Current Liabilities,4516000,4727000,5884000,8282000,9129000,10492000,16186000,16942000,20334000,19265000,16755000
53,Total Current Liabilities,19392000,19111000,24091000,33141000,40170000,47834000,64286000,73115000,84045000,84445000,91434000
54,Long-Term Debt,6493000,11635000,11676000,11848000,16607000,28267000,81788000,92440000,111100000,97588000,77905000
55,Deferred Revenue,881000,2540000,1634000,767000,173000,3588000,5040000,4587000,5031000,5327000,4952000
56,Deferred Tax Liabilities,6000,52000,212000,1329000,2068000,1325000,7006000,6226000,5747000,6805000,4371000
57,Other Non-Current Liabilities,- -,- -,340000,969000,2163000,1873000,1904000,868000,697000,398000,2171000
58,Total Non-Current Liabilities,7380000,14227000,13862000,14913000,21011000,35053000,95738000,104121000,122575000,110118000,89399000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,9876000,10625000,8621000
61,Total Liabilities,26772000,33338000,37953000,48054000,61181000,82887000,160024000,177236000,206620000,194563000,180833000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,2226000,2226000,2235000,2788000,2729000,2729000,2729000,3050000,3066000,4096000,4467000
64,Retained Earnings,- -,- -,- -,- -,- -,- -,- -,- -,- -,-7395000,-911000
