,https://roic.ai/company/MYSZ,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , 
1,Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,63000,142000,131000
2,COGS,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,21000,2000,- -
3,Gross Profit,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,42000,140000,131000
4,Gross Profit Ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,0.6667,0.9859,1.0000
5,Research and Development Exp.,5650000,15387000,- -,- -,192853,180000,- -,78000,301000,727000,845000,1105000,1516000,1523000,4248000
6,General and Administrative Exp.,1605000,7731000,1930000,- -,- -,880000,240000,- -,1351000,1628000,4523000,3405000,3613000,3788000,3779000
7,Selling and Marketing Exp.,1495000,570000,- -,- -,- -,- -,- -,- -,243000,231000,242000,665000,903000,975000,2336000
8,"Selling, General and Administrative Exp.",3100000,8301000,1930000,- -,- -,880000,240000,- -,1594000,1859000,4765000,4070000,4516000,4763000,6115000
9,Other Expenses,- -,- -,- -,2512000,143458,20000,- -,586000,- -,- -,- -,- -,- -,- -,- -
10,Operating Expenses,8750000,23688000,1930000,2512000,336311,1080000,240000,664000,1895000,2586000,5610000,5175000,6032000,6286000,10363000
11,COGS and Expenses,8750000,23688000,1930000,2512000,336311,1080000,240000,664000,1895000,2586000,5610000,5175000,6053000,6288000,10363000
12,Interest Income ,- -,- -,- -,- -,81450,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),-1760000,- -,- -,- -,18917,- -,-40000,- -,1019000,528000,532000,192000,- -,- -,- -
14,Depreciation and Amortization,190000,1204000,7000,9000,11298,10000,- -,1000,8000,24000,30000,31000,30000,82000,85000
15,EBITDA,-8560000,-22484000,-1923000,-2503000,-325013,-1070000,40000,-663000,-1887000,-2562000,-5580000,-5144000,-5467000,-6075000,-10435000
16,EBITDA ratio,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-86.7778,-42.7817,-79.6565
17,Operating Income,-8750000,-23688000,-1930000,-2512000,-336311,-1080000,-240000,-664000,-1895000,-2586000,-5610000,-5175000,-5990000,-6146000,-10577000
18,Operating Income ratio,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-95.0794,-43.2817,-80.7405
19,Total Other Income Expenses (Gains),-1760000,4882000,254000,- -,- -,10000,320000,196000,-1542000,-1748000,206000,-794000,493000,-11000,57000
20,Income Before Tax,-10510000,-18806000,-1676000,- -,- -,-1070000,80000,-468000,-3437000,-4334000,-5404000,-5969000,-5497000,-6157000,-10520000
21,Income Before Tax Ratio,-Infinity,-Infinity,-Infinity,- -,- -,-Infinity,Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-87.2540,-43.3592,-80.3053
