,https://roic.ai/company/KBR,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , 
1,Revenue,5125000000,8810000000,11960000000,10206000000,9633000000,8745000000,11581000000,12105000000,10099000000,9103000000,7770000000,7283000000,6366000000,5096000000,4268000000,4171000000,4913000000,5639000000,5767000000,7339000000
2,COGS,5218000000,- -,12171000000,9716000000,9285000000,8225000000,10820000000,11348000000,9273000000,8463000000,7252000000,6702000000,6431000000,4771000000,4156000000,3829000000,4457000000,4986000000,5101000000,6533000000
3,Gross Profit,-93000000,- -,-211000000,490000000,348000000,520000000,761000000,757000000,826000000,640000000,518000000,581000000,-65000000,325000000,112000000,342000000,456000000,653000000,666000000,806000000
4,Gross Profit Ratio,-0.0181,- -,-0.0176,0.0480,0.0361,0.0595,0.0657,0.0625,0.0818,0.0703,0.0667,0.0798,-0.0102,0.0638,0.0262,0.0820,0.0928,0.1158,0.1155,0.1098
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,- -,- -,226000000,223000000,217000000,212000000,214000000,222000000,249000000,239000000,155000000,143000000,147000000,166000000,341000000,- -,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",89000000,- -,92000000,85000000,108000000,226000000,223000000,217000000,212000000,214000000,222000000,249000000,239000000,155000000,143000000,147000000,166000000,341000000,335000000,393000000
9,Other Expenses,- -,- -,54000000,-50000000,-6000000,- -,-3000000,-2000000,- -,-3000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
10,Operating Expenses,89000000,- -,146000000,35000000,102000000,226000000,220000000,215000000,212000000,211000000,222000000,249000000,239000000,155000000,143000000,147000000,166000000,341000000,335000000,393000000
11,COGS and Expenses,5307000000,- -,12317000000,9751000000,9387000000,8451000000,11040000000,11563000000,9485000000,8674000000,7474000000,6951000000,6670000000,4926000000,4299000000,3976000000,4623000000,5327000000,5436000000,6926000000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7000000,5000000,- -,- -,- -,21000000,66000000,99000000,83000000,92000000
14,Depreciation and Amortization,29000000,- -,52000000,56000000,47000000,41000000,49000000,55000000,62000000,71000000,65000000,68000000,72000000,39000000,45000000,48000000,63000000,104000000,115000000,146000000
15,EBITDA,-161000000,-133000000,-347000000,478000000,344000000,481000000,580000000,513000000,580000000,583000000,302000000,438000000,-769000000,328000000,68000000,310000000,498000000,464000000,152000000,364000000
16,EBITDA ratio,-0.0314,-0.0151,-0.0290,0.0468,0.0357,0.0550,0.0501,0.0424,0.0574,0.0640,0.0389,0.0601,-0.1208,0.0644,0.0159,0.0743,0.1014,0.0823,0.0264,0.0496
17,Operating Income,-182000000,8810000000,-357000000,455000000,246000000,294000000,541000000,536000000,609000000,587000000,299000000,471000000,-794000000,310000000,28000000,266000000,470000000,362000000,57000000,231000000
18,Operating Income ratio,-0.0355,1.0000,-0.0298,0.0446,0.0255,0.0336,0.0467,0.0443,0.0603,0.0645,0.0385,0.0647,-0.1247,0.0608,0.0066,0.0638,0.0957,0.0642,0.0099,0.0315
19,Total Other Income Expenses (Gains),1000000,- -,-28000000,-22000000,-26000000,48000000,27000000,-4000000,-23000000,-15000000,-11000000,-8000000,17000000,2000000,5000000,-17000000,-72000000,-94000000,-82000000,-97000000
20,Income Before Tax,-181000000,- -,-385000000,433000000,220000000,342000000,568000000,532000000,586000000,572000000,288000000,463000000,-777000000,312000000,33000000,249000000,398000000,268000000,-25000000,134000000
21,Income Before Tax Ratio,-0.0353,- -,-0.0322,0.0424,0.0228,0.0391,0.0490,0.0439,0.0580,0.0628,0.0371,0.0636,-0.1221,0.0612,0.0077,0.0597,0.0810,0.0475,-0.0043,0.0183
22,Income Tax expense (Gain),-98000000,- -,-96000000,182000000,129000000,138000000,212000000,168000000,191000000,32000000,86000000,136000000,421000000,86000000,84000000,-193000000,88000000,59000000,26000000,108000000
23,Net Income,-92000000,-133000000,-303000000,240000000,168000000,302000000,319000000,290000000,327000000,480000000,144000000,229000000,-1262000000,203000000,-61000000,434000000,281000000,202000000,-72000000,18000000
24,Net Income ratio,-0.0180,-0.0151,-0.0253,0.0235,0.0174,0.0345,0.0275,0.0240,0.0324,0.0527,0.0185,0.0314,-0.1982,0.0398,-0.0143,0.1041,0.0572,0.0358,-0.0125,0.0025
25,EPS,-0.68,-0.98,-2.23,1.76,1.20,1.80,0.02,1.80,2.08,3.18,0.97,1.55,-8.66,1.40,-0.43,3.06,1.99,1.42,-0.51,0.13
26,EPS Diluted,-0.68,-0.98,-2.23,1.76,1.20,1.79,0.02,1.79,2.07,3.16,0.97,1.54,-8.66,1.40,-0.43,3.06,1.99,1.41,-0.51,0.12
27,Weighted Average Shares Outstanding,136000000,136000000,136000000,136000000,140000000,168000000,166000000,160000000,156000000,150000000,148000000,148000000,146000000,144000000,142000000,141000000,140000000,141819148,140766052,140000000
28,Weighted Average Shares Outstanding Diluted,136000000,136000000,136000000,136000000,140000000,169000000,167000000,161000000,157000000,151000000,149000000,149000000,146000000,144000000,142000000,141000000,141000000,143262411,141176471,145000000
29,SEC Link,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1357615/000095013408003362/0000950134-08-003362-index.htm,https://www.sec.gov/Archives/edgar/data/1357615/000114036109004960/0001140361-09-004960-index.htm,https://www.sec.gov/Archives/edgar/data/1357615/000114036110008295/0001140361-10-008295-index.htm,https://www.sec.gov/Archives/edgar/data/1357615/000119312511043559/0001193125-11-043559-index.htm,https://www.sec.gov/Archives/edgar/data/1357615/000119312512073017/0001193125-12-073017-index.htm,https://www.sec.gov/Archives/edgar/data/1357615/000135761513000006/0001357615-13-000006-index.htm,https://www.sec.gov/Archives/edgar/data/1357615/000135761514000005/0001357615-14-000005-index.htm,https://www.sec.gov/Archives/edgar/data/1357615/000135761515000027/0001357615-15-000027-index.htm,https://www.sec.gov/Archives/edgar/data/1357615/000135761516000245/0001357615-16-000245-index.htm,https://www.sec.gov/Archives/edgar/data/1357615/000135761517000035/0001357615-17-000035-index.htm,https://www.sec.gov/Archives/edgar/data/1357615/000135761518000033/0001357615-18-000033-index.htm,https://www.sec.gov/Archives/edgar/data/1357615/000135761519000030/0001357615-19-000030-index.htm,https://www.sec.gov/Archives/edgar/data/1357615/000135761520000034/0001357615-20-000034-index.htm,https://www.sec.gov/Archives/edgar/data/1357615/000135761521000040/0001357615-21-000040-index.htm,https://www.sec.gov/Archives/edgar/data/1357615/000135761522000012/0001357615-22-000012-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,858000000,- -,234000000,394000000,1461000000,1861000000,1145000000,941000000,786000000,966000000,1053000000,1099000000,970000000,883000000,536000000,439000000,739000000,712000000,436000000,370000000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,858000000,- -,234000000,394000000,1461000000,1861000000,1145000000,941000000,786000000,966000000,1053000000,1099000000,970000000,883000000,536000000,439000000,739000000,712000000,436000000,370000000
34,Net Receivables,- -,- -,3074000000,2547000000,2045000000,1747000000,1312000000,1900000000,1883000000,1662000000,1900000000,1609000000,1364000000,861000000,1425000000,904000000,1141000000,1190000000,1099000000,1656000000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,8000000,5000000,5000000,- -,- -,- -,- -,- -
36,Other Current Assets,- -,- -,424000000,569000000,392000000,448000000,1685000000,800000000,593000000,814000000,715000000,302000000,202000000,95000000,81000000,82000000,79000000,109000000,99000000,126000000
37,Total Current Assets,- -,- -,3732000000,3510000000,3898000000,4056000000,4142000000,3641000000,3262000000,3442000000,3668000000,3010000000,2544000000,1844000000,2047000000,1425000000,1959000000,2011000000,1634000000,2152000000
38,PP&E,411000000,- -,467000000,444000000,492000000,220000000,245000000,251000000,355000000,384000000,390000000,415000000,247000000,169000000,145000000,130000000,121000000,305000000,284000000,294000000
39,Goodwill,- -,- -,288000000,285000000,289000000,251000000,694000000,691000000,947000000,951000000,779000000,772000000,324000000,324000000,959000000,968000000,1265000000,1265000000,1761000000,2060000000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,73000000,58000000,127000000,113000000,99000000,85000000,41000000,35000000,248000000,239000000,516000000,495000000,683000000,708000000
41,Intangible Assets,- -,- -,288000000,285000000,289000000,251000000,767000000,749000000,1074000000,1064000000,878000000,857000000,365000000,359000000,1207000000,1207000000,1781000000,1760000000,2444000000,2768000000
42,Investments,- -,- -,- -,- -,- -,294000000,185000000,164000000,219000000,190000000,217000000,156000000,151000000,281000000,369000000,387000000,744000000,850000000,881000000,576000000
43,Tax Assets,- -,- -,116000000,124000000,188000000,139000000,167000000,120000000,103000000,128000000,203000000,337000000,174000000,99000000,118000000,300000000,222000000,236000000,297000000,226000000
44,Other Non-Current Assets,- -,- -,884000000,819000000,540000000,243000000,378000000,402000000,404000000,465000000,411000000,741000000,718000000,660000000,258000000,225000000,245000000,202000000,165000000,183000000
45,Total Non-Current Assets,- -,- -,1755000000,1672000000,1509000000,1147000000,1742000000,1686000000,2155000000,2231000000,2099000000,2506000000,1655000000,1568000000,2097000000,2249000000,3113000000,3353000000,4071000000,4047000000
46,Other Assets,4031000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,4031000000,- -,5487000000,5182000000,5407000000,5203000000,5884000000,5327000000,5417000000,5673000000,5767000000,5516000000,4199000000,3412000000,4144000000,3674000000,5072000000,5364000000,5705000000,6199000000
48,Accounts Payable,- -,- -,2446000000,2101000000,2179000000,1117000000,1387000000,1045000000,921000000,761000000,756000000,849000000,830000000,487000000,582000000,380000000,579000000,613000000,596000000,1039000000
49,Short-Term Debt,- -,- -,18000000,16000000,18000000,- -,- -,- -,- -,- -,10000000,- -,10000000,10000000,9000000,10000000,32000000,77000000,61000000,57000000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,60000000,92000000,75000000,85000000,41000000,69000000,61000000,45000000,36000000
51,Deferred Revenue,- -,- -,- -,- -,- -,794000000,- -,- -,- -,- -,536000000,392000000,531000000,509000000,552000000,368000000,463000000,484000000,356000000,313000000
52,Other Current Liabilities,- -,- -,503000000,449000000,786000000,712000000,1656000000,1246000000,1426000000,1523000000,975000000,587000000,653000000,406000000,416000000,313000000,345000000,327000000,442000000,466000000
53,Total Current Liabilities,- -,- -,2967000000,2566000000,2983000000,2623000000,3043000000,2291000000,2347000000,2284000000,2277000000,1828000000,2024000000,1412000000,1559000000,1071000000,1419000000,1501000000,1455000000,1875000000
54,Long-Term Debt,- -,- -,42000000,792000000,2000000,- -,- -,- -,- -,- -,84000000,- -,63000000,51000000,684000000,498000000,1243000000,1190000000,1772000000,2042000000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,95000000,100000000,90000000,101000000,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,26000000,33000000,37000000,37000000,122000000,117000000,71000000,77000000,87000000,170000000,94000000,149000000,18000000,27000000,16000000,26000000,70000000
57,Other Non-Current Liabilities,- -,- -,1551000000,399000000,567000000,308000000,752000000,618000000,749000000,876000000,818000000,1006000000,912000000,703000000,917000000,765000000,645000000,800000000,843000000,511000000
