,https://roic.ai/company/OR,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , 
1,Revenue,- -,17179000,45415000,62677000,213216000,490472000,392599000,213630000,224877000
2,COGS,- -,- -,588000,11291000,153710000,423917000,309890000,109305000,86007000
3,Gross Profit,- -,- -,44827000,51386000,59506000,66555000,82709000,104325000,138870000
4,Gross Profit Ratio,- -,- -,0.9871,0.8199,0.2791,0.1357,0.2107,0.4883,0.6175
5,Research and Development Exp.,- -,3344000,10982000,8282000,18706000,4525000,6122000,- -,- -
6,General and Administrative Exp.,903000,8629000,26028000,25140000,44882000,22681000,29804000,36191000,45433000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",903000,8629000,26028000,25140000,44882000,22681000,29804000,36191000,45433000
9,Other Expenses,7259000,2666000,-8573000,-8086000,-18522000,-4342000,-5931000,131000,14116000
10,Operating Expenses,8162000,14639000,28437000,25336000,45066000,22864000,29995000,36322000,59549000
11,COGS and Expenses,8162000,14639000,29025000,36627000,198776000,446781000,339885000,145627000,145556000
12,Interest Income ,1340000,2115000,4055000,3260000,4255000,4428000,4632000,4582000,5065000
13,Interest Expense (Gain),- -,43000,609000,3435000,8384000,25999000,23548000,26131000,24586000
14,Depreciation and Amortization,- -,- -,765000,11509000,28210000,52786000,48270000,46904000,51934000
15,EBITDA,-20453000,1676502000,38317000,66781000,-29054000,-61950000,-202777000,100824000,65921000
16,EBITDA ratio,-Infinity,97.5902,0.8437,1.0655,-0.1363,-0.1263,-0.5165,0.4720,0.2931
17,Operating Income,-16284000,-1735000,18224000,29089000,-70435000,-113531000,-183226000,41703000,-45217000
18,Operating Income ratio,-Infinity,-0.1010,0.4013,0.4641,-0.3303,-0.2315,-0.4667,0.1952,-0.2011
19,Total Other Income Expenses (Gains),-12274000,2931000,18498000,22489000,4500000,-27204000,-91369000,-14561000,1497000
20,Income Before Tax,-28558000,1196000,36722000,51578000,-65935000,-140735000,-274595000,27142000,-43720000
21,Income Before Tax Ratio,-Infinity,0.0696,0.8086,0.8229,-0.3092,-0.2869,-0.6994,0.1271,-0.1944
22,Income Tax expense (Gain),126000,3291000,8194000,9724000,-23147000,-35148000,-40400000,10913000,12955000
23,Net Income,-455103000,1673168000,28749000,42113000,-42501000,-105587000,-234195000,16876000,-23554000
24,Net Income ratio,-Infinity,97.3961,0.6330,0.6719,-0.1993,-0.2153,-0.5965,0.0790,-0.1047
25,EPS,-9.50,36.40,0.33,0.40,-0.33,-0.67,-1.55,0.10,-0.14
26,EPS Diluted,-9.50,36.40,0.32,0.40,-0.33,-0.67,-1.55,0.10,-0.14
27,Weighted Average Shares Outstanding,47900457,45964000,87856000,104671000,127939000,156617000,151266000,162303000,167628000
28,Weighted Average Shares Outstanding Diluted,47900457,45964000,88938000,104824000,127939000,156617000,151266000,162428000,167628000
29,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1627272/000106299317001498/0001062993-17-001498-index.html,https://www.sec.gov/Archives/edgar/data/1627272/000106299318001395/0001062993-18-001395-index.html,https://www.sec.gov/Archives/edgar/data/1627272/000106299319001469/0001062993-19-001469-index.html,https://www.sec.gov/Archives/edgar/data/1627272/000106299320001533/0001062993-20-001533-index.html,- -,- -
30,BALANCE SHEET, , , , , , , , , 
31,Cash and Cash Equivalents,161405000,175171000,258509000,499249000,333705000,174265000,108223000,302524000,115698000
32,Short-Term Investments,- -,- -,200000,2100000,- -,10000000,20704000,3501000,- -
33,Cash and Short-Term Investments,161405000,175171000,258709000,501349000,333705000,184265000,128927000,306025000,115698000
34,Net Receivables,19246000,428000,6244000,8416000,8385000,12321000,6330000,12894000,14691000
35,Inventory,79247000,- -,- -,- -,9859000,- -,1656000,10025000,18596000
36,Other Current Assets,30126000,449000,508000,974000,984000,1015000,3516000,6244000,3941000
37,Total Current Assets,290024000,176048000,265461000,510739000,352933000,197601000,140429000,335188000,152926000
38,PP&E,1870932000,948000,97055000,100304000,102182000,95002000,386642000,532031000,639290000
39,Goodwill,- -,- -,111204000,111204000,111204000,111204000,111204000,111204000,111204000
40,Intangible Assets,- -,1591000,449439000,494768000,1575772000,- -,- -,- -,- -
41,Intangible Assets,- -,1591000,560643000,605972000,1686976000,111204000,111204000,111204000,111204000
42,Investments,12555000,79744000,149496000,191311000,372566000,414514000,171526000,276733000,294364000
43,Tax Assets,- -,11634000,8778000,7978000,- -,- -,- -,- -,- -
44,Other Non-Current Assets,48490000,- -,- -,- -,1686000,1416325000,1137452000,1141948000,1172838000
45,Total Non-Current Assets,1931977000,93917000,815972000,905565000,2163410000,2037045000,1806824000,2061916000,2217696000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,2222001000,269965000,1081433000,1416304000,2516343000,2234646000,1947253000,2397104000,2370622000
48,Accounts Payable,33635000,721000,927000,1394000,411000,217000,6836000,12771000,9678000
49,Short-Term Debt,71794000,- -,- -,- -,- -,- -,- -,51279000,303869000
50,Tax Payable,- -,- -,- -,- -,7038000,- -,- -,6055000,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,52245000,4192000,15589000,14463000,28421000,22788000,21099000,45495000,32729000
53,Total Current Liabilities,157674000,4913000,16516000,15857000,28832000,23005000,27935000,109545000,346276000
54,Long-Term Debt,245157000,- -,- -,45780000,464308000,352769000,349042000,360516000,124928000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,69603000,1440000,118766000,127930000,126762000,87277000,47465000,54429000,68407000
57,Other Non-Current Liabilities,18499000,386000,8912000,12433000,2036000,- -,29365000,31582000,50950000
58,Total Non-Current Liabilities,333259000,1826000,127678000,186143000,593106000,440046000,425872000,446527000,244285000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,11366000,18362000
61,Total Liabilities,490933000,6739000,144194000,202000000,621938000,463051000,453807000,556072000,590561000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,2060810000,69716000,745007000,908890000,1633013000,1609162000,1656350000,1776629000,1783689000
64,Retained Earnings,-433964000,187280000,203800000,250306000,202503000,69202000,-249688000,-174458000,-283042000
65,Other Comprehensive Income/Loss,16000,5549000,-41203000,7838000,-2878000,23499000,13469000,48951000,58851000
66,Other Total Stockholders Equity,104206000,681000,28236000,45403000,61767000,69732000,73315000,77243000,75107000
67,Total Stockholders Equity,1731068000,263226000,935840000,1212437000,1894405000,1771595000,1493446000,1728365000,1634605000
68,Total Liabilities And Stockholders Equity,2222001000,269965000,1080034000,1414437000,2516343000,2234646000,1947253000,2284437000,2225166000
69,Minority Interest,- -,- -,1399000,1867000,- -,- -,- -,112667000,145456000
70,Total Liabilities & Equity,2222001000,269965000,1081433000,1416304000,2516343000,2234646000,1947253000,2397104000,2370622000
71,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1627272/000106299317001498/0001062993-17-001498-index.html,https://www.sec.gov/Archives/edgar/data/1627272/000106299318001395/0001062993-18-001395-index.html,https://www.sec.gov/Archives/edgar/data/1627272/000106299319001469/0001062993-19-001469-index.html,https://www.sec.gov/Archives/edgar/data/1627272/000106299320001533/0001062993-20-001533-index.html,- -,- -
72,CASH FLOW STATEMENT, , , , , , , , , 
73,Net Income,-455103000,1673168000,28749000,42113000,-42501000,-105587000,-234195000,16876000,-23554000
74,Depreciation and Amortization,- -,- -,765000,11509000,28210000,52786000,48270000,46904000,51934000
75,Deferred Income Tax,126000,3291000,8194000,- -,-24150000,-35970000,-41197000,3760000,11724000
76,Stock Based Compensation,- -,1442000,2911000,7380000,10524000,5791000,8320000,9361000,13280000
77,Change in Working Capital,169000,2127000,-3043000,-775000,-440000,-2619000,-4780000,1734000,-24999000
78,Accounts Receivable,- -,-562000,-2559000,- -,-1248000,-8613000,4929000,-4678000,- -
79,Inventory,- -,- -,- -,- -,-8737000,9859000,- -,- -,-13075000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -
82,Other Non-Cash Items,695400000,-1555941000,-8438000,-6783000,77073000,167757000,315180000,29343000,77710000
83,Cash Provided by Operating Activities,240592000,124087000,29138000,53444000,48716000,82158000,91598000,107978000,106095000
84,CAPEX,-5223000,-1083000,-300000,-55355000,-80256000,-141206000,-84135000,-137890000,-276233000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,-19000,-30681000,-137042000,-82384000,-247838000,-114746000,-102412000,-49194000,-46713000
87,Sales/Maturities of Investments,1045000,66000,- -,127383000,73137000,27043000,130128000,11276000,54437000
88,Other Investing Activites,-138514000,-79326000,-3593000,-4697000,-622558000,163274000,63981000,-47291000,-3529000
89,Cash Used for Investing Activites,-142711000,-111024000,-140935000,-15053000,-877515000,-65635000,7562000,-223099000,-272038000
90,Debt Repayment,- -,- -,- -,- -,- -,-123475000,-30000000,-19205000,-56833000
91,Common Stock Issued,12823000,197631000,4887000,177934000,264278000,358000,- -,85000000,- -
92,Common Stock Repurchased,- -,- -,- -,- -,-1822000,-31243000,-143019000,-3933000,-30791000
93,Dividends Paid,- -,- -,-9834000,-15317000,-19325000,-27809000,-27455000,-28914000,-32464000
94,Other Financing Activites,-42528000,-197521000,188982000,45583000,435806000,-977000,38564000,283913000,100487000
95,Cash Used/Provided by Financing Activities,-29705000,110000,184035000,208200000,678937000,-183146000,-161910000,316861000,-19601000
96,Effect of Forex Changes on Cash,- -,593000,11100000,-5851000,-15682000,7183000,-3292000,-7439000,-1282000
97,Net Change In Cash,68176000,13766000,83338000,240740000,-165544000,-159440000,-66042000,194301000,-186826000
98,Cash at the End of Period,161405000,175171000,258509000,499249000,333705000,174265000,108223000,302524000,115698000
99,Cash at the Beginning of Period,93229000,161405000,175171000,258509000,499249000,333705000,174265000,108223000,302524000
100,Free Cash Flow,235369000,123004000,28838000,-1911000,-31540000,-59048000,7463000,-29912000,-170138000
101,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1627272/000106299317001498/0001062993-17-001498-index.html,https://www.sec.gov/Archives/edgar/data/1627272/000106299318001395/0001062993-18-001395-index.html,https://www.sec.gov/Archives/edgar/data/1627272/000106299319001469/0001062993-19-001469-index.html,https://www.sec.gov/Archives/edgar/data/1627272/000106299320001533/0001062993-20-001533-index.html,- -,- -
102,Forex Rate,0.9413,0.8604,0.7224,0.7443,0.7948,0.7332,0.77,0.7851,0.7913
