,https://roic.ai/company/CLNH,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , 
1,Revenue,- -,173011,874774,1783904,1593886,1461183,1068617,474679,- -,23166,60224,1366419,1586,18794
2,COGS,- -,47458,391586,764749,783505,496008,465337,8051,- -,30481,31149,830443,910,14647
3,Gross Profit,- -,125553,483188,1019155,810381,965175,603280,466628,- -,-7315,29075,535976,676,4147
4,Gross Profit Ratio,- -,0.7257,0.5524,0.5713,0.5084,0.6605,0.5645,0.9830,- -,-0.3158,0.4828,0.3922,0.4264,0.2206
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,768103,557,286
6,General and Administrative Exp.,196589,861512,1829401,- -,2383568,1692556,1383646,965609,448595,1813624,1163766,3667178,3251,12177
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,577739,167,24
8,"Selling, General and Administrative Exp.",196589,861512,1829401,- -,2383568,1692556,1383646,965609,448595,1813624,1163766,4244917,3418,12202
9,Other Expenses,- -,- -,- -,1863732,- -,- -,- -,- -,- -,533886,695870,163746,1889,677
10,Operating Expenses,- -,861512,1829401,1863732,2383568,1692556,1383646,965609,- -,2347510,1859636,5176766,5864,13165
11,COGS and Expenses,196589,908970,2220987,2628481,3167073,2188564,1848983,973660,448595,5716086,1890785,8264267,6774,27812
12,Interest Income ,2554,3908,8272,29139,13235,- -,152079,4,114,- -,- -,3626,1030,1
13,Interest Expense (Gain),- -,- -,- -,- -,- -,54505,10333,44598,2579,367352,642070,92158,335,784
14,Depreciation and Amortization,373,596,1496,5915,8750,6694,4766,4917,473,535024,697597,171815,14514,0
15,EBITDA,-196216,192284,-339142,-645935,-1521202,311688,-669243,133324,-448008,1876438,-1082578,-6852547,9199,-11901
16,EBITDA ratio,-Infinity,1.1114,-0.3877,-0.3621,-0.9544,0.2133,-0.6263,0.2809,-Infinity,80.9997,-17.9759,-5.0150,5.8005,-0.6332
17,Operating Income,-196589,-735959,-1346213,-844577,-1573187,-727381,-780366,-498981,-448595,-5692920,-1830561,-6897848,-5187702,-9018
18,Operating Income ratio,-Infinity,-4.2538,-1.5389,-0.4734,-0.9870,-0.4978,-0.7303,-1.0512,-Infinity,-245.7446,-30.3959,-5.0481,-3271.0334,-0.4798
19,Total Other Income Expenses (Gains),2554,3908,8272,29139,43235,660245,78493,-44594,-2465,6666982,-591684,-218672,5182052,-3667
20,Income Before Tax,-194035,-732051,-1337941,-815438,-1529952,-67136,-701873,-543575,-451060,974062,-2422245,-7116520,-5650,-12685
21,Income Before Tax Ratio,-Infinity,-4.2312,-1.5295,-0.4571,-0.9599,-0.0459,-0.6568,-1.1451,-Infinity,42.0471,-40.2206,-5.2082,-3.5626,-0.6749
22,Income Tax expense (Gain),-44065,-254071,-498775,-268457,93943,- -,- -,- -,- -,392000,392000,- -,- -,985
23,Net Income,403393,445759,158137,-383393,-1623895,250489,-684342,83809,-7432241,582062,-2814245,-7116520,-5650,-13670
24,Net Income ratio,Infinity,2.5765,0.1808,-0.2149,-1.0188,0.1714,-0.6404,0.1766,-Infinity,25.1257,-46.7296,-5.2082,-3.5626,-0.7273
25,EPS,10.00,10.00,5.00,-10.00,-35.00,5.00,-15.00,1.44,-95.00,5.00,-10.00,-1.96,-1.14,-0.00
26,EPS Diluted,10.00,10.00,5.00,-10.00,-35.00,5.00,-15.00,1.35,-95.00,5.00,-10.00,-1.96,-1.14,-0.00
27,Weighted Average Shares Outstanding,44804,46018,47908,47908,47914,50088,51895,58336,79375,167342,287368,3630075,4942268,4942268
28,Weighted Average Shares Outstanding Diluted,44804,46018,47908,47908,47914,51975,54746,61924,79375,167342,287368,3630075,4942268,4942268
