,https://roic.ai/company/DTGI,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,16228000,34520000,34518000,39429000,41344000,50701000,6949000,1254000,6011000,14696000,31692000,41961000,19891000,20939000,15227000,4135000,922000,388000,295000,280000,193000,2001000,6040000,6279000,12416000
2,COGS,12792000,22287000,21312000,26798000,28539000,42862000,6244000,1071000,5664000,13869000,29521000,38884000,18533000,19379000,14061000,3811000,636000,354000,168000,143000,134000,1053000,3128000,3035000,5135000
3,Gross Profit,3436000,12233000,13206000,12631000,12805000,7839000,705000,183000,347000,827000,2171000,3077000,1358000,1560000,1166000,324000,286000,34000,127000,137000,59000,948000,2912000,3244000,7281000
4,Gross Profit Ratio,0.2117,0.3544,0.3826,0.3203,0.3097,0.1546,0.1015,0.1459,0.0577,0.0563,0.0685,0.0733,0.0683,0.0745,0.0766,0.0784,0.3102,0.0876,0.4305,0.4893,0.3057,0.4738,0.4821,0.5166,0.5864
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2450000,1678000,1069000,3248000,1032000,1235000,1985000,3574000,4598000,4748000,7913000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2450000,1678000,1069000,3248000,1032000,1235000,1985000,3574000,4598000,4748000,7913000
9,Other Expenses,7638000,15699000,18246000,20463000,22461000,23220000,6485000,8668000,2571000,1425000,2080000,2885000,2664000,1835000,140000,119000,83000,17000,17000,18000,10000,227000,669000,613000,1749000
10,Operating Expenses,7638000,15699000,18246000,20463000,22461000,23220000,6485000,8668000,2571000,1425000,2080000,2885000,2664000,1835000,2590000,1797000,1152000,3265000,1049000,1253000,1995000,3801000,5267000,5361000,9662000
11,COGS and Expenses,20430000,37986000,39558000,47261000,51000000,66082000,12729000,9739000,8235000,15294000,31601000,41769000,21197000,21214000,16651000,5608000,1788000,3619000,1217000,1396000,2129000,4854000,8395000,8396000,14797000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,37000,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,196000,144000,205000,412000,381000,37000,13000,- -,- -,- -,- -,1853000,4765000
14,Depreciation and Amortization,591000,1822000,3248000,4681000,4434000,4599000,1739000,19000,112000,92000,251000,168000,152000,165000,100000,119000,29000,8994000,17000,18000,18000,227000,669000,753000,2035000
15,EBITDA,-4104000,-3133000,-3488000,-5372000,-6341000,-10028000,-10844000,-8450000,10408000,1039000,-6000,280000,-1160000,-86000,-1332000,-713000,-2521000,10805000,-958000,-1122000,457000,-3054000,-3804000,-804000,-9700000
16,EBITDA ratio,-0.2529,-0.0908,-0.1010,-0.1362,-0.1534,-0.1978,-1.5605,-6.7384,1.7315,0.0707,-0.0002,0.0067,-0.0583,-0.0041,-0.0875,-0.1724,-2.7343,27.8479,-3.2475,-4.0071,2.3679,-1.5262,-0.6298,-0.1280,-0.7813
17,Operating Income,-4202000,-3466000,-5040000,-7832000,-9656000,-15381000,-5780000,-8485000,-2224000,-598000,91000,192000,-1306000,-275000,-1424000,-1473000,-866000,-3231000,-939000,-1116000,-2184000,-2868000,-2361000,-2112000,-2398000
