,https://roic.ai/company/AGR,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,514900000,471100000,497600000,518900000,531200000,593700000,673400000,667300000,653000000,656700000,690400000,726000000,710300000,686200000,680000000,704691000,1085846000,1131022000,963677000,1101287000,1213096000,845950000,981999000,948720000,896550000,997666000,1570447000,1486501000,1618716000,1631943000,4367000000,6018000000,5963000000,6478000000,6338000000,6320000000,6974000000
2,COGS,- -,- -,- -,- -,- -,- -,- -,- -,- -,172100000,185600000,207300000,222600000,186100000,193300000,286835000,271907000,269195000,272673000,377905000,413930000,413851000,516487000,470613000,390351000,395865000,687225000,960526000,1049559000,1087368000,2780000000,3492000000,3549000000,3901000000,3810000000,3845000000,4425000000
3,Gross Profit,- -,- -,- -,- -,- -,- -,- -,- -,- -,484600000,504800000,518700000,487700000,500100000,486700000,417856000,813939000,861827000,691004000,723382000,799166000,432099000,465512000,478107000,506199000,601801000,883222000,525975000,569157000,544575000,1587000000,2526000000,2414000000,2577000000,2528000000,2475000000,2549000000
4,Gross Profit Ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,0.7379,0.7312,0.7145,0.6866,0.7288,0.7157,0.5930,0.7496,0.7620,0.7170,0.6569,0.6588,0.5108,0.4740,0.5039,0.5646,0.6032,0.5624,0.3538,0.3516,0.3337,0.3634,0.4197,0.4048,0.3978,0.3989,0.3916,0.3655
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,25989000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-3488000,70000,2200000,- -,- -,- -,- -,- -,- -,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,25989000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-3488000,70000,2200000,- -,- -,- -,- -,- -,- -,- -
9,Other Expenses,- -,- -,- -,- -,- -,- -,- -,- -,- -,312200000,322000000,357700000,344500000,352800000,329000000,418085000,671390000,742470000,603314000,636882000,724410000,354702000,377009000,363980000,383781000,450930000,663840000,295385000,320314000,289828000,1062000000,1332000000,1387000000,1434000000,1525000000,1606000000,1654000000
10,Operating Expenses,- -,- -,- -,- -,- -,- -,- -,- -,- -,312200000,322000000,357700000,344500000,352800000,329000000,444074000,671390000,742470000,603314000,636882000,724410000,354702000,377009000,363980000,383781000,450930000,663840000,291897000,320384000,292028000,1062000000,1332000000,1387000000,1434000000,1525000000,1606000000,1654000000
11,COGS and Expenses,- -,- -,- -,- -,- -,- -,- -,- -,- -,484300000,507600000,565000000,567100000,538900000,522300000,730909000,943297000,1011665000,875987000,1014787000,1138340000,768553000,893496000,834593000,774132000,846795000,1351065000,1252423000,1369943000,1379396000,3842000000,4824000000,4936000000,5335000000,5335000000,5451000000,6079000000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2090000,3231000,4163000,3483000,2631000,2733000,2573000,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,34152000,40400000,53698000,95385000,90105000,89338000,93941000,267000000,268000000,280000000,303000000,306000000,316000000,298000000
14,Depreciation and Amortization,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,82186000,99933000,115489000,170237000,183785000,192287000,153996000,796000000,853000000,871000000,919000000,998000000,974000000,942000000
15,EBITDA,99600000,101600000,95200000,78600000,-73400000,54000000,48200000,56800000,40500000,88500000,105300000,82900000,84600000,90000000,114100000,108786000,107554000,80210000,56736000,117680000,56030000,-38976000,75209000,199210000,227854000,259328000,427833000,452457000,466250000,415078000,1364000000,2130000000,1273000000,1987000000,2147000000,1900000000,1968000000
16,EBITDA ratio,0.1934,0.2157,0.1913,0.1515,-0.1382,0.0910,0.0716,0.0851,0.0620,0.1348,0.1525,0.1142,0.1191,0.1312,0.1678,0.1544,0.0991,0.0709,0.0589,0.1069,0.0462,-0.0461,0.0766,0.2100,0.2541,0.2599,0.2724,0.3044,0.2880,0.2543,0.3123,0.3539,0.2135,0.3067,0.3388,0.3006,0.2822
17,Operating Income,- -,- -,- -,- -,- -,- -,- -,- -,- -,172400000,182800000,161000000,143200000,147300000,157700000,-26218000,142549000,119357000,87690000,86500000,74756000,77397000,88503000,114127000,122418000,125299000,219382000,230590000,240489000,247403000,513000000,1194000000,385000000,1127000000,1003000000,869000000,895000000
18,Operating Income ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,0.2625,0.2648,0.2218,0.2016,0.2147,0.2319,-0.0372,0.1313,0.1055,0.0910,0.0785,0.0616,0.0915,0.0901,0.1203,0.1365,0.1256,0.1397,0.1551,0.1486,0.1516,0.1175,0.1984,0.0646,0.1740,0.1583,0.1375,0.1283
19,Total Other Income Expenses (Gains),- -,- -,- -,- -,- -,- -,- -,- -,- -,-82600000,-77500000,-78100000,-58600000,-57300000,-43600000,135004000,-34995000,-39147000,-24703000,-18847000,-18624000,7409000,-11298000,-30813000,-34814000,-36436000,-68453000,-67296000,-55864000,-80262000,-212000000,-185000000,-262000000,-359000000,-184000000,-301000000,-231000000
