,https://roic.ai/company/TKAT,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
0,INCOME STATEMENT, , , , , , , , , , , 
1,Revenue,- -,- -,- -,- -,4719860,11335940,19143430,12922390,8495420,3173010,4567222
2,COGS,- -,- -,- -,- -,434380,805680,1129030,1247290,2578760,1861580,2287404
3,Gross Profit,- -,- -,- -,- -,4285480,10530260,18014400,11675100,5916660,1311430,2279818
4,Gross Profit Ratio,- -,- -,- -,- -,0.9080,0.9289,0.9410,0.9035,0.6965,0.4133,0.4992
5,Research and Development Exp.,149881,164711,182398,180000,- -,- -,- -,- -,383800,28110,- -
6,General and Administrative Exp.,- -,- -,- -,- -,1530969,3282326,7135853,12111075,9905091,4266448,2949564
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,-42183000,-2272339000,-1395709000,-898006000,-301460,-390112
8,"Selling, General and Administrative Exp.",- -,- -,- -,- -,1530969,-38900674,-2265203147,-1383597925,-888100909,3964988,2559452
9,Other Expenses,- -,- -,150822,130984,904177,42738286,2274611339,1397104709,899562087,917070,-6404813
10,Operating Expenses,- -,- -,333220,310984,2435146,3837612,9408192,13506784,11844978,4910168,-3845361
11,COGS and Expenses,188842,233837,333220,310000,3040360,4643300,10700910,14754070,15153910,6825350,6132765
12,Interest Income ,- -,381,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),2031,2282,1564,2516,- -,- -,202376,600819,573765,57474,163401
14,Depreciation and Amortization,- -,- -,1124,2068,216479,336222,523698,742272,895267,597654,459515
15,EBITDA,-188842,-233456,-332096,-307932,1898069,7054662,8866214,-2335819,-6642828,-3364412,-2272
16,EBITDA ratio,-Infinity,-Infinity,-Infinity,-Infinity,0.4021,0.6223,0.4631,-0.1808,-0.7819,-1.0603,-0.0005
17,Operating Income,-188842,-233837,-333220,-310984,1679498,6692645,8442516,-1831682,-6658485,-3652336,-1565543
18,Operating Income ratio,-Infinity,-Infinity,-Infinity,-Infinity,0.3558,0.5904,0.4410,-0.1417,-0.7838,-1.1511,-0.3428
19,Total Other Income Expenses (Gains),58169,108649,-1564,984,2082,25795,-302376,1112962,-1453375,-367204,965455
20,Income Before Tax,-130673,-125188,-334784,-310000,1681580,6718440,8140140,-718720,-8111860,-4019540,-600088
21,Income Before Tax Ratio,-Infinity,-Infinity,-Infinity,-Infinity,0.3563,0.5927,0.4252,-0.0556,-0.9549,-1.2668,-0.1314
22,Income Tax expense (Gain),800,800,800,-800,312050,1282330,1769450,-2617330,-479900,73270,-12550
23,Net Income,-131473,-125988,-335584,-310000,1369540,5436110,6370690,-1061580,-7631960,-4092810,-612638
24,Net Income ratio,-Infinity,-Infinity,-Infinity,-Infinity,0.2902,0.4795,0.3328,-0.0822,-0.8984,-1.2899,-0.1341
25,EPS,-0.25,-0.25,-0.25,-0.25,0.25,0.49,0.60,-0.10,-0.68,-0.36,-0.05
26,EPS Diluted,-0.25,-0.25,-0.25,-0.25,0.25,0.49,0.56,-0.10,-0.68,-0.36,-0.05
27,Weighted Average Shares Outstanding,443480,447715,911560,923053,8583128,11119276,10641180,11077845,11218534,11246119,11264128
28,Weighted Average Shares Outstanding Diluted,443480,447715,911560,923053,8583128,11119276,11309190,11077845,11218534,11246119,11264128
29,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1491487/000149148714000005/0001491487-14-000005-index.htm,https://www.sec.gov/Archives/edgar/data/1491487/000114420415019901/0001144204-15-019901-index.htm,https://www.sec.gov/Archives/edgar/data/1491487/000114420416083057/0001144204-16-083057-index.htm,https://www.sec.gov/Archives/edgar/data/1491487/000114420417018201/0001144204-17-018201-index.htm,https://www.sec.gov/Archives/edgar/data/1491487/000114420418018555/0001144204-18-018555-index.htm,https://www.sec.gov/Archives/edgar/data/1491487/000114420419019759/0001144204-19-019759-index.htm,https://www.sec.gov/Archives/edgar/data/1491487/000110465920058897/0001104659-20-058897-index.htm,https://www.sec.gov/Archives/edgar/data/1491487/000110465921044731/0001104659-21-044731-index.htm
30,BALANCE SHEET, , , , , , , , , , , 
31,Cash and Cash Equivalents,57831,9425,55389,3124,2355840,10769460,13395340,11866970,7974880,5424210,4698135
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,57831,9425,55389,3124,2355840,10769460,13395340,11866970,7974880,5424210,4698135
34,Net Receivables,- -,- -,- -,- -,587370,184540,9691870,11719050,8867900,7845530,154771
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,1900,429,42789,16876,7122750,17438380,22452550,25980580,5504450,16856190,18258879
37,Total Current Assets,59731,9854,98178,20000,10065960,28392380,45539760,49566600,22347230,30125930,23111785
38,PP&E,- -,- -,3371,4903,1037760,1213260,2065180,2191320,1445680,1591300,437996
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,2363,20550,22190,20550,22330,22280,22400,22504
41,Intangible Assets,- -,- -,- -,2363,20550,22190,20550,22330,22280,22400,22504
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,45040,- -,- -,- -,- -,638860
44,Other Non-Current Assets,- -,50381,- -,2734,- -,76340,609910,1048670,754040,701870,-638860
45,Total Non-Current Assets,- -,50381,3371,10000,1058310,1356830,2695640,3262320,2222000,2315570,460500
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,59731,60235,101549,30000,11124270,29749210,48235400,52828920,24569230,32441500,23572285
48,Accounts Payable,- -,26350,8834,10000,1891525,667622,- -,- -,- -,- -,- -
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,6308513,7208761,2499500,2035332,8498260
50,Tax Payable,- -,- -,- -,- -,249092,1564370,549897,312575,15101,6050,106354
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,360248,170078,- -,- -,- -
52,Other Current Liabilities,289726,373288,535474,640000,7117645,17759658,23933949,27531871,11600280,23912158,9996464
53,Total Current Liabilities,289726,399638,544308,650000,9009170,18427280,30602710,34910710,14099780,25947490,18494724
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,48856,103379
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,66555,45037,62618,38950,5890,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,-5,3,- -,- -,- -,4,- -
