,https://roic.ai/company/VVV,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , 
1,Revenue,1996200000,2041000000,1966900000,1929000000,2084000000,2285000000,2390000000,2353000000,2981000000
2,COGS,1338300000,1409000000,1281800000,1168000000,1306000000,1479000000,1580000000,1490000000,2001000000
3,Gross Profit,657900000,632000000,685100000,761000000,778000000,806000000,810000000,863000000,980000000
4,Gross Profit Ratio,0.3296,0.3097,0.3483,0.3945,0.3733,0.3527,0.3389,0.3668,0.3287
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,- -,375000000,430000000,449000000,- -,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,- -,- -,- -,375000000,430000000,449000000,- -,- -
9,Other Expenses,290100000,378000000,359800000,342000000,-13000000,-19000000,- -,442000000,520000000
10,Operating Expenses,290100000,378000000,359800000,342000000,362000000,411000000,449000000,442000000,520000000
11,COGS and Expenses,1628400000,1787000000,1641600000,1510000000,1668000000,1890000000,2029000000,1932000000,2521000000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,9000000,42000000,63000000,73000000,93000000,111000000
14,Depreciation and Amortization,35700000,37000000,38000000,38000000,42000000,54000000,61000000,66000000,92000000
15,EBITDA,416300000,301000000,334800000,468000000,574000000,449000000,399000000,610000000,746000000
16,EBITDA ratio,0.2085,0.1475,0.1702,0.2426,0.2754,0.1965,0.1669,0.2592,0.2503
17,Operating Income,380600000,264000000,323100000,431000000,532000000,395000000,398000000,485000000,528000000
18,Operating Income ratio,0.1907,0.1293,0.1643,0.2234,0.2553,0.1729,0.1665,0.2061,0.1771
19,Total Other Income Expenses (Gains),- -,- -,-26300000,-10000000,-42000000,-63000000,-133000000,-34000000,15000000
20,Income Before Tax,380600000,264000000,296800000,421000000,490000000,332000000,265000000,451000000,543000000
21,Income Before Tax Ratio,0.1907,0.1293,0.1509,0.2182,0.2351,0.1453,0.1109,0.1917,0.1822
22,Income Tax expense (Gain),134500000,91000000,100700000,148000000,186000000,166000000,57000000,134000000,123000000
23,Net Income,246100000,173000000,196100000,273000000,304000000,166000000,208000000,317000000,420000000
24,Net Income ratio,0.1233,0.0848,0.0997,0.1415,0.1459,0.0726,0.0870,0.1347,0.1409
25,EPS,1.23,0.86,0.41,1.33,1.49,0.84,1.10,1.70,2.30
26,EPS Diluted,1.23,0.86,0.41,1.33,1.49,0.84,1.10,1.69,2.29
27,Weighted Average Shares Outstanding,200000000,200000000,200000000,205000000,204000000,197000000,189000000,187000000,182000000
28,Weighted Average Shares Outstanding Diluted,200000000,200000000,200000000,205000000,204000000,197000000,189000000,188000000,183000000
29,SEC Link,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1674910/000167491017000042/0001674910-17-000042-index.html,https://www.sec.gov/Archives/edgar/data/1674910/000167491018000131/0001674910-18-000131-index.html,https://www.sec.gov/Archives/edgar/data/1674910/000167491019000209/0001674910-19-000209-index.html,https://www.sec.gov/Archives/edgar/data/1674910/000167491020000221/0001674910-20-000221-index.htm,https://www.sec.gov/Archives/edgar/data/1674910/000167491021000136/0001674910-21-000136-index.htm
30,BALANCE SHEET, , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,172000000,201000000,96000000,159000000,760000000,230000000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,- -,172000000,201000000,96000000,159000000,760000000,230000000
34,Net Receivables,- -,388000000,334600000,363000000,385000000,409000000,401000000,433000000,496000000
35,Inventory,- -,133000000,125600000,139000000,175000000,176000000,194000000,199000000,258000000
36,Other Current Assets,- -,23700000,17100000,56000000,29000000,44000000,43000000,46000000,53000000
37,Total Current Assets,- -,544700000,477300000,730000000,790000000,725000000,797000000,1438000000,1037000000
38,PP&E,- -,272400000,253500000,324000000,391000000,420000000,498000000,874000000,1124000000
39,Goodwill,- -,167900000,169400000,264000000,330000000,381000000,430000000,445000000,- -
40,Intangible Assets,- -,6300000,1600000,3000000,5000000,67000000,74000000,84000000,- -
41,Intangible Assets,- -,174200000,171000000,267000000,335000000,448000000,504000000,529000000,775000000
42,Investments,- -,44000000,28900000,60000000,60000000,31000000,34000000,44000000,47000000
43,Tax Assets,- -,8100000,7800000,389000000,281000000,138000000,123000000,34000000,14000000
44,Other Non-Current Assets,- -,39100000,39400000,55000000,58000000,92000000,108000000,132000000,194000000
45,Total Non-Current Assets,- -,537800000,500600000,1095000000,1125000000,1129000000,1267000000,1613000000,2154000000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,1082500000,977900000,1825000000,1915000000,1854000000,2064000000,3051000000,3191000000
48,Accounts Payable,- -,177500000,173300000,177000000,192000000,178000000,171000000,189000000,246000000
49,Short-Term Debt,- -,- -,- -,19000000,90000000,30000000,15000000,- -,17000000
50,Tax Payable,- -,24100000,26000000,19000000,7000000,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,116000000,125300000,204000000,196000000,203000000,237000000,255000000,306000000
