,https://roic.ai/company/MELI,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , 
1,Revenue,1700000,5600000,12663332,28249677,52058890,85126341,137022620,172843621,216715713,298931625,373601494,472594709,556536002,651790000,844396000,1398095000,1439653000,2296314000,3973465000,7069409000
2,COGS,700000,1100000,- -,6138732,12085648,19001060,27536573,35958050,46549845,72055835,98085644,130076879,158978001,214994000,307538000,678495000,742645000,1194191000,2264255000,4064357000
3,Gross Profit,1000000,4500000,- -,22110945,39973242,66125281,109486047,136885571,170165868,226875790,275515850,342517830,397558001,436796000,536858000,719600000,697008000,1102123000,1709210000,3005052000
4,Gross Profit Ratio,0.5882,0.8036,- -,0.7827,0.7678,0.7768,0.7990,0.7920,0.7852,0.7590,0.7375,0.7248,0.7143,0.6701,0.6358,0.5147,0.4842,0.4800,0.4302,0.4251
5,Research and Development Exp.,700000,1000000,- -,2186220,3066304,4369376,7307008,12140521,15855992,23349787,28626880,40888139,53599639,76423000,98479000,127160000,146273000,223807000,352474000,590328000
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,24679801,25849596,30828146,38785083,45228145,57606340,62364509,76342000,87310000,122194000,137770000,197455000,326490000,464528000
7,Selling and Marketing Exp.,- -,4900000,- -,- -,- -,- -,39975307,42861735,48883167,64968755,72002954,90484296,111627304,128609000,156296000,325375000,482447000,834022000,902554000,1509493000
8,"Selling, General and Administrative Exp.",3300000,4900000,- -,19112863,31509009,40822205,64655108,68711331,79711313,103753838,117231099,148090636,173991813,204951000,243606000,447569000,620217000,1031477000,1229044000,1974021000
9,Other Expenses,- -,2100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
10,Operating Expenses,4000000,8000000,- -,21299083,34575313,45191581,71962116,80851852,95567305,127103625,145857979,188978775,227591452,281374000,342085000,574729000,766490000,1255284000,1581518000,2564349000
11,COGS and Expenses,4700000,9100000,- -,27437815,46660961,64192641,99498689,116809902,142117150,199159460,243943623,319055654,386569453,496368000,649623000,1253224000,1509135000,2449475000,3845773000,6628706000
12,Interest Income ,- -,- -,- -,- -,- -,- -,1822385,2695109,4931215,9905829,11877375,10668593,15335853,20561000,35442000,45901000,42039000,113523000,102767000,137962000
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,8442427,13357554,7601671,3648733,1138379,2355929,11659356,20391000,25605000,26469000,56249000,65876000,106690000,228704000
14,Depreciation and Amortization,600000,800000,- -,1572497,2016939,2307649,3335673,3893752,4921650,7268075,8959293,11878565,16946897,23209000,29022000,40921000,45792000,73320000,104992000,203942000
15,EBITDA,-1900000,-2400000,-2206018,2557271,4331860,16728040,41224004,59964104,84388981,119356682,150216349,177325113,150329854,194091000,239955000,121460000,36589000,31950000,292997000,664752000
16,EBITDA ratio,-1.1176,-0.4286,-0.1742,0.0905,0.0832,0.1965,0.3009,0.3469,0.3894,0.3993,0.4021,0.3752,0.2701,0.2978,0.2842,0.0869,0.0254,0.0139,0.0737,0.0940
17,Operating Income,-2900000,-3500000,12663332,811862,5397929,20933700,37523931,56033719,74598563,99772165,129657871,153539055,120470863,139196000,181056000,56273000,-69482000,-153161000,127692000,440703000
18,Operating Income ratio,-1.7059,-0.6250,1.0000,0.0287,0.1037,0.2459,0.2739,0.3242,0.3442,0.3338,0.3470,0.3249,0.2165,0.2136,0.2144,0.0402,-0.0483,-0.0667,0.0321,0.0623
19,Total Other Income Expenses (Gains),200000,300000,- -,-146392,-3083008,-6513309,-8078027,-13320921,-2732903,8683995,10559655,9570389,1324958,11295000,4272000,-2203000,4030000,45915000,-46377000,-200075000
20,Income Before Tax,-2700000,-3200000,- -,665470,2314921,14420391,29445904,42712798,71865660,108456160,140217526,163109444,121795821,150491000,185328000,54070000,-65452000,-107246000,81315000,240628000
21,Income Before Tax Ratio,-1.5882,-0.5714,- -,0.0236,0.0445,0.1694,0.2149,0.2471,0.3316,0.3628,0.3753,0.3451,0.2188,0.2309,0.2195,0.0387,-0.0455,-0.0467,0.0205,0.0340
22,Income Tax expense (Gain),- -,- -,- -,-1369362,1242838,4727451,10634243,9504005,15840641,31659821,38871379,45583181,49143050,44702000,48962000,40290000,-28867000,64753000,82022000,148802000
23,Net Income,-2500000,-3200000,-2206018,2354136,1072083,9692940,18811661,33208793,56025019,76780053,101247298,117507438,72580551,105789000,136366000,13780000,-36585000,-171999000,-707000,83304000
24,Net Income ratio,-1.4706,-0.5714,-0.1742,0.0833,0.0206,0.1139,0.1373,0.1921,0.2585,0.2568,0.2710,0.2486,0.1304,0.1623,0.1615,0.0099,-0.0254,-0.0749,-0.0002,0.0118
25,EPS,-0.22,-0.36,-0.21,0.05,0.01,0.22,0.43,0.75,1.27,1.73,2.30,2.66,1.63,2.40,3.09,0.31,-0.82,-3.71,-0.08,0.00
26,EPS Diluted,-0.22,-0.36,-0.21,0.05,0.01,0.22,0.42,0.75,1.27,1.73,2.30,2.66,1.63,2.40,3.09,0.31,-0.82,-3.71,-0.08,0.00
27,Weighted Average Shares Outstanding,13475873,10277778,12739980,13065496,13149139,25149405,44239443,44086892,44124018,44138397,44147861,44152600,44153884,44155680,44157251,44157364,44529614,48692906,49740407,49597157
28,Weighted Average Shares Outstanding Diluted,13986707,10277778,12739980,13671359,13149139,25478336,44348950,44144368,44146858,44151437,44149838,44152600,44153884,44155680,44157251,44157364,44529614,48692906,49740407,49597157
29,SEC Link,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1099590/000119312508070409/0001193125-08-070409-index.htm,https://www.sec.gov/Archives/edgar/data/1099590/000136231009002931/0001362310-09-002931-index.htm,https://www.sec.gov/Archives/edgar/data/1099590/000095012310018199/0000950123-10-018199-index.htm,https://www.sec.gov/Archives/edgar/data/1099590/000095012311018724/0000950123-11-018724-index.htm,https://www.sec.gov/Archives/edgar/data/1099590/000119312512085292/0001193125-12-085292-index.htm,https://www.sec.gov/Archives/edgar/data/1099590/000119312513081326/0001193125-13-081326-index.htm,https://www.sec.gov/Archives/edgar/data/1099590/000119312514078151/0001193125-14-078151-index.htm,https://www.sec.gov/Archives/edgar/data/1099590/000119312515069727/0001193125-15-069727-index.htm,https://www.sec.gov/Archives/edgar/data/1099590/000156276216000352/0001562762-16-000352-index.htm,https://www.sec.gov/Archives/edgar/data/1099590/000156276217000024/0001562762-17-000024-index.htm,https://www.sec.gov/Archives/edgar/data/1099590/000156276218000040/0001562762-18-000040-index.htm,https://www.sec.gov/Archives/edgar/data/1099590/000156276219000047/0001562762-19-000047-index.htm,https://www.sec.gov/Archives/edgar/data/1099590/000156276220000055/0001562762-20-000055-index.htm,https://www.sec.gov/Archives/edgar/data/1099590/000156276221000079/0001562762-21-000079-index.htm,https://www.sec.gov/Archives/edgar/data/1099590/000156276222000049/0001562762-22-000049-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,8979838,7143027,15677407,17474112,49803402,56830466,67381677,101489002,140285104,223144226,166881000,234140000,388260000,440332000,1384740000,1856394000,2584586000
32,Short-Term Investments,- -,- -,- -,3411266,6320656,52300007,31639400,14580185,5342766,74928620,93694805,76593214,148809539,202112000,253321000,209432000,461541000,1597241000,1241306000,207329000
33,Cash and Short-Term Investments,- -,- -,- -,12391104,13463683,67977414,49113512,64383587,62173232,142310297,195183807,216878318,371953765,368993000,487461000,597692000,901873000,2981981000,3097700000,2791915000
34,Net Receivables,- -,- -,- -,6548564,12171715,32374015,6178808,8654179,18769691,40670776,65442717,86648443,142523623,166574000,359775000,673430000,542496000,672803000,1376338000,3337938000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,222000,1103000,2549000,4612000,8626000,118140000,253077000
36,Other Current Assets,- -,- -,- -,1159354,3484480,4622741,5008904,9097250,20692285,17264482,14734651,22637474,18272830,21674000,21122000,13248000,62142000,125446000,754629000,1792049000
