,https://roic.ai/company/EEX,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , 
1,Revenue,273558000,306400000,323749000,341700000,380700000,360900000,127400000,145500000
2,COGS,82251000,83400000,84368000,95000000,112100000,120200000,57600000,55500000
3,Gross Profit,191307000,223000000,239381000,246700000,268600000,240700000,69800000,90000000
4,Gross Profit Ratio,0.6993,0.7278,0.7394,0.7220,0.7055,0.6669,0.5479,0.6186
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,121900000,121800000,133400000,118600000,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,- -,- -,121900000,121800000,133400000,118600000,143000000
9,Other Expenses,128370000,132200000,138938000,36700000,46800000,45900000,-58400000,-29800000
10,Operating Expenses,128370000,132200000,138938000,158600000,168600000,179300000,60200000,113200000
11,COGS and Expenses,210621000,215600000,223306000,253600000,280700000,299500000,117800000,168700000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),54061000,50000000,50074000,37200000,28200000,28600000,19100000,15800000
14,Depreciation and Amortization,37546000,39100000,40047000,43200000,46800000,52000000,48600000,47000000
15,EBITDA,96728000,119000000,126384000,127200000,41600000,25600000,-623500000,-16600000
16,EBITDA ratio,0.3536,0.3884,0.3904,0.3723,0.1093,0.0709,-4.8940,-0.1141
17,Operating Income,62937000,81900000,100443000,88100000,-4300000,-24700000,-670600000,-63100000
18,Operating Income ratio,0.2301,0.2673,0.3102,0.2578,-0.0113,-0.0684,-5.2637,-0.4337
19,Total Other Income Expenses (Gains),-57816000,-52000000,-64180000,-41300000,-29100000,-30300000,-20600000,-16300000
20,Income Before Tax,5121000,29900000,36263000,46800000,-33400000,-55000000,-691200000,-79400000
21,Income Before Tax Ratio,0.0187,0.0976,0.1120,0.1370,-0.0877,-0.1524,-5.4254,-0.5457
22,Income Tax expense (Gain),12757000,10300000,14096000,-35000000,-8300000,-5000000,-57600000,-1300000
