,https://roic.ai/company/POST,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , 
1,Revenue,1092800000,1102700000,842000000,1072100000,996700000,968200000,958900000,1034100000,2411100000,4648200000,5026800000,5225800000,6257200000,5681100000,5698700000,6226700000
2,COGS,636600000,639500000,497500000,570800000,553700000,516600000,530000000,609200000,1789900000,3473800000,3479400000,3651700000,4390400000,3889000000,3911300000,4412400000
3,Gross Profit,456200000,463200000,344500000,501300000,443000000,451600000,428900000,424900000,621200000,1174400000,1547400000,1574100000,1866800000,1792100000,1787400000,1814300000
4,Gross Profit Ratio,0.4175,0.4201,0.4091,0.4676,0.4445,0.4664,0.4473,0.4109,0.2576,0.2527,0.3078,0.3012,0.2983,0.3154,0.3137,0.2914
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,256900000,267000000,194300000,243200000,218800000,239500000,274500000,294400000,444400000,734100000,839700000,867400000,975200000,911600000,- -,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",256900000,267000000,194300000,243200000,218800000,239500000,274500000,294400000,444400000,734100000,839700000,867400000,975200000,911600000,- -,974100000
9,Other Expenses,9300000,15200000,4600000,42900000,14000000,14200000,15300000,16000000,73800000,166800000,162000000,159900000,179200000,162800000,1086900000,184500000
10,Operating Expenses,266200000,282200000,198900000,286100000,232800000,253700000,289800000,310400000,518200000,900900000,1001700000,1027300000,1154400000,1074400000,1086900000,1158600000
11,COGS and Expenses,902800000,921700000,696400000,856900000,786500000,770300000,819800000,919600000,2308100000,4374700000,4481100000,4679000000,5544800000,4963400000,4998200000,5571000000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,-9600000,-58300000,51500000,51500000,60300000,85500000,183700000,287500000,306500000,314800000,387300000,322400000,388600000,375800000
14,Depreciation and Amortization,34900000,35200000,30100000,50600000,55400000,58700000,63200000,76800000,155800000,272800000,302800000,323100000,398400000,379600000,370300000,420200000
15,EBITDA,224900000,216200000,156500000,149200000,248400000,-257400000,203900000,184600000,-87400000,393000000,579200000,712300000,1049000000,822800000,763200000,1049300000
16,EBITDA ratio,0.2058,0.1961,0.1859,0.1392,0.2492,-0.2659,0.2126,0.1785,-0.0362,0.0845,0.1152,0.1363,0.1676,0.1448,0.1339,0.1685
17,Operating Income,190000000,181000000,145600000,215200000,190800000,-305600000,139100000,107800000,-207700000,212700000,545700000,520300000,587500000,781000000,700500000,655700000
18,Operating Income ratio,0.1739,0.1641,0.1729,0.2007,0.1914,-0.3156,0.1451,0.1042,-0.0861,0.0458,0.1086,0.0996,0.0939,0.1375,0.1229,0.1053
19,Total Other Income Expenses (Gains),- -,- -,-9600000,-58300000,-49300000,-62000000,-58700000,-85500000,-219200000,-380000000,-575800000,-445900000,-322800000,-621900000,-637100000,-318500000
20,Income Before Tax,190000000,181000000,136000000,156900000,141500000,-367600000,80400000,22300000,-426900000,-167300000,-30100000,74400000,264700000,159100000,63400000,337200000
21,Income Before Tax Ratio,0.1739,0.1641,0.1615,0.1463,0.1420,-0.3797,0.0838,0.0216,-0.1771,-0.0360,-0.0060,0.0142,0.0423,0.0280,0.0111,0.0542
22,Income Tax expense (Gain),68200000,64300000,50300000,55800000,49500000,-6300000,30500000,7100000,-83700000,-52000000,-26800000,26100000,-204000000,-3900000,3500000,86600000
23,Net Income,121800000,116700000,85700000,101100000,92000000,-361300000,49900000,15200000,-343200000,-115300000,-3300000,48300000,467300000,124700000,800000,166700000
24,Net Income ratio,0.1115,0.1058,0.1018,0.0943,0.0923,-0.3732,0.0520,0.0147,-0.1423,-0.0248,-0.0007,0.0092,0.0747,0.0219,0.0001,0.0268
25,EPS,3.53,3.38,2.48,2.93,2.67,-10.50,1.45,0.30,-9.03,-2.33,-0.41,0.51,6.87,1.72,0.01,2.42
26,EPS Diluted,3.53,3.38,2.48,2.93,2.67,-10.50,1.45,0.30,-9.03,-2.33,-0.41,0.50,6.16,1.66,0.01,2.38
27,Weighted Average Shares Outstanding,34500000,34500000,34500000,34500000,34400000,34400000,34300000,32700000,39700000,56700000,68800000,67800000,66600000,70800000,68900000,64200000
28,Weighted Average Shares Outstanding Diluted,34500000,34500000,34500000,34500000,34400000,34400000,34500000,33000000,39700000,56700000,68800000,69900000,75900000,75100000,70100000,65300000
29,SEC Link,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1530950/000153095012000254/0001530950-12-000254-index.htm,https://www.sec.gov/Archives/edgar/data/1530950/000153095013000190/0001530950-13-000190-index.htm,https://www.sec.gov/Archives/edgar/data/1530950/000153095014000330/0001530950-14-000330-index.htm,https://www.sec.gov/Archives/edgar/data/1530950/000153095015000278/0001530950-15-000278-index.htm,https://www.sec.gov/Archives/edgar/data/1530950/000153095016000508/0001530950-16-000508-index.htm,https://www.sec.gov/Archives/edgar/data/1530950/000153095017000231/0001530950-17-000231-index.htm,https://www.sec.gov/Archives/edgar/data/1530950/000153095018000238/0001530950-18-000238-index.htm,https://www.sec.gov/Archives/edgar/data/1530950/000153095019000262/0001530950-19-000262-index.htm,https://www.sec.gov/Archives/edgar/data/1530950/000153095020000326/0001530950-20-000326-index.htm,https://www.sec.gov/Archives/edgar/data/1530950/000153095021000383/0001530950-21-000383-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,3000000,- -,4800000,1700000,58200000,402000000,268400000,841400000,1143600000,1525900000,989700000,1050700000,1187900000,817100000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,3000000,- -,4800000,1700000,58200000,402000000,268400000,841400000,1143600000,1525900000,989700000,1050700000,1187900000,817100000
34,Net Receivables,- -,- -,- -,- -,66000000,59200000,56500000,83200000,413700000,366200000,385000000,480600000,462300000,445100000,441600000,553900000
35,Inventory,- -,- -,- -,- -,70400000,66600000,78600000,121900000,380700000,465300000,503100000,573500000,484200000,579800000,599400000,594500000
36,Other Current Assets,- -,- -,- -,- -,5800000,7800000,16400000,61000000,156200000,108800000,45200000,35900000,264100000,50700000,58900000,120600000
37,Total Current Assets,- -,- -,- -,- -,147000000,135300000,209700000,668100000,1219000000,1781700000,2076900000,2615900000,2200300000,2126300000,2287800000,2086100000
38,PP&E,- -,- -,- -,- -,445900000,412100000,405100000,388500000,831900000,1333200000,1354400000,1690700000,1709700000,1736000000,1896000000,1964600000
39,Goodwill,- -,- -,- -,- -,1794100000,1429200000,1366600000,1489700000,2886700000,3072800000,3079700000,4032000000,4499600000,4399800000,4438600000,4567500000
40,Intangible Assets,- -,- -,- -,- -,899900000,748600000,736000000,898400000,2643000000,2969300000,2833700000,3353900000,3539300000,3338500000,3197500000,3147500000
41,Intangible Assets,- -,- -,- -,- -,2694000000,2177800000,2102600000,2388100000,5529700000,6042100000,5913400000,7385900000,8038900000,7738300000,7636100000,7715000000
42,Investments,- -,- -,- -,- -,60800000,60200000,- -,- -,- -,- -,- -,- -,5000000,145500000,142000000,93600000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,2400000,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,300000,800000,14900000,26700000,150500000,63400000,15900000,184300000,1103600000,205500000,184800000,555400000
45,Total Non-Current Assets,- -,- -,- -,- -,3201000000,2650900000,2522600000,2805700000,6512100000,7438700000,7283700000,9260900000,10857200000,9825300000,9858900000,10328600000
46,Other Assets,914000000,919000000,3505000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,914000000,919000000,3505000000,- -,3348000000,2786200000,2732300000,3473800000,7731100000,9220400000,9360600000,11876800000,13057500000,11951600000,12146700000,12414700000
48,Accounts Payable,- -,- -,- -,- -,36100000,28800000,41300000,57100000,194300000,226400000,228800000,306500000,329300000,349600000,357600000,458100000
49,Short-Term Debt,- -,- -,- -,- -,- -,68000000,15300000,- -,25600000,16000000,12300000,22100000,22100000,13500000,64900000,143200000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,22200000
51,Deferred Revenue,- -,- -,- -,- -,7300000,7700000,10200000,8300000,8200000,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,- -,- -,- -,30800000,29800000,59600000,80600000,291800000,368600000,392900000,375800000,440700000,439800000,551900000,447900000
