,https://roic.ai/company/AVNS,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , 
1,Revenue,1659900000,1684000000,1677500000,1672100000,1574400000,1592300000,611600000,652300000,697600000,714800000,744600000
2,COGS,1069100000,1081500000,1065300000,1123500000,1042800000,1034400000,274700000,261400000,295400000,341500000,380300000
3,Gross Profit,590800000,602500000,612200000,548600000,531600000,557900000,336900000,390900000,402200000,373300000,364300000
4,Gross Profit Ratio,0.3559,0.3578,0.3649,0.3281,0.3377,0.3504,0.5509,0.5993,0.5765,0.5222,0.4893
5,Research and Development Exp.,31200000,33000000,37900000,33600000,32300000,41100000,38200000,41800000,37700000,34900000,32300000
6,General and Administrative Exp.,351700000,343000000,351400000,424500000,398500000,411100000,321700000,340400000,399100000,- -,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",351700000,343000000,351400000,424500000,398500000,411100000,321700000,340400000,399100000,332600000,300300000
9,Other Expenses,-2800000,-1500000,-2400000,-3800000,4500000,18300000,20100000,8200000,21100000,51900000,22800000
10,Operating Expenses,380100000,374500000,386900000,454300000,435300000,470500000,380000000,390400000,457900000,419400000,355400000
11,COGS and Expenses,1449200000,1456000000,1452200000,1577800000,1478100000,1504900000,654700000,651800000,753300000,760900000,735700000
12,Interest Income ,4100000,2600000,2600000,2900000,300000,600000,2500000,7800000,6700000,1200000,200000
13,Interest Expense (Gain),200000,800000,100000,6000000,33100000,32700000,31600000,26400000,15000000,15600000,3300000
14,Depreciation and Amortization,51100000,57600000,69200000,85400000,65400000,65200000,59500000,33500000,36900000,42900000,38300000
15,EBITDA,265900000,288200000,297100000,182600000,-312000000,153200000,130300000,107800000,-12100000,-2000000,47400000
16,EBITDA ratio,0.1602,0.1711,0.1771,0.1092,-0.1982,0.0962,0.2130,0.1653,-0.0173,-0.0028,0.0637
17,Operating Income,210700000,228000000,225300000,94300000,-377700000,87400000,-43100000,500000,-55700000,-46100000,8900000
18,Operating Income ratio,0.1269,0.1354,0.1343,0.0564,-0.2399,0.0549,-0.0705,0.0008,-0.0798,-0.0645,0.0120
19,Total Other Income Expenses (Gains),3900000,1800000,2500000,-3100000,-32800000,-32100000,-29100000,-18600000,-8300000,-14400000,-3100000
20,Income Before Tax,214600000,229800000,227800000,91200000,-410500000,55300000,-72200000,-18100000,-64000000,-60500000,5800000
21,Income Before Tax Ratio,0.1293,0.1365,0.1358,0.0545,-0.2607,0.0347,-0.1181,-0.0277,-0.0917,-0.0846,0.0078
22,Income Tax expense (Gain),72200000,77200000,73200000,64100000,15800000,15500000,-40100000,-9600000,-18100000,-33300000,600000
23,Net Income,142400000,152600000,154600000,27100000,-426300000,39800000,79300000,57500000,-45900000,-27200000,5200000
24,Net Income ratio,0.0858,0.0906,0.0922,0.0162,-0.2708,0.0250,0.1297,0.0881,-0.0658,-0.0381,0.0070
25,EPS,3.06,3.28,2.66,0.58,-9.15,0.85,1.69,1.22,-0.96,-0.57,0.11
26,EPS Diluted,3.06,3.28,2.66,0.58,-9.15,0.85,1.69,1.22,-0.96,-0.57,0.11
27,Weighted Average Shares Outstanding,46514294,46514294,46514294,46536000,46585000,46600000,46800000,47200000,47600000,47800000,47800000
28,Weighted Average Shares Outstanding Diluted,46514294,46514294,46514294,46538000,46585000,47000000,46800000,47200000,47600000,47800000,47800000
29,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1606498/000160649815000009/halyardhealth_10k2014.htm,https://www.sec.gov/Archives/edgar/data/1606498/000160649816000044/0001606498-16-000044-index.html,https://www.sec.gov/Archives/edgar/data/1606498/000160649817000008/0001606498-17-000008-index.html,https://www.sec.gov/Archives/edgar/data/1606498/000160649818000016/0001606498-18-000016-index.html,https://www.sec.gov/Archives/edgar/data/1606498/000160649819000018/0001606498-19-000018-index.html,https://www.sec.gov/Archives/edgar/data/1606498/000160649820000018/0001606498-20-000018-index.html,https://www.sec.gov/Archives/edgar/data/1606498/000160649821000015/0001606498-21-000015-index.htm,https://www.sec.gov/Archives/edgar/data/1606498/000160649822000029/0001606498-22-000029-index.htm
30,BALANCE SHEET, , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,47900000,44100000,149000000,129500000,113700000,219700000,384500000,205300000,111500000,118500000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,47900000,44100000,149000000,129500000,113700000,219700000,384500000,205300000,111500000,118500000
34,Net Receivables,- -,183700000,203300000,233900000,224700000,190100000,203000000,150500000,163800000,167900000,131200000
35,Inventory,- -,301700000,285600000,283100000,303200000,272500000,91100000,121400000,145900000,168900000,150300000
36,Other Current Assets,- -,60400000,52100000,18900000,18600000,17200000,646900000,57200000,23500000,18900000,18600000
37,Total Current Assets,- -,593700000,585100000,684900000,676000000,593500000,1160700000,713600000,538500000,467200000,418600000
38,PP&E,- -,325700000,324900000,277800000,279500000,260800000,109900000,154100000,248500000,223600000,206700000
39,Goodwill,- -,1434100000,1430100000,1426100000,945200000,1029000000,764700000,783600000,800900000,802500000,801600000
40,Intangible Assets,- -,176800000,141200000,108300000,82600000,169800000,148900000,168200000,184300000,157700000,141200000
41,Intangible Assets,- -,1610900000,1571300000,1534400000,1027800000,1198800000,913600000,951800000,985200000,960200000,942800000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,14900000,15100000,7600000,6300000,16100000,10000000,10000000
44,Other Non-Current Assets,- -,3900000,2700000,30500000,2000000,3600000,4100000,7600000,11300000,11800000,16500000
45,Total Non-Current Assets,- -,1940500000,1898900000,1842700000,1324200000,1478300000,1035200000,1119800000,1261100000,1205600000,1176000000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,2534200000,2484000000,2527600000,2000200000,2071800000,2195900000,1833400000,1799600000,1672800000,1594600000
48,Accounts Payable,- -,102200000,118500000,168700000,163200000,173100000,171200000,169900000,83000000,67600000,56400000
49,Short-Term Debt,- -,75900000,11900000,3900000,- -,- -,39800000,- -,14700000,15500000,14700000
50,Tax Payable,- -,20700000,12200000,23400000,15300000,7200000,6800000,6500000,3200000,2700000,3000000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,181000000,180000000,183400000,152000000,151300000,178800000,94400000,114800000,83200000,68100000
53,Total Current Liabilities,- -,359100000,310400000,356000000,315200000,324400000,389800000,264300000,212500000,166300000,139200000
54,Long-Term Debt,- -,- -,- -,632300000,578100000,579000000,541100000,247700000,248100000,233300000,172800000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,96400000,90500000,27900000,23800000,35800000,17800000,4400000,- -,5700000,9600000
57,Other Non-Current Liabilities,- -,23000000,4000000,20200000,27800000,30100000,31800000,19800000,73800000,11000000,9100000
58,Total Non-Current Liabilities,- -,119400000,94500000,680400000,629700000,644900000,590700000,271900000,321900000,250000000,191500000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,77300000,68800000,57500000
61,Total Liabilities,- -,478500000,404900000,1036400000,944900000,969300000,980500000,536200000,534400000,416300000,330700000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,500000,500000,500000,500000,500000,500000,500000,500000
64,Retained Earnings,- -,- -,- -,7300000,-419000000,-379200000,-299900000,-242400000,-288300000,-315500000,-310300000
65,Other Comprehensive Income/Loss,- -,10100000,-19600000,-19100000,-43200000,-50100000,-31300000,-33700000,-32000000,-28100000,-33800000
66,Other Total Stockholders Equity,- -,2045700000,2099100000,1502500000,1517000000,1531300000,1546100000,1572800000,1585000000,1599600000,1607500000
67,Total Stockholders Equity,- -,2055700000,2079100000,1491200000,1055300000,1102500000,1215400000,1297200000,1265200000,1256500000,1263900000
68,Total Liabilities And Stockholders Equity,- -,2534200000,2484000000,2527600000,2000200000,2071800000,2195900000,1833400000,1799600000,1672800000,1594600000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,2534200000,2484000000,2527600000,2000200000,2071800000,2195900000,1833400000,1799600000,1672800000,1594600000
71,SEC Link,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1606498/000160649815000009/halyardhealth_10k2014.htm,https://www.sec.gov/Archives/edgar/data/1606498/000160649816000044/0001606498-16-000044-index.html,https://www.sec.gov/Archives/edgar/data/1606498/000160649817000008/0001606498-17-000008-index.html,https://www.sec.gov/Archives/edgar/data/1606498/000160649818000016/0001606498-18-000016-index.html,https://www.sec.gov/Archives/edgar/data/1606498/000160649819000018/0001606498-19-000018-index.html,https://www.sec.gov/Archives/edgar/data/1606498/000160649820000018/0001606498-20-000018-index.html,https://www.sec.gov/Archives/edgar/data/1606498/000160649821000015/0001606498-21-000015-index.htm,https://www.sec.gov/Archives/edgar/data/1606498/000160649822000029/0001606498-22-000029-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , 
73,Net Income,142400000,152600000,154600000,27100000,-426300000,39800000,79300000,57500000,-45900000,-27200000,5200000
74,Depreciation and Amortization,51100000,57600000,69200000,85400000,65400000,65200000,59500000,33500000,36900000,42900000,38300000
75,Deferred Income Tax,3500000,-11600000,-900000,-35000000,-5900000,-26300000,-6200000,-6800000,-17000000,13800000,-3400000
76,Stock Based Compensation,2600000,5300000,6000000,7900000,14100000,14800000,12600000,10500000,10500000,12100000,13200000
77,Change in Working Capital,-68300000,234600000,40100000,54200000,31900000,-91700000,501800000,-321600000,-123300000,-25100000,26000000
78,Accounts Receivable,-20000000,26400000,-19500000,15100000,9000000,8400000,-15300000,67400000,-800000,45800000,-10800000
79,Inventory,-13100000,-15100000,14300000,-2900000,-20200000,41000000,-16800000,-34500000,-21300000,-21800000,17200000
80,Accounts Payable,-7600000,8000000,15100000,4500000,14700000,6500000,18800000,-64000000,-83600000,-18900000,-11900000
81,Other Working Capital,- -,234600000,274700000,328900000,360800000,269100000,770900000,449300000,326000000,300900000,- -
82,Other Non-Cash Items,8300000,-235900000,-45200000,8300000,418400000,187000000,-502800000,81300000,64300000,-19000000,8000000
