,https://roic.ai/company/TRHC,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , 
1,Revenue,25143000,48428000,70039000,94062000,134546000,204270000,284707000,297219000,331260000
2,COGS,20921000,37812000,49128000,65177000,93655000,137669000,181355000,204812000,233356000
3,Gross Profit,4222000,10616000,20911000,28885000,40891000,66601000,103352000,92407000,97904000
4,Gross Profit Ratio,0.1679,0.2192,0.2986,0.3071,0.3039,0.3260,0.3630,0.3109,0.2956
5,Research and Development Exp.,1338000,1660000,2877000,3811000,5628000,12222000,21739000,18180000,19791000
6,General and Administrative Exp.,2482000,3970000,7115000,11831000,21181000,28181000,50897000,65378000,73759000
7,Selling and Marketing Exp.,1775000,2272000,2880000,3860000,5542000,9667000,25273000,21547000,25969000
8,"Selling, General and Administrative Exp.",4257000,6242000,9995000,15691000,26723000,37848000,76170000,86925000,99728000
9,Other Expenses,1118000,1817000,3933000,5115000,9512000,16802000,34276000,52693000,47706000
10,Operating Expenses,6713000,9719000,16805000,24617000,41863000,66872000,132185000,157798000,167225000
11,COGS and Expenses,27634000,47531000,65933000,89794000,135518000,204541000,313540000,362610000,400581000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),833000,1354000,5915000,4488000,688000,906000,15986000,-20743000,9107000
14,Depreciation and Amortization,1118000,1817000,3933000,5115000,9512000,16802000,34276000,45040000,47706000
15,EBITDA,-1920000,1655000,7312000,3894000,14713000,-32937000,1627000,-56669000,-21615000
16,EBITDA ratio,-0.0764,0.0342,0.1044,0.0414,0.1094,-0.1612,0.0057,-0.1907,-0.0653
17,Operating Income,-2491000,107000,6165000,4551000,5201000,-49739000,-32649000,-65391000,-69321000
18,Operating Income ratio,-0.0991,0.0022,0.0880,0.0484,0.0387,-0.2435,-0.1147,-0.2200,-0.2093
19,Total Other Income Expenses (Gains),-1380000,-1623000,-8701000,-10260000,-688000,-906000,-15986000,-20743000,-9107000
20,Income Before Tax,-3871000,-1516000,-2536000,-5709000,4513000,-50645000,-48635000,-86134000,-78428000
21,Income Before Tax Ratio,-0.1540,-0.0313,-0.0362,-0.0607,0.0335,-0.2479,-0.1708,-0.2898,-0.2368
22,Income Tax expense (Gain),- -,-409000,328000,541000,-9783000,-3376000,-16199000,- -,627000
23,Net Income,-3871000,-1107000,-2864000,-6250000,14296000,-47269000,-32436000,-80966000,-79055000
24,Net Income ratio,-0.1540,-0.0229,-0.0409,-0.0664,0.1063,-0.2314,-0.1139,-0.2724,-0.2386
25,EPS,-0.94,-0.51,-0.30,-0.51,0.85,-2.48,-1.57,-3.71,-3.62
26,EPS Diluted,-0.94,-0.51,-0.30,-0.59,0.76,-2.48,-1.57,-3.71,-3.62
27,Weighted Average Shares Outstanding,9855413,9855413,9408215,7486131,16730418,19098294,20622258,21815388,21815388
28,Weighted Average Shares Outstanding Diluted,9855413,9855413,9408215,11591210,18774374,19098294,20622258,21815388,21815388
29,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1651561/000155837017001729/0001558370-17-001729-index.htm,https://www.sec.gov/Archives/edgar/data/1651561/000155837018002063/0001558370-18-002063-index.htm,https://www.sec.gov/Archives/edgar/data/1651561/000155837019001440/0001558370-19-001440-index.htm,https://www.sec.gov/Archives/edgar/data/1651561/000155837020001882/0001558370-20-001882-index.htm,https://www.sec.gov/Archives/edgar/data/1651561/000155837021001929/0001558370-21-001929-index.htm,https://www.sec.gov/Archives/edgar/data/1651561/000155837022002164/0001558370-22-002164-index.htm
30,BALANCE SHEET, , , , , , , , , 
31,Cash and Cash Equivalents,6027000,4122000,2026000,4345000,10430000,20278000,42478000,23362000,9668000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,6027000,4122000,2026000,4345000,10430000,20278000,42478000,23362000,9668000
34,Net Receivables,2289000,5270000,7077000,6958000,17429000,27950000,29123000,32516000,45308000
35,Inventory,1021000,2040000,2304000,2911000,2795000,3594000,3700000,4261000,5444000
36,Other Current Assets,152000,816000,722000,1450000,2955000,11489000,19237000,33073000,29475000
37,Total Current Assets,9489000,12248000,12129000,15664000,33609000,63311000,94538000,93212000,89895000
38,PP&E,2519000,2221000,1962000,6409000,9243000,11865000,37898000,15070000,34728000
39,Goodwill,189000,21606000,21606000,21686000,74613000,108213000,150760000,170862000,170835000
40,Intangible Assets,2011000,22247000,20192000,28647000,67737000,85454000,207914000,183094000,199844000
41,Intangible Assets,2200000,43853000,41798000,50333000,142350000,193667000,358674000,353956000,370679000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,75000,- -,- -,- -
44,Other Non-Current Assets,325000,501000,2818000,333000,788000,2039000,1281000,- -,4116000
45,Total Non-Current Assets,5044000,46575000,46578000,57075000,152381000,207646000,397853000,369026000,409523000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,14533000,58823000,58707000,72739000,185990000,270957000,492391000,462238000,499418000
48,Accounts Payable,2713000,4558000,6808000,6115000,16218000,14830000,8622000,11245000,13178000
49,Short-Term Debt,2803000,9995000,39501000,674000,921000,945000,4475000,21068000,4688000
50,Tax Payable,- -,- -,- -,- -,20000,- -,898000,151000,- -
51,Deferred Revenue,182000,325000,520000,851000,1350000,1580000,4857000,3354000,- -
52,Other Current Liabilities,672000,7192000,4845000,3369000,9278000,58373000,22049000,36553000,56054000
53,Total Current Liabilities,6370000,22070000,51674000,11009000,27767000,75728000,40003000,72220000,73920000
54,Long-Term Debt,8381000,27339000,430000,1072000,784000,45000000,226294000,239285000,368029000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,334000,832000,545000,- -,8656000,- -,1402000
57,Other Non-Current Liabilities,15802000,29416000,37897000,3720000,34404000,11220000,31890000,671000,311000
58,Total Non-Current Liabilities,24183000,56755000,38661000,5624000,35733000,56220000,266840000,239956000,369742000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,513647000,- -
60,Capital Lease Obligations,- -,- -,- -,1746000,1705000,1097000,25367000,24787000,23918000
61,Total Liabilities,30553000,78825000,90335000,16633000,63500000,131948000,306843000,345911000,443662000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,1000,1000,- -,2000,2000,2000,2000,2000,3000
64,Retained Earnings,-16021000,-20003000,-31628000,-34923000,-20627000,-66498000,-98934000,- -,-260347000
65,Other Comprehensive Income/Loss,-1726000,-2559000,-3528000,-4795000,-5963000,-9363000,-13728000,- -,- -
66,Other Total Stockholders Equity,1726000,2559000,3528000,95822000,149078000,214868000,298208000,168527000,- -
67,Total Stockholders Equity,-16020000,-20002000,-31628000,56106000,122490000,139009000,185548000,168529000,55756000
68,Total Liabilities And Stockholders Equity,14533000,58823000,58707000,72739000,185990000,270957000,492391000,514440000,499418000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,-52202000,- -
70,Total Liabilities & Equity,14533000,58823000,58707000,72739000,185990000,270957000,492391000,462238000,499418000
71,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1651561/000155837017001729/0001558370-17-001729-index.htm,https://www.sec.gov/Archives/edgar/data/1651561/000155837018002063/0001558370-18-002063-index.htm,https://www.sec.gov/Archives/edgar/data/1651561/000155837019001440/0001558370-19-001440-index.htm,https://www.sec.gov/Archives/edgar/data/1651561/000155837020001882/0001558370-20-001882-index.htm,https://www.sec.gov/Archives/edgar/data/1651561/000155837021001929/0001558370-21-001929-index.htm,https://www.sec.gov/Archives/edgar/data/1651561/000155837022002164/0001558370-22-002164-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , 
73,Net Income,-3871000,-1107000,-2864000,-6250000,14296000,-47269000,-32436000,-80966000,-79055000
74,Depreciation and Amortization,1118000,1817000,3933000,5115000,9512000,16802000,34276000,45040000,47706000
75,Deferred Income Tax,- -,-422000,290000,498000,-9911000,-3648000,-16353000,-5302000,513000
76,Stock Based Compensation,89000,254000,565000,4250000,8752000,10361000,27278000,32555000,38454000
77,Change in Working Capital,-220000,-12941000,-29723000,44200000,1187000,-18259000,66952000,-33543000,5677000
78,Accounts Receivable,-884000,-1388000,-1711000,-633000,-2132000,-9456000,1444000,-2448000,-1526000
79,Inventory,-337000,-792000,-264000,-607000,116000,-799000,-106000,-239000,-1183000
80,Accounts Payable,801000,1383000,440000,665000,1288000,-778000,-7809000,2149000,1982000
81,Other Working Capital,3119000,-9822000,-39545000,4655000,5842000,-12417000,54535000,20992000,- -
82,Other Non-Cash Items,729000,13269000,31055000,-41039000,-5528000,57843000,-85532000,47034000,2157000
83,Cash Provided by Operating Activities,-2155000,870000,3256000,6774000,18308000,15830000,-5815000,4818000,15452000
84,CAPEX,-845000,-968000,-1174000,-5696000,-6617000,-10576000,-23163000,-3091000,-35194000
85,Acquisitions Net,- -,-13448000,-2403000,-5400000,-34451000,-32232000,-158762000,-6807000,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,-479000,-1238000,300000,200000,- -,-1000000,1000000,-18836000,-31844000
89,Cash Used for Investing Activites,-845000,-14916000,-3277000,-10896000,-41068000,-43808000,-180925000,-28734000,-35194000
