,https://roic.ai/company/OUT,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , 
1,Revenue,1214100000,1277100000,1284600000,1294000000,1353800000,1513800000,1513900000,1520500000,1606200000,1782200000,1236300000,1463900000
2,COGS,687000000,689400000,700100000,686900000,726500000,833100000,818100000,835200000,859900000,958600000,710800000,784000000
3,Gross Profit,527100000,587700000,584500000,607100000,627300000,680700000,695800000,685300000,746300000,823600000,525500000,679900000
4,Gross Profit Ratio,0.4341,0.4602,0.4550,0.4692,0.4634,0.4497,0.4596,0.4507,0.4646,0.4621,0.4251,0.4644
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,- -,224300000,258300000,264800000,261700000,287000000,323500000,- -,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,- -,- -,- -,224300000,258300000,264800000,261700000,287000000,323500000,- -,368200000
9,Other Expenses,395600000,390300000,378600000,395600000,202200000,229100000,224200000,189800000,185000000,194500000,460900000,145400000
10,Operating Expenses,395600000,390300000,378600000,395600000,426500000,487400000,489000000,451500000,472000000,518000000,460900000,513600000
11,COGS and Expenses,1082600000,1079700000,1078700000,1082500000,1153000000,1320500000,1307100000,1286700000,1331900000,1476600000,1171700000,1297600000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,72700000,108500000,107400000,110800000,120000000,127000000,124500000,- -
14,Depreciation and Amortization,214200000,211900000,196800000,195800000,202200000,229100000,224200000,189800000,185000000,194500000,145800000,145400000
15,EBITDA,342600000,406800000,399200000,435900000,375800000,313600000,427900000,430500000,417800000,472500000,210400000,177600000
16,EBITDA ratio,0.2822,0.3185,0.3108,0.3369,0.2776,0.2072,0.2826,0.2831,0.2601,0.2651,0.1702,0.1213
17,Operating Income,126500000,192400000,201200000,238800000,183100000,86400000,204900000,241700000,234800000,309100000,72500000,168300000
18,Operating Income ratio,0.1042,0.1507,0.1566,0.1845,0.1352,0.0571,0.1353,0.1590,0.1462,0.1734,0.0586,0.1150
19,Total Other Income Expenses (Gains),100000,800000,-1000000,-1200000,-85100000,-115200000,-113900000,-116600000,-126100000,-163300000,-131000000,-136700000
20,Income Before Tax,126600000,193200000,200200000,237600000,98000000,-28800000,91000000,125100000,108700000,145800000,-58500000,31600000
21,Income Before Tax Ratio,0.1043,0.1513,0.1558,0.1836,0.0724,-0.0190,0.0601,0.0823,0.0677,0.0818,-0.0473,0.0216
22,Income Tax expense (Gain),57100000,87800000,89000000,96600000,-206000000,5400000,5400000,4100000,4900000,10900000,1100000,-3400000
23,Net Income,71300000,107100000,113400000,143500000,306900000,-29400000,90900000,125800000,107900000,140100000,-61000000,35600000
24,Net Income ratio,0.0587,0.0839,0.0883,0.1109,0.2267,-0.0194,0.0600,0.0827,0.0672,0.0786,-0.0493,0.0243
25,EPS,0.59,0.89,0.94,1.20,2.69,-0.21,0.66,0.90,0.76,0.97,-0.56,0.05
26,EPS Diluted,0.59,0.89,0.94,1.20,2.67,-0.21,0.66,0.90,0.75,0.97,-0.56,0.05
27,Weighted Average Shares Outstanding,120000000,120000000,120000000,120000000,114300000,137300000,137900000,138500000,139300000,142500000,144300000,145400000
28,Weighted Average Shares Outstanding Diluted,120000000,120000000,120000000,120000000,114800000,137300000,138400000,138900000,139600000,143200000,144300000,146100000
29,SEC Link,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1579877/000157987715000032/0001579877-15-000032-index.htm,https://www.sec.gov/Archives/edgar/data/1579877/000157987716000199/0001579877-16-000199-index.htm,https://www.sec.gov/Archives/edgar/data/1579877/000157987717000054/0001579877-17-000054-index.htm,https://www.sec.gov/Archives/edgar/data/1579877/000157987718000041/0001579877-18-000041-index.htm,https://www.sec.gov/Archives/edgar/data/1579877/000157987719000032/0001579877-19-000032-index.htm,https://www.sec.gov/Archives/edgar/data/1579877/000157987720000038/0001579877-20-000038-index.htm,https://www.sec.gov/Archives/edgar/data/1579877/000157987721000034/0001579877-21-000034-index.htm,https://www.sec.gov/Archives/edgar/data/1579877/000157987722000027/0001579877-22-000027-index.htm
30,BALANCE SHEET, , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,37600000,20200000,29800000,28500000,101600000,65200000,48300000,52700000,59100000,710400000,424800000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,37600000,20200000,29800000,28500000,101600000,65200000,48300000,52700000,59100000,710400000,424800000
34,Net Receivables,- -,184800000,175100000,178800000,217500000,209500000,222000000,231100000,264900000,290000000,209200000,310500000
