,https://roic.ai/company/CVU,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,10000000,6100000,5000000,4700000,6800000,13000000,19800000,21600000,28621681,15024027,23999257,27288035,30269030,25526404,17907989,27985476,35588831,43906825,43990784,74135669,89272582,82988522,39687010,100202557,81329858,81283148,83929270,87518688,87584690
2,COGS,6500000,3500000,2700000,4100000,4100000,8800000,23400000,14000000,19681024,10955264,16297905,18283252,19973231,19513391,16264351,20596085,27065243,32597208,37877960,55325729,65039969,64555275,69411709,83600854,77010940,62637232,65765007,78386997,75490503
3,Gross Profit,3500000,2600000,2300000,600000,2700000,4200000,-3600000,7600000,8940657,4068763,7701352,9004783,10295799,6013013,1643638,7389391,8523588,11309617,6112824,18809940,24232613,18433247,-29724699,16601703,4318918,18645916,18164263,9131691,12094187
4,Gross Profit Ratio,0.3500,0.4262,0.4600,0.1277,0.3971,0.3231,-0.1818,0.3519,0.3124,0.2708,0.3209,0.3300,0.3401,0.2356,0.0918,0.2640,0.2395,0.2576,0.1390,0.2537,0.2714,0.2221,-0.7490,0.1657,0.0531,0.2294,0.2164,0.1043,0.1381
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,1300000,1300000,1100000,1200000,1800000,2000000,4400000,4000000,4644747,1479421,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,12046170
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",1300000,1300000,1100000,1200000,1800000,2000000,4400000,4000000,4644747,1479421,2691632,3177173,3424953,3342729,3551974,4355027,4717080,5197663,5415292,7931586,7322630,6704524,7308220,7636148,8614190,8449594,9528883,11562781,12046170
9,Other Expenses,200000,200000,200000,100000,100000,400000,1400000,1700000,1564084,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
