,https://roic.ai/company/ICNB,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
0,INCOME STATEMENT, , , , , , , , , , , , , , 
1,Revenue,- -,- -,773555,371310,- -,- -,- -,- -,82502,363219,3219880,566140,1210240,2848913
2,COGS,- -,- -,613494,- -,- -,- -,- -,- -,57830,214457,2108370,358650,932430,1330441
3,Gross Profit,- -,- -,160061,- -,- -,- -,- -,- -,24672,148762,1111510,207490,277810,1518472
4,Gross Profit Ratio,- -,- -,0.2069,- -,- -,- -,- -,- -,0.2990,0.4096,0.3452,0.3665,0.2295,0.5330
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,30000,80000,4177782,1783090,60200,60550,- -,51289,316870,563759,670620,2185010,2192583,- -
7,Selling and Marketing Exp.,- -,- -,331306,- -,- -,- -,- -,- -,83398,107821,- -,- -,512707,801445
8,"Selling, General and Administrative Exp.",30000,80000,4509088,1783090,60200,60550,- -,51289,400268,671580,670620,2185010,2705290,801445
9,Other Expenses,420,-4321,- -,-109163,-1,- -,- -,- -,-1,- -,262792,281543,903819,3915119
10,Operating Expenses,30420,75679,4509088,1673927,60199,60550,- -,- -,400267,671580,933412,2466553,3609109,4716564
11,COGS and Expenses,30000,80000,5122582,2668850,60200,60550,- -,51289,458097,886037,6229160,4169120,4541540,6047005
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),3382,1958,656818,333962,45307,46198,- -,38892,105666,122067,190066,140672,- -,- -
14,Depreciation and Amortization,- -,- -,4171,3033,- -,- -,- -,- -,- -,- -,- -,- -,- -,29196
15,EBITDA,-30000,-80000,-4246445,-2401765,-229990,-229920,- -,-51289,-675595,-5736296,4156446,-4016578,-3953910,-3168896
16,EBITDA ratio,-Infinity,-Infinity,-5.4895,-6.4684,-Infinity,-Infinity,- -,-Infinity,-8.1888,-15.7929,1.2909,-7.0947,-3.2670,-1.1123
17,Operating Income,-30420,-78679,-4349027,-1538358,-60199,-60550,- -,-51289,-375595,-522818,432434,-2259070,-3331297,-3198092
18,Operating Income ratio,-Infinity,-Infinity,-5.6221,-4.1431,-Infinity,-Infinity,- -,-Infinity,-4.5526,-1.4394,0.1343,-3.9903,-2.7526,-1.1226
19,Total Other Income Expenses (Gains),420,-1321,-558407,-1200402,-45311,-46200,- -,14251,-405666,-5442904,3810446,-2591550,-3,- -
