,https://roic.ai/company/ASH,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,7891200000,6991300000,6870900000,7826100000,8061900000,8498000000,9246400000,9552200000,9553900000,9457000000,11179000000,12145000000,13208000000,6534000000,6801000000,7961000000,8547000000,7792000000,7865000000,8781000000,9860000000,7277000000,7834000000,8381000000,8106000000,9012000000,6502000000,8206000000,7813000000,6121000000,5387000000,4948000000,3260000000,3743000000,2493000000,2326000000,2111000000
2,COGS,6738800000,5713700000,5755000000,6336300000,6578100000,6909400000,7711700000,8197100000,7939000000,7729000000,9270000000,10151000000,10860000000,5299000000,5346000000,6434000000,6319000000,6049000000,6005000000,6948000000,7823000000,6030000000,6447000000,7056000000,6317000000,7012000000,4890000000,6025000000,5419000000,4605000000,3814000000,3321000000,2372000000,2668000000,1726000000,1619000000,1441000000
3,Gross Profit,1152400000,1277600000,1115900000,1489800000,1483800000,1588600000,1534700000,1355100000,1614900000,1728000000,1909000000,1994000000,2348000000,1235000000,1455000000,1527000000,2228000000,1743000000,1860000000,1833000000,2037000000,1247000000,1387000000,1325000000,1789000000,2000000000,1612000000,2181000000,2394000000,1516000000,1573000000,1627000000,888000000,1075000000,767000000,707000000,670000000
4,Gross Profit Ratio,0.1460,0.1827,0.1624,0.1904,0.1841,0.1869,0.1660,0.1419,0.1690,0.1827,0.1708,0.1642,0.1778,0.1890,0.2139,0.1918,0.2607,0.2237,0.2365,0.2087,0.2066,0.1714,0.1770,0.1581,0.2207,0.2219,0.2479,0.2658,0.3064,0.2477,0.2920,0.3288,0.2724,0.2872,0.3077,0.3040,0.3174
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,96000000,86000000,89000000,137000000,178000000,114000000,110000000,100000000,83000000,85000000,66000000,64000000,50000000
6,General and Administrative Exp.,606800000,655000000,711600000,930800000,1023700000,1041800000,1018500000,1155500000,1070800000,1101000000,1296000000,1291000000,1405000000,1006000000,1055000000,1094000000,1127000000,1185000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,424000000,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",606800000,655000000,711600000,930800000,1023700000,1041800000,1018500000,1155500000,1070800000,1101000000,1296000000,1291000000,1405000000,1006000000,1055000000,1094000000,1127000000,1185000000,1390000000,1171000000,1291000000,1077000000,1171000000,1166000000,1341000000,1399000000,1442000000,1800000000,1044000000,1358000000,1028000000,1228000000,670000000,771000000,539000000,424000000,358000000
9,Other Expenses,247800000,240700000,258100000,270200000,279200000,269400000,278600000,302100000,304600000,308000000,487000000,402000000,572000000,181000000,228000000,237000000,250000000,220000000,204000000,- -,- -,-5000000,-3000000,-34000000,- -,-51000000,- -,- -,- -,- -,- -,- -,- -,- -,-4000000,77000000,90000000
10,Operating Expenses,854600000,895700000,969700000,1201000000,1302900000,1311200000,1297100000,1457600000,1375400000,1409000000,1783000000,1693000000,1977000000,1187000000,1283000000,1331000000,1377000000,1405000000,1594000000,1171000000,1291000000,1072000000,1168000000,1132000000,1437000000,1434000000,1531000000,1937000000,1222000000,1472000000,1138000000,1328000000,753000000,856000000,601000000,565000000,498000000
11,COGS and Expenses,7593400000,6609400000,6724700000,7537300000,7881000000,8220600000,9008800000,9654700000,9314400000,9138000000,11053000000,11844000000,12837000000,6486000000,6629000000,7765000000,7696000000,7454000000,7599000000,8119000000,9114000000,7102000000,7615000000,8188000000,7754000000,8446000000,6421000000,7962000000,6641000000,6077000000,4952000000,4649000000,3125000000,3524000000,2327000000,2184000000,1939000000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,21000000,12000000,16000000,8000000,4000000,6000000,6000000,6000000,4000000,4000000,2000000,1000000,1000000
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,215000000,209000000,131000000,251000000,273000000,163000000,166000000,190000000,232000000,136000000,114000000,88000000,69000000
14,Depreciation and Amortization,209100000,240700000,258100000,270200000,279200000,269400000,278600000,302100000,304600000,308000000,487000000,402000000,572000000,181000000,228000000,237000000,250000000,220000000,204000000,193000000,193000000,111000000,133000000,145000000,329000000,304000000,299000000,430000000,425000000,393000000,341000000,337000000,301000000,312000000,289000000,247000000,244000000
