,https://roic.ai/company/KT,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,9915393640940,11749716861250,13537294530000,15951379802550,16393001180666,16851250000000,16488000000000,16973918263042,16936574063706,18670642361679,19644543000000,19649120000000,21331313000000,21990051000000,24577709000000,24057881000000,23727378000000,22699856000000,23120878000000,23546929000000,23436050000000,24899189000000,24440647000000,24898005000000
2,COGS,5444653341542,6578482438904,7128950677500,12236530910400,11686120992468,8202500000000,3255000000000,1934850605240,3531617127570,4106014053649,4127212000000,4935425000000,4890921000000,7196205000000,5278057000000,9835441000000,9404603000000,9058426000000,9005069000000,9391006000000,9584883000000,10343261000000,9788113000000,10038771000000
3,Gross Profit,4470740299398,5171234422346,6408343852500,3714848892150,4706880188198,8648750000000,13233000000000,15039067657802,13404956936136,14564628308031,15517331000000,14713695000000,16440392000000,14793846000000,19299652000000,14222440000000,14322775000000,13641430000000,14115809000000,14155923000000,13851167000000,14555928000000,14652534000000,14859234000000
4,Gross Profit Ratio,0.4509,0.4401,0.4734,0.2329,0.2871,0.5132,0.8026,0.8860,0.7915,0.7801,0.7899,0.7488,0.7707,0.6728,0.7853,0.5912,0.6036,0.6009,0.6105,0.6012,0.5910,0.5846,0.5995,0.5968
5,Research and Development Exp.,- -,- -,140328697500,137976347250,172241992824,103750000000,256000000000,265400219937,206640645163,291010300242,283147000000,263214000000,268802000000,175917000000,153150000000,171461000000,192022000000,183821000000,167881000000,168635000000,176758000000,165028000000,156940000000,168969000000
6,General and Administrative Exp.,- -,- -,- -,1051248360000,1033570580906,2892500000000,6491000000000,8282087541564,7149431363012,8454764062868,4156341000000,5091545000000,2440861000000,3180344000000,3443787000000,4034541000000,4704113000000,3984538000000,4111284000000,4086612000000,4379873000000,4249994000000,4331053000000,4405773000000
7,Selling and Marketing Exp.,- -,- -,- -,166885677150,166310794724,106250000000,284000000000,264297991497,221223276184,274450375114,4920504000000,4370536000000,1646045000000,1633990000000,3797602000000,3736501000000,4182072000000,3070795000000,3253024000000,3484757000000,3180684000000,3581374000000,3435054000000,3640719000000
8,"Selling, General and Administrative Exp.",- -,- -,- -,1218134037150,1199881375630,2998750000000,6775000000000,8546385533060,7370654639196,8729214437982,9076845000000,9462081000000,4086906000000,4814334000000,7241389000000,7771042000000,8886185000000,7055333000000,7364308000000,7571369000000,7560557000000,7831368000000,7766107000000,8046492000000
9,Other Expenses,3887896586918,4406002260115,5217446257500,415243102200,996678528724,3635000000000,3806000000000,3822465275619,3558256886204,3798074914419,4729577000000,4021941000000,9909602000000,3178834000000,10037246000000,5956553000000,5906971000000,5325208000000,5243840000000,5346827000000,5012992000000,5539358000000,5707154000000,4998417000000
