,https://roic.ai/company/MRNS,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , 
1,Revenue,100000,- -,- -,- -,- -,- -,- -,- -,1718000,15345000
2,COGS,- -,- -,- -,- -,- -,- -,- -,- -,- -,1478000
3,Gross Profit,- -,- -,- -,- -,- -,- -,- -,- -,- -,13867000
4,Gross Profit Ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,0.9037
5,Research and Development Exp.,845556,4150101,8690000,18916000,22005000,12376000,28394000,42966000,51106000,73520000
6,General and Administrative Exp.,685099,1228701,3230000,5516000,6237000,6667000,8785000,11456000,18549000,37278000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",685099,1228701,3230000,5516000,6237000,6667000,8785000,11456000,18549000,37278000
9,Other Expenses,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
10,Operating Expenses,1530655,5378802,11920000,24432000,28242000,19043000,37179000,54422000,69655000,110798000
11,COGS and Expenses,1526474,5350985,11920000,24432000,28242000,19043000,37179000,54422000,69655000,112276000
12,Interest Income ,2661,19055,12000,64000,128000,324000,454000,354000,499000,80000
13,Interest Expense (Gain),320782,90611,117000,475000,464000,159000,- -,- -,- -,-2582000
14,Depreciation and Amortization,17902,9790,5000,11000,23000,126000,127000,278000,334000,355000
15,EBITDA,-1069861,-5169454,-11915000,-24421000,-28219000,-18917000,-37052000,-54144000,-67141000,-96576000
16,EBITDA ratio,-10.6986,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-39.0809,-6.2936
17,Operating Income,-1430655,-5378802,-11920000,-24432000,-28242000,-19043000,-37179000,-54422000,-67937000,-96931000
18,Operating Income ratio,-14.3065,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-39.5442,-6.3168
19,Total Other Income Expenses (Gains),22110,108947,1087000,-418000,-401000,145000,453000,301000,462000,- -
20,Income Before Tax,-1408545,-5269855,-10833000,-24850000,-28643000,-18898000,-36726000,-54121000,-67475000,- -
21,Income Before Tax Ratio,-14.0854,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-39.2753,- -
22,Income Tax expense (Gain),- -,-27817,- -,- -,- -,- -,- -,- -,- -,- -
