,https://roic.ai/company/UMH,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,7700000,8700000,9200000,9800000,11000000,11500000,12400000,13400000,8600000,15600000,17200000,18900000,18640335,24057800,29423893,33790503,34357882,39339573,42644610,38840701,36656400,32019252,34010964,39313354,46827764,62205107,71431933,81516671,99213829,112647919,129586693,146591000,163609000,186099000
2,COGS,- -,3600000,3900000,- -,- -,- -,- -,- -,- -,- -,- -,- -,8233356,12934830,14115202,15665926,16677936,21737548,24708214,23004446,21309423,18261516,20592671,23506295,28467964,36345330,39424867,42107812,49104853,56317755,64664497,74646000,77592000,88137000
3,Gross Profit,7700000,5100000,5300000,9800000,11000000,11500000,12400000,13400000,8600000,- -,17200000,- -,10406979,11122970,15308691,18124577,17679946,17602025,17936396,15836255,15346977,13757736,13418293,15807059,18359800,25859777,32007066,39408859,50108976,56330164,64922196,71945000,86017000,97962000
4,Gross Profit Ratio,1.0000,0.5862,0.5761,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,- -,1.0000,- -,0.5583,0.4623,0.5203,0.5364,0.5146,0.4474,0.4206,0.4077,0.4187,0.4297,0.3945,0.4021,0.3921,0.4157,0.4481,0.4834,0.5051,0.5001,0.5010,0.4908,0.5257,0.5264
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,1000000,1100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,1852309,2770619,3224050,3845048,3663554,- -,- -,5295851,4621017,3115501,3245853,3979866,5137516,6242224,6465973,7345644,8004925,9645681,10879419,10046000,11056000,14095000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1198921,1718719,2104077,2152701,1985834,2983376,2788360,2852405,3095155,3774425,5079000,4941000,4807000
8,"Selling, General and Administrative Exp.",- -,1000000,1100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,1852309,2770619,3224050,3845048,3663554,4838071,5327021,5295851,4621017,4314422,4964572,6083943,7290217,8228058,9449349,10134004,10857330,12740836,14653844,15125000,15997000,18902000
9,Other Expenses,5600000,1800000,1700000,6700000,7700000,8300000,8600000,9300000,3600000,10300000,11500000,12200000,2707576,2772304,2922640,3017869,3305529,3616336,3653781,3835872,4256034,4335144,4726080,7323957,7594158,11980724,15163420,18877511,23214100,27557746,31691209,36811000,47178000,45124000
10,Operating Expenses,5600000,2800000,2800000,6700000,7700000,8300000,8600000,9300000,3600000,10300000,11500000,12200000,4559885,5542923,6146690,6862917,6969083,8454407,8980802,9131723,8877051,8649566,9690652,13407900,14884375,20208782,24612769,29011515,34071430,40298582,46345053,51936000,63175000,64026000
11,COGS and Expenses,5600000,6400000,6700000,6700000,7700000,8300000,8600000,9300000,3600000,10300000,11500000,12200000,12793241,18477753,20261892,22528843,23647019,30191955,33689016,32136169,30186474,26911082,30283323,36914195,43352339,56554112,64037636,71119327,83176283,96616337,111009550,126582000,135296000,152163000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1747254,2188430,2867142,3260261,2842523,- -,3156255,3357524,4318512,4584917,4579668,4503237,2027969,2186387,2098974,1819567,1584585,2006880,2254690,2619000,2917000,3362000
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4455332,5183296,5744567,5803172,7849835,10194472,13245429,15432364,15876972,16038585,17805000,18287000,19158000
14,Depreciation and Amortization,- -,1800000,1700000,- -,- -,- -,- -,- -,- -,- -,- -,- -,2707576,2772304,2922640,3017869,3305529,3616336,3653781,3835872,4256034,4082124,4516026,5962338,7357158,11681724,15163420,18877511,23214100,27557746,31691209,36811000,41707000,45124000
15,EBITDA,-200000,1400000,1600000,700000,1100000,1400000,2200000,2500000,3700000,4200000,4200000,4600000,7896947,8322792,9434852,11144927,11507278,10606678,9494058,6468613,5783184,12226844,16368237,15403168,19634387,25368382,29595695,34267145,50181023,56102752,11514223,82366000,65049000,115370000
16,EBITDA ratio,-0.0260,0.1609,0.1739,0.0714,0.1000,0.1217,0.1774,0.1866,0.4302,0.2692,0.2442,0.2434,0.4236,0.3459,0.3207,0.3298,0.3349,0.2696,0.2226,0.1665,0.1578,0.3819,0.4813,0.3918,0.4193,0.4078,0.4143,0.4204,0.5058,0.4980,0.0889,0.5619,0.3976,0.6199
17,Operating Income,2100000,2300000,2500000,3100000,3300000,3200000,3800000,4100000,5000000,5300000,5700000,6700000,5847094,5580047,9162001,11261660,10710863,9147618,8955594,6704532,6469926,5108170,3280064,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
18,Operating Income ratio,0.2727,0.2644,0.2717,0.3163,0.3000,0.2783,0.3065,0.3060,0.5814,0.3397,0.3314,0.3545,0.3137,0.2319,0.3114,0.3333,0.3117,0.2325,0.2100,0.1726,0.1765,0.1595,0.0964,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
19,Total Other Income Expenses (Gains),-2300000,100000,- -,-2400000,-2200000,-1800000,-1600000,- -,- -,- -,- -,- -,219824,607905,1542404,2873688,2603062,43489,660525,-1087527,-2751108,-1548367,3388851,2509561,2998632,185828,-3156494,-8253139,-4502987,-3363548,-54792714,7741000,-23258000,- -
20,Income Before Tax,-200000,- -,- -,700000,1100000,1400000,2200000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6668915,- -,6474057,5836823,4237803,2144205,11534559,12668034,-36215571,27750000,5055000,51088000
21,Income Before Tax Ratio,-0.0260,- -,- -,0.0714,0.1000,0.1217,0.1774,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,0.1961,- -,0.1383,0.0938,0.0593,0.0263,0.1163,0.1125,-0.2795,0.1893,0.0309,0.2745
22,Income Tax expense (Gain),100000,- -,- -,100000,100000,100000,100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
23,Net Income,-300000,-400000,-100000,600000,1000000,1300000,2100000,2500000,3700000,4200000,4200000,4600000,5189371,5550488,6512212,8127058,8201749,6990342,5840277,2632741,1527150,3689388,6668915,3696263,6474057,5836823,4237803,2144205,11534559,12668034,-36215571,27750000,5055000,51088000
24,Net Income ratio,-0.0390,-0.0460,-0.0109,0.0612,0.0909,0.1130,0.1694,0.1866,0.4302,0.2692,0.2442,0.2434,0.2784,0.2307,0.2213,0.2405,0.2387,0.1777,0.1370,0.0678,0.0417,0.1152,0.1961,0.0940,0.1383,0.0938,0.0593,0.0263,0.1163,0.1125,-0.2795,0.1893,0.0309,0.2745
25,EPS,-0.03,-0.10,-0.02,0.14,0.21,0.26,0.40,0.44,0.61,0.63,0.60,0.63,0.71,0.74,0.86,1.03,0.59,0.74,0.58,0.25,0.14,0.32,0.52,0.14,0.11,-0.09,-0.15,-0.24,-0.09,-0.24,-1.53,0.07,-0.72,1.23
26,EPS Diluted,-0.03,-0.10,-0.02,0.14,0.21,0.26,0.40,0.44,0.61,0.63,0.59,0.63,0.71,0.74,0.85,1.02,0.59,0.74,0.58,0.25,0.14,0.32,0.52,0.14,0.11,-0.09,-0.15,-0.24,-0.09,-0.24,-1.53,0.06,-0.72,1.23
27,Weighted Average Shares Outstanding,3837000,4000000,5000000,4285714,4761905,5000000,5250000,5693001,6155018,6617479,7042701,7252774,7339684,7457636,7600266,7858888,8598686,9473155,10093546,10535162,10876840,11412536,12767904,14506679,16197339,18724321,22496103,25932626,27808895,32675650,36871322,39909000,41395000,41395000
28,Weighted Average Shares Outstanding Diluted,3837000,4000000,5000000,4285714,4761905,5000000,5250000,5806452,6222222,6679994,7060542,7267695,7341078,7496371,7677200,7942459,8676485,9504449,10110567,10539269,10882688,11417664,12822644,14562018,16260225,18789662,22539708,25972807,27808895,32675650,36871322,40203000,41395000,41395000
