,https://roic.ai/company/ADMT,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,700000,800000,900000,1600000,2000000,1400000,1600000,1918651,1638537,1535239,2098997,2698597,1944853,1371763,1009225,1163256,1382113,1724269,1537860,1896746,1486283,1166591,1198604,2315960,1580841,1809623,2850548,4513070,5271231,3754212,3018954,3485992,3090631
2,COGS,400000,200000,300000,800000,200000,500000,400000,602612,597452,644763,681512,1235775,631188,673952,776030,528569,530872,692998,485365,1355862,1081071,701758,683580,935885,782648,875610,1485590,1915901,2611493,1865908,1454700,1911972,1928789
3,Gross Profit,300000,600000,600000,800000,1800000,900000,1200000,1316039,1041085,890476,1417485,1462822,1313665,697811,233195,634687,851241,1031271,1052495,540884,405212,464833,515024,1380075,798193,934013,1364958,2597169,2659738,1888304,1564254,1574020,1161842
4,Gross Profit Ratio,0.4286,0.7500,0.6667,0.5000,0.9000,0.6429,0.7500,0.6859,0.6354,0.5800,0.6753,0.5421,0.6755,0.5087,0.2311,0.5456,0.6159,0.5981,0.6844,0.2852,0.2726,0.3985,0.4297,0.5959,0.5049,0.5161,0.4788,0.5755,0.5046,0.5030,0.5181,0.4515,0.3759
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,270894,544426,298521,3823,- -,27995,43294,35863,34247,34859,38055,91774,168812,527659,673855,589373,655962
6,General and Administrative Exp.,800000,1000000,1200000,1000000,1100000,- -,1000000,992105,1014333,1613253,2163562,2034640,1660409,1154634,952180,720166,2584791,5468651,4371611,1179976,1112699,947743,1080299,1446589,1281060,1076649,1073342,1639752,1241991,1404604,1243011,1005354,1066801
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",800000,1000000,1200000,1000000,1100000,800000,1000000,992105,1014333,1613253,2163562,2034640,1660409,1154634,952180,720166,2584791,5468651,4371611,1179976,1112699,947743,1080299,1446589,1281060,1076649,1073342,2238451,1340591,1404604,1243011,1005354,1066801
9,Other Expenses,- -,100000,100000,100000,100000,100000,100000,- -,- -,- -,-40635,-126864,252744,- -,- -,- -,139213,- -,- -,- -,- -,- -,- -,92211,21166,46297,3612,3961,11774,22229,22108,22682,109557
10,Operating Expenses,800000,1100000,1300000,1100000,1200000,900000,1100000,992105,1014333,1613253,2122927,1907776,1913153,1154634,952180,720166,2994898,6013077,4670132,1183799,1112699,975738,1123593,1574663,1336473,1157805,1115009,2334186,1521177,1954492,1938974,1617409,1832320
