,https://roic.ai/company/INMD,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , 
1,Revenue,53456000,100162000,156361000,206107000,357565000
2,COGS,9053000,15057000,20238000,30849000,53592000
3,Gross Profit,44403000,85105000,136123000,175258000,303973000
4,Gross Profit Ratio,0.8306,0.8497,0.8706,0.8503,0.8501
5,Research and Development Exp.,2575000,4180000,5699000,9467000,9532000
6,General and Administrative Exp.,4364000,49436000,70806000,6418000,8411000
7,Selling and Marketing Exp.,28514000,- -,- -,86532000,119353000
8,"Selling, General and Administrative Exp.",32878000,49436000,70806000,92950000,127764000
9,Other Expenses,- -,- -,- -,- -,-800000
10,Operating Expenses,35453000,53616000,76505000,102417000,136496000
11,COGS and Expenses,44506000,76673000,96743000,133266000,190088000
12,Interest Income ,849000,136000,2423000,3291000,525000
13,Interest Expense (Gain),- -,- -,- -,- -,- -
14,Depreciation and Amortization,204000,184000,302000,416000,517000
15,EBITDA,10003000,23815000,62330000,76553000,168416000
16,EBITDA ratio,0.1871,0.2378,0.3986,0.3714,0.4710
17,Operating Income,8950000,23489000,59618000,72841000,167477000
18,Operating Income ratio,0.1674,0.2345,0.3813,0.3534,0.4684
19,Total Other Income Expenses (Gains),849000,136000,2423000,3291000,525000
20,Income Before Tax,9799000,23625000,62041000,76132000,168002000
21,Income Before Tax Ratio,0.1833,0.2359,0.3968,0.3694,0.4699
22,Income Tax expense (Gain),980000,1260000,883000,1107000,2928000
23,Net Income,8819000,22371000,61145000,75030000,164971000
24,Net Income ratio,0.1650,0.2233,0.3911,0.3640,0.4614
25,EPS,0.14,0.35,1.04,1.04,2.03
26,EPS Diluted,0.14,0.35,0.80,0.89,1.92
27,Weighted Average Shares Outstanding,63947144,63947144,58462952,72114364,81444938
28,Weighted Average Shares Outstanding Diluted,63947144,63947144,76117250,84184598,86017203
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1742692/000117891320000541/0001178913-20-000541-index.htm,https://www.sec.gov/Archives/edgar/data/1742692/000117891321000406/0001178913-21-000406-index.htm,- -
30,BALANCE SHEET, , , , , 
31,Cash and Cash Equivalents,17593000,34766000,73218000,68938000,68136000
32,Short-Term Investments,7447000,26532000,120144000,191596000,347778000
33,Cash and Short-Term Investments,25040000,61298000,193362000,260534000,415914000
34,Net Receivables,7074000,9503000,10438000,14074000,24770000
35,Inventory,5035000,6963000,9408000,14983000,21026000
36,Other Current Assets,- -,- -,- -,- -,8404000
37,Total Current Assets,37149000,77764000,213208000,289591000,470114000
38,PP&E,346000,544000,2304000,2135000,5725000
39,Goodwill,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -
42,Investments,- -,- -,600000,600000,600000
43,Tax Assets,810000,11000,37000,64000,1334000
44,Other Non-Current Assets,1137000,2737000,2236000,3371000,768000
45,Total Non-Current Assets,2293000,3292000,5177000,6170000,8427000
46,Other Assets,- -,- -,- -,- -,- -
47,Total Assets,39442000,81056000,218385000,295761000,478541000
