,https://roic.ai/company/BXRX,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , 
1,Revenue,- -,- -,- -,493000,1080000
2,COGS,- -,- -,- -,1732000,2445000
3,Gross Profit,- -,- -,- -,-1239000,-1365000
4,Gross Profit Ratio,- -,- -,- -,-2.5132,-1.2639
5,Research and Development Exp.,28635000,35583000,20061000,9087000,3125000
6,General and Administrative Exp.,19626000,29453000,27012000,- -,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",19626000,29453000,27012000,- -,45310000
9,Other Expenses,- -,- -,- -,45481000,- -
10,Operating Expenses,48261000,65036000,47073000,54568000,48435000
11,COGS and Expenses,48261000,65036000,47073000,56300000,50880000
12,Interest Income ,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,1359000,-2303000
14,Depreciation and Amortization,72000,396000,480000,2554000,240000
15,EBITDA,-35350000,-56141000,-46593000,-72187000,-21832000
16,EBITDA ratio,-Infinity,-Infinity,-Infinity,-146.4239,-20.2148
17,Operating Income,-61100000,-73535000,-32519000,-74786000,-19006000
18,Operating Income ratio,-Infinity,-Infinity,-Infinity,-151.6957,-17.5981
19,Total Other Income Expenses (Gains),16000,-132000,-38000,-1314000,-763000
20,Income Before Tax,-61084000,-73667000,-32557000,-76100000,-19769000
21,Income Before Tax Ratio,-Infinity,-Infinity,-Infinity,-154.3611,-18.3046
22,Income Tax expense (Gain),- -,- -,- -,- -,- -
23,Net Income,-61084000,-73667000,-32557000,-76100000,-19769000
24,Net Income ratio,-Infinity,-Infinity,-Infinity,-154.3611,-18.3046
25,EPS,-235.49,-283.99,-121.80,-137.55,-10.14
26,EPS Diluted,-235.49,-283.99,-121.80,-137.55,-10.14
27,Weighted Average Shares Outstanding,259387,259387,267159,553018,553018
28,Weighted Average Shares Outstanding Diluted,259387,259387,267159,553018,553018
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1780097/000156459020004638/0001564590-20-004638-index.htm,https://www.sec.gov/Archives/edgar/data/1780097/000156459021005901/0001564590-21-005901-index.htm,https://www.sec.gov/Archives/edgar/data/1780097/000095017022003844/0000950170-22-003844-index.htm
30,BALANCE SHEET, , , , , 
31,Cash and Cash Equivalents,- -,- -,17740000,30342000,15891000
32,Short-Term Investments,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,17740000,30342000,15891000
34,Net Receivables,- -,- -,- -,51000,542000
35,Inventory,- -,- -,- -,2978000,5002000
36,Other Current Assets,2468000,2514000,2395000,3346000,2059000
