,https://roic.ai/company/ABCL,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , 
1,Revenue,- -,8830557,11611543,233155000,375203000
2,COGS,- -,- -,- -,27143000,45516000
3,Gross Profit,- -,- -,11611543,206012000,329687000
4,Gross Profit Ratio,- -,- -,1.0000,0.8836,0.8787
5,Research and Development Exp.,- -,5802521,10112939,29393000,62062000
6,General and Administrative Exp.,- -,2150652,2748869,11910000,41848000
7,Selling and Marketing Exp.,- -,711537,1262659,3842000,6913000
8,"Selling, General and Administrative Exp.",- -,2862189,4011528,15752000,48761000
9,Other Expenses,- -,-675506,-170411,-3484000,-3035000
10,Operating Expenses,- -,7989204,13954056,41661000,107788000
11,COGS and Expenses,- -,7989204,13954056,68804000,153304000
12,Interest Income ,- -,42000,154957,293000,3330000
13,Interest Expense (Gain),- -,212625,209196,6511000,5225000
14,Depreciation and Amortization,- -,918459,1846888,5271000,17250000
15,EBITDA,- -,1439938,-154612,169615000,241624000
16,EBITDA ratio,- -,0.1631,-0.0133,0.7275,0.6440
17,Operating Income,- -,-753000,-4117008,156031000,204413000
18,Operating Income ratio,- -,-0.0853,-0.3546,0.6692,0.5448
19,Total Other Income Expenses (Gains),- -,1061854,1906312,1802000,14736000
20,Income Before Tax,- -,308854,-2210696,157833000,219149000
21,Income Before Tax Ratio,- -,0.0350,-0.1904,0.6769,0.5841
22,Income Tax expense (Gain),- -,- -,- -,38915000,65685000
23,Net Income,- -,308854,-2210696,118918000,153464000
24,Net Income ratio,- -,0.0350,-0.1904,0.5100,0.4090
25,EPS,- -,0.00,-0.01,0.53,0.96
26,EPS Diluted,- -,0.00,-0.01,0.45,0.58
27,Weighted Average Shares Outstanding,- -,215414730,172380200,159195023,159195023
28,Weighted Average Shares Outstanding Diluted,- -,237723530,172380200,263129765,263129765
29,SEC Link,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1703057/000156459021016713/0001564590-21-016713-index.htm,https://www.sec.gov/Archives/edgar/data/1703057/000156459022007077/0001564590-22-007077-index.htm
30,BALANCE SHEET, , , , , 
31,Cash and Cash Equivalents,- -,10444283,7552917,594116000,476142000
32,Short-Term Investments,- -,- -,594116000,- -,246835000
33,Cash and Short-Term Investments,- -,10444283,601668917,594116000,722977000
34,Net Receivables,- -,4167613,4377832,213728000,160576000
35,Inventory,- -,- -,- -,1408000,- -
36,Other Current Assets,- -,550338,-593406412,4073000,46247000
37,Total Current Assets,- -,15162234,12640337,813325000,929800000
38,PP&E,- -,6329941,8479940,17923000,111616000
39,Goodwill,- -,- -,31500000,31500000,47806000
40,Intangible Assets,- -,- -,115153000,115153000,148392000
41,Intangible Assets,- -,- -,146653000,146653000,196198000
42,Investments,- -,- -,19247000,19247000,50313000
43,Tax Assets,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,-163532205,8388000,30642000
45,Total Non-Current Assets,- -,6329941,10847735,192211000,388769000
46,Other Assets,- -,- -,- -,- -,- -
47,Total Assets,- -,21492175,23488072,1005536000,1318569000
48,Accounts Payable,- -,- -,- -,7130000,32017000
49,Short-Term Debt,- -,2531350,2886121,865000,- -
50,Tax Payable,- -,- -,36152000,36152000,35683000
51,Deferred Revenue,- -,2333695,3236026,7531000,7536000
52,Other Current Liabilities,- -,1568336,1772714,87964000,81123000
53,Total Current Liabilities,- -,6433381,7894861,103490000,120676000
54,Long-Term Debt,- -,911224,1363143,2198000,36413000
55,Deferred Revenue,- -,2261233,1336199,25894000,60758000
56,Deferred Tax Liabilities,- -,- -,26161000,26161000,37370000
57,Other Non-Current Liabilities,- -,277134,-23519281,17285000,37619000
58,Total Non-Current Liabilities,- -,3449591,5341061,71538000,172160000
59,Other Liabilities,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,3060858,4390000,36413000
61,Total Liabilities,- -,9882972,13235922,175028000,292836000
62,Preferred Stock,- -,7557007,7545853,- -,- -
63,Common Stock,- -,5073692,5121751,710387000,722430000
64,Retained Earnings,- -,-2504936,-4715632,114202000,267666000
65,Other Comprehensive Income/Loss,- -,-1552878,-3156957,- -,280000
66,Other Total Stockholders Equity,- -,3036318,5457135,5919000,- -
67,Total Stockholders Equity,- -,11609203,10252150,830508000,1025733000
