,https://roic.ai/company/QNST,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , 
1,Revenue,167370000,192030000,260527000,334835000,403021000,370468000,305101000,282549000,282140000,297706000,299785000,404358000,455154000,490339000,578487000
2,COGS,108945000,130869000,181593000,240730000,291991000,283466000,251591000,241907000,252002000,270963000,269409000,345947000,393509000,437864000,507956000
3,Gross Profit,58425000,61161000,78934000,94105000,111030000,87002000,53510000,40642000,30138000,26743000,30376000,58411000,61645000,52475000,70531000
4,Gross Profit Ratio,0.3491,0.3185,0.3030,0.2810,0.2755,0.2348,0.1754,0.1438,0.1068,0.0898,0.1013,0.1445,0.1354,0.1070,0.1219
5,Research and Development Exp.,14094000,14051000,14887000,19726000,24163000,21051000,19048000,19548000,17948000,16431000,13476000,13805000,12329000,14206000,19344000
6,General and Administrative Exp.,11440000,13371000,13172000,18464000,20396000,23375000,16226000,17046000,16823000,17166000,15934000,18556000,29834000,23188000,26270000
7,Selling and Marketing Exp.,8487000,12409000,16154000,16698000,17382000,14074000,14705000,16385000,14544000,12020000,9189000,10414000,8755000,8876000,10991000
8,"Selling, General and Administrative Exp.",19927000,25780000,29326000,35162000,37778000,37449000,30931000,33431000,31367000,29186000,25123000,28970000,38589000,32064000,37261000
9,Other Expenses,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
10,Operating Expenses,34021000,39831000,44213000,54888000,61941000,58500000,49979000,52979000,49315000,45617000,38599000,42775000,50918000,46270000,56605000
11,COGS and Expenses,142966000,170700000,225806000,295618000,353932000,341966000,301570000,294886000,301317000,316580000,308008000,388722000,444427000,484134000,564561000
12,Interest Income ,1905000,1482000,245000,97000,169000,134000,115000,115000,72000,61000,138000,181000,290000,230000,39000
13,Interest Expense (Gain),732000,1214000,3544000,3977000,4213000,4462000,5200000,3825000,3818000,585000,346000,- -,367000,696000,1296000
14,Depreciation and Amortization,9637000,11727000,15978000,18791000,27272000,31150000,32325000,26097000,18867000,15087000,11377000,7767000,8975000,11476000,16201000
15,EBITDA,35807000,34684000,50705000,59628000,76586000,59744000,-56448000,-80273000,2433000,-3614000,-1565000,24271000,20061000,30858000,46826000
16,EBITDA ratio,0.2139,0.1806,0.1946,0.1781,0.1900,0.1613,-0.1850,-0.2841,0.0086,-0.0121,-0.0052,0.0600,0.0441,0.0629,0.0809
17,Operating Income,24404000,21330000,34721000,39217000,49089000,28502000,-88819000,-107978000,-19177000,-18874000,-10664000,15636000,10727000,6205000,13926000
18,Operating Income ratio,0.1458,0.1111,0.1333,0.1171,0.1218,0.0769,-0.2911,-0.3822,-0.0680,-0.0634,-0.0356,0.0387,0.0236,0.0127,0.0241
19,Total Other Income Expenses (Gains),1034000,413000,-3538000,-2357000,-3988000,-4370000,-5154000,-2217000,-1075000,-412000,-2624000,868000,-8000,12481000,15403000
20,Income Before Tax,25438000,21743000,31183000,36860000,45101000,24132000,-93973000,-110195000,-20252000,-19286000,-13288000,16504000,10719000,18686000,29329000
21,Income Before Tax Ratio,0.1520,0.1132,0.1197,0.1101,0.1119,0.0651,-0.3080,-0.3900,-0.0718,-0.0648,-0.0443,0.0408,0.0236,0.0381,0.0507
22,Income Tax expense (Gain),9828000,8876000,13909000,16276000,17887000,11131000,-26601000,36209000,-244000,134000,-1080000,574000,-51761000,584000,5774000
23,Net Income,15610000,12867000,17274000,20584000,27214000,13001000,-67372000,-146404000,-20008000,-19420000,-12208000,15930000,62480000,18102000,23555000
24,Net Income ratio,0.0933,0.0670,0.0663,0.0615,0.0675,0.0351,-0.2208,-0.5182,-0.0709,-0.0652,-0.0407,0.0394,0.1373,0.0369,0.0407
25,EPS,0.45,0.28,0.41,0.50,0.59,0.28,-1.57,-1.23,-0.45,-0.40,-0.27,0.34,1.26,0.35,0.45
26,EPS Diluted,0.43,0.26,0.39,0.46,0.55,0.28,-1.57,-1.23,-0.45,-0.40,-0.27,0.32,1.18,0.34,0.43
27,Weighted Average Shares Outstanding,34471000,13104000,13294000,25616000,46222000,45846000,42816000,43528000,44454000,45197000,45594000,46417000,49581000,51529000,53166000
28,Weighted Average Shares Outstanding Diluted,36148000,15325000,14971000,28429000,49130000,46859000,42816000,43528000,44454000,45197000,45594000,49872000,52754000,53387000,55129000
29,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1117297/000095012310085682/0000950123-10-085682-index.html,https://www.sec.gov/Archives/edgar/data/1117297/000095012311081083/0000950123-11-081083-index.html,https://www.sec.gov/Archives/edgar/data/1117297/000119312512366660/0001193125-12-366660-index.html,https://www.sec.gov/Archives/edgar/data/1117297/000119312513340993/0001193125-13-340993-index.html,https://www.sec.gov/Archives/edgar/data/1117297/000119312514340265/0001193125-14-340265-index.html,https://www.sec.gov/Archives/edgar/data/1117297/000119312515295982/0001193125-15-295982-index.html,https://www.sec.gov/Archives/edgar/data/1117297/000156459016024561/qnst-10k_20160630.htm,https://www.sec.gov/Archives/edgar/data/1117297/000156459017018479/0001564590-17-018479-index.html,https://www.sec.gov/Archives/edgar/data/1117297/000156459018022989/0001564590-18-022989-index.html,https://www.sec.gov/Archives/edgar/data/1117297/000156459019033605/qnst-10k_20190630.htm,https://www.sec.gov/Archives/edgar/data/1117297/000156459020041697/0001564590-20-041697-index.htm,https://www.sec.gov/Archives/edgar/data/1117297/000156459021045870/0001564590-21-045870-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,24953000,25182000,155770000,132290000,68531000,90117000,84177000,60468000,53710000,49571000,64700000,62522000,107509000,110318000
32,Short-Term Investments,- -,2302000,- -,- -,34927000,36736000,37847000,38630000,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,27255000,25182000,155770000,167217000,105267000,127964000,122807000,60468000,53710000,49571000,64700000,62522000,107509000,110318000
34,Net Receivables,- -,25281000,33283000,51466000,48225000,52830000,38391000,41979000,55959000,50550000,46820000,69401000,76671000,68270000,91469000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,4451000,6771000,11651000,16026000,15439000,11376000,11870000,1950000,3723000,3464000,3523000,4185000,9793000,4389000
37,Total Current Assets,- -,56987000,65236000,218887000,231468000,173536000,177731000,176656000,118377000,107983000,99855000,137624000,143378000,185572000,206176000
38,PP&E,- -,5725000,4741000,5419000,8875000,8755000,9707000,11126000,8565000,7678000,5613000,4211000,5410000,14775000,17832000
39,Goodwill,- -,80468000,106744000,158582000,211856000,243049000,150456000,55451000,56118000,56118000,56118000,62283000,82544000,80677000,117833000
40,Intangible Assets,- -,34826000,33990000,47156000,65847000,72444000,50486000,31441000,19030000,10081000,4105000,8573000,35118000,28174000,59177000
41,Intangible Assets,- -,115294000,140734000,205738000,277703000,315493000,200942000,86892000,75148000,66199000,60223000,70856000,117662000,108851000,177010000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,247000,1525000,3972000,5866000,8446000,40289000,1712000,2000,- -,- -,- -,52149000,48673000,43336000
44,Other Non-Current Assets,- -,1493000,642000,614000,1012000,930000,878000,457000,3061000,11242000,8617000,7605000,6012000,536000,5161000
45,Total Non-Current Assets,- -,122759000,147642000,215743000,293456000,333624000,251816000,100187000,86776000,85119000,74453000,82672000,181233000,172835000,243339000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,179746000,212878000,434630000,524924000,507160000,429547000,276843000,205153000,193102000,174308000,220296000,324611000,358407000,449515000
48,Accounts Payable,- -,10042000,13408000,16776000,23300000,22870000,18722000,19517000,20425000,19814000,25205000,32506000,37093000,36759000,45231000
49,Short-Term Debt,- -,- -,- -,15562000,10038000,15429000,15428000,17698000,49000,15000000,- -,- -,- -,- -,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,863000,718000,1241000,2531000,2553000,1638000,1175000,1208000,1200000,1126000,715000,761000,73000,33000
52,Other Current Liabilities,- -,29060000,34684000,30144000,33238000,29462000,30903000,27854000,27146000,27705000,26223000,34811000,45845000,49005000,70347000
53,Total Current Liabilities,- -,39965000,48810000,63723000,69107000,70314000,66691000,66244000,48828000,63719000,52554000,68032000,83699000,85837000,115611000
54,Long-Term Debt,- -,42165000,44350000,78046000,96010000,92167000,77249000,59565000,15000000,- -,- -,- -,- -,- -,8545000
55,Deferred Revenue,- -,1394000,820000,305000,58000,49000,239000,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,45911000,45712000,2534000,4360000,6273000,6473000,5883000,5740000,4631000,3672000,3938000,18083000,16626000,30211000
