,https://roic.ai/company/VALN,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , 
1,Revenue,3011000,2329000,866000,3418000,3096000,8395000,10263000,3431000,30445000,36923000,78359000,94062000,105291000,113035000,126196000,110321000,348085000
2,COGS,475000,726000,1683000,2745000,5257000,- -,6722000,- -,16508000,17144000,46961000,43076000,45979000,43431000,49968000,54302000,187920000
3,Gross Profit,2536000,1603000,-817000,673000,-2161000,- -,3541000,- -,13937000,19779000,31398000,50986000,59312000,69604000,76228000,56019000,160165000
4,Gross Profit Ratio,0.8422,0.6883,-0.9434,0.1969,-0.6980,- -,0.3450,- -,0.4578,0.5357,0.4007,0.5420,0.5633,0.6158,0.6040,0.5078,0.4601
5,Research and Development Exp.,- -,- -,- -,- -,- -,13126000,- -,12885000,21423000,22242000,25367000,24589000,23356000,12193000,37883000,84454000,173283000
6,General and Administrative Exp.,- -,- -,- -,- -,- -,3686000,262000,4177000,14720000,14142000,14394000,14412000,15545000,19570000,9361000,13034000,47606000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,9121000,16639000,17875000,11740000,14618000,7515000,23643000
8,"Selling, General and Administrative Exp.",- -,- -,- -,- -,- -,3686000,262000,4177000,14720000,14142000,23515000,31051000,33420000,31310000,23979000,20549000,71249000
9,Other Expenses,3966000,1824000,3968000,3827000,3382000,- -,8385000,-798000,-91000,7149000,2480000,37790000,6490000,19834000,15085000,6126000,-22976000
10,Operating Expenses,3966000,1824000,3968000,3827000,3382000,16812000,8647000,16264000,36052000,43533000,51362000,93430000,63266000,63337000,76947000,111129000,221556000
11,COGS and Expenses,4441000,2550000,5651000,6572000,8639000,16812000,15369000,16264000,52560000,60677000,98323000,136506000,109245000,106768000,126915000,165431000,409476000
12,Interest Income ,34000,- -,550000,- -,- -,- -,757000,- -,191000,225000,3096000,290000,72000,178000,199000,119000,249000
13,Interest Expense (Gain),- -,25000,154000,- -,- -,- -,699000,533000,1212000,4394000,9717000,6087000,5060000,3789000,2633000,10739000,16963000
14,Depreciation and Amortization,1517000,328000,1217000,1308000,1593000,2621000,3319000,4784000,9056000,12359000,11442000,11269000,11141000,6828000,8607000,9799000,14281000
15,EBITDA,121000,107000,-3018000,-1081000,-4551000,-6829000,-375000,-9428000,-13494000,-9185000,766000,-31472000,3641000,13969000,10370000,-44764000,-38735000
16,EBITDA ratio,0.0402,0.0459,-3.4850,-0.3163,-1.4700,-0.8135,-0.0365,-2.7479,-0.4432,-0.2488,0.0098,-0.3346,0.0346,0.1236,0.0822,-0.4058,-0.1113
17,Operating Income,-1430000,-221000,-4785000,-3154000,-6295000,-8417000,-4451000,-12833000,-20856000,-23817000,-19934000,-42568000,-3954000,6261000,-811000,-55120000,-61390000
18,Operating Income ratio,-0.4749,-0.0949,-5.5254,-0.9228,-2.0333,-1.0026,-0.4337,-3.7403,-0.6850,-0.6450,-0.2544,-0.4526,-0.0376,0.0554,-0.0064,-0.4996,-0.1764
19,Total Other Income Expenses (Gains),34000,-25000,396000,765000,151000,-1033000,58000,-56000,-2769000,-2121000,-459000,-6260000,-8606000,-2910000,-59000,-10182000,-8589000
20,Income Before Tax,-1396000,-246000,-4389000,-2389000,-6144000,-9450000,-4393000,-12889000,-23625000,-25938000,-20393000,-48828000,-12560000,3351000,-870000,-65302000,-69979000
21,Income Before Tax Ratio,-0.4636,-0.1056,-5.0681,-0.6989,-1.9845,-1.1257,-0.4280,-3.7566,-0.7760,-0.7025,-0.2603,-0.5191,-0.1193,0.0296,-0.0069,-0.5919,-0.2010
22,Income Tax expense (Gain),-176000,-3000,-1027000,- -,- -,-1488000,26000,96000,348000,334000,224000,356000,-1078000,88000,874000,-909000,3446000
23,Net Income,-1220000,-243000,-3362000,-2389000,-6144000,-7962000,-4419000,-14841000,-24110000,-26272000,-20617000,-49184000,-11482000,3264000,-1744000,-64393000,-73425000
24,Net Income ratio,-0.4052,-0.1043,-3.8822,-0.6989,-1.9845,-0.9484,-0.4306,-4.3256,-0.7919,-0.7115,-0.2631,-0.5229,-0.1091,0.0289,-0.0138,-0.5837,-0.2109
25,EPS,-2613.08,-491.06,-0.41,-0.28,-0.74,-0.70,-0.42,-1.22,-1.22,-0.94,-0.56,-1.32,-0.30,0.08,-0.04,-1.42,-0.70
26,EPS Diluted,-2613.08,-491.06,-0.41,-0.28,-0.74,-0.70,-0.42,-1.22,-1.22,-0.94,-0.56,-1.32,-0.30,0.08,-0.04,-1.42,-0.68
27,Weighted Average Shares Outstanding,5101302,5101302,8179588,8422494,8251758,11374286,10543531,10558722,19671592,27746522,36370174,37329464,38724610,40264658,45872134,45378586,104899000
28,Weighted Average Shares Outstanding Diluted,5101302,5101302,8179588,8983994,8251758,11374286,10543531,10634188,19671592,27746522,36370174,37329464,38724610,40264658,45872134,45378586,107486000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
30,BALANCE SHEET, , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,1640000,114000,13397000,18717000,23563000,34748000,9907000,832000,36509000,28857000,41907000,35268000,33545000,77085000,64439000,204394000,346642000
32,Short-Term Investments,3373000,1682000,11559000,4013000,- -,7755000,20648000,11225000,3658000,19000,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,5013000,1796000,24956000,22730000,23563000,42503000,30555000,12057000,40167000,28876000,41907000,35268000,33545000,77085000,64439000,204394000,346642000
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,44013000
35,Inventory,- -,- -,249000,- -,- -,- -,951000,921000,4819000,7282000,26687000,22701000,19931000,22727000,25772000,26933000,124098000
36,Other Current Assets,2069000,3528000,2921000,6408000,6212000,4384000,1949000,2242000,18360000,24790000,47788000,33229000,29972000,26161000,38951000,77100000,71080000
37,Total Current Assets,7082000,5324000,28126000,29138000,29775000,46887000,33455000,15220000,63346000,60948000,116382000,91198000,83448000,125973000,129162000,308427000,585833000
38,PP&E,4351000,5210000,5433000,5891000,8726000,13085000,13315000,12094000,45069000,41611000,42440000,39040000,38373000,37997000,69336000,78154000,173831000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,341000,350000,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,2568000,3904000,- -,- -,- -,15499000,- -,17030000,125051000,105204000,98566000,58959000,48468000,44891000,41812000,35410000,32700000
41,Intangible Assets,2568000,3904000,4671000,5599000,5179000,15499000,20161000,17371000,125401000,105204000,98566000,58959000,48468000,44891000,41812000,35410000,32700000
42,Investments,- -,- -,- -,- -,- -,- -,-20453000,-11082000,- -,- -,- -,- -,- -,- -,- -,- -,2124000
43,Tax Assets,- -,- -,1246000,- -,- -,- -,- -,- -,- -,- -,- -,- -,1686000,2689000,4988000,5570000,3582000
44,Other Non-Current Assets,600000,484000,108000,756000,2274000,4028000,26605000,20063000,20575000,19752000,17798000,17687000,17368000,18357000,19425000,21603000,19283000
45,Total Non-Current Assets,7519000,9598000,11458000,12246000,16179000,32612000,39628000,38446000,191045000,166567000,158804000,115686000,105895000,103934000,135561000,140737000,231520000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,14601000,14922000,39584000,41384000,45954000,79499000,73083000,53666000,254391000,227515000,275186000,206884000,189343000,229907000,264723000,449164000,817352000
48,Accounts Payable,527000,573000,846000,1017000,984000,867000,3201000,757000,6487000,5192000,6325000,7808000,5258000,9175000,8868000,24898000,16035000
49,Short-Term Debt,352000,449000,566000,768000,1024000,1257000,1528000,1641000,6380000,7118000,25687000,20958000,17399000,17530000,4307000,9684000,10242000
50,Tax Payable,573000,643000,579000,900000,1284000,1496000,- -,1786000,5096000,5398000,7314000,7684000,322000,1406000,2458000,- -,83000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,124017000
