,https://roic.ai/company/MCCX,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
0,INCOME STATEMENT, , , , , , , , , , 
1,Revenue,611374,900132,940315,2056678,1334732,1637671,2514014,3987199,3240009,48
2,COGS,241874,203913,344978,536606,490716,483420,1120306,2164240,1501372,45
3,Gross Profit,369500,696219,595337,1520072,844016,1154251,1393708,1822959,1738637,3
4,Gross Profit Ratio,0.6044,0.7735,0.6331,0.7391,0.6323,0.7048,0.5544,0.4572,0.5366,0.0523
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,783289,325184,199444,265473,253435,1045569,743176,974249,1183075,326
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",783289,325184,199444,265473,253435,1045569,743176,974249,1183075,326
9,Other Expenses,- -,685658,1018874,1252761,1582362,1214285,1039989,1252925,1311049,- -
10,Operating Expenses,783289,1010842,1218318,1518234,1835797,2259854,1783165,2227174,2494124,326
11,COGS and Expenses,1025163,1214755,1563296,2054840,2326513,2743274,2903471,4391414,3995496,372
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,12156,10993,- -,15529,8978,1179,2928,- -
14,Depreciation and Amortization,11179,7730,59072,75806,103462,191652,226599,200917,139694,25122
15,EBITDA,-402094,-606166,-1360084,89922,-890889,-951673,-175496,-209120,-618333,25077
16,EBITDA ratio,-0.6577,-0.6734,-1.4464,0.0437,-0.6675,-0.5811,-0.0698,-0.0524,-0.1908,523.1781
17,Operating Income,-413789,-314623,-622981,1838,-991781,-1105603,-389457,-404215,-755487,-427498
18,Operating Income ratio,-0.6768,-0.3495,-0.6625,0.0009,-0.7431,-0.6751,-0.1549,-0.1014,-0.2332,-8918.6573
19,Total Other Income Expenses (Gains),516,7675,-92675,1285,-2570,-53251,-21616,-7001,-5468,427453
20,Income Before Tax,-413273,-306948,-715656,3123,-994351,-1158854,-411073,-411216,-760955,-45
21,Income Before Tax Ratio,-0.6760,-0.3410,-0.7611,0.0015,-0.7450,-0.7076,-0.1635,-0.1031,-0.2349,-0.9284
