,https://roic.ai/company/PFHO,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , 
1,Revenue,- -,653427,1097930,1671994,2076391,1970855,2036794,2356818,1758201,1615659,2831793,4826765,6573106,9462995,8224474,5687696,6505527,6796913,7330940,6042718
2,COGS,- -,- -,- -,- -,- -,- -,- -,919732,743047,692337,1132351,1655386,2083853,2526848,2324977,2316571,2299698,- -,- -,- -
3,Gross Profit,- -,- -,- -,1671994,2076391,1970855,2036794,1437086,1015154,923322,1699442,3171379,4489253,6936147,5899497,3371125,4205829,- -,- -,6042718
4,Gross Profit Ratio,- -,- -,- -,1.0000,1.0000,1.0000,1.0000,0.6098,0.5774,0.5715,0.6001,0.6570,0.6830,0.7330,0.7173,0.5927,0.6465,- -,- -,1.0000
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,36892,103268,184772,- -,- -,- -,- -,1181065,971952,998860,1363564,1908982,2372363,3530515,5318592,4620168,4711984,4872129,5550791,5146918
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",36892,103268,184772,- -,- -,- -,- -,1181065,971952,998860,1363564,1908982,2372363,3530515,5318592,4620168,4711984,4872129,5550791,5146918
9,Other Expenses,265304,- -,- -,1517190,2063228,2061767,1831948,879,582,5691,13595,29279,61085,108027,83671,98200,106229,35377,100014,-4451019
10,Operating Expenses,302196,- -,- -,1517190,2063228,2061767,1831948,1181944,972534,1004551,1377159,1938261,2433448,3638542,5402263,4718368,4818213,4907506,5650805,695899
11,COGS and Expenses,302196,689257,1040071,1517190,2063228,2061767,1831948,2101676,1715581,1696888,2509510,3593647,4517301,6165390,5402263,4718368,4818213,4907506,5650805,695899
12,Interest Income ,5799,568,114,271,2456,2218,5099,3851,3290,1712,957,704,460,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,1606,1192,1885,2369,1149,202,- -,- -,- -,- -,- -
14,Depreciation and Amortization,2209,12639,17276,22312,11341,9540,9540,879,582,5691,13595,29279,43585,49171,69254,84700,75729,67084,76168,55428
15,EBITDA,-299987,-22623,75249,177387,26960,-79154,219485,259872,46492,-73826,335521,1264601,2099850,3346776,2891465,1054028,1763043,1956491,1756303,875699
16,EBITDA ratio,-Infinity,-0.0346,0.0685,0.1061,0.0130,-0.0402,0.1078,0.1103,0.0264,-0.0457,0.1185,0.2620,0.3195,0.3537,0.3516,0.1853,0.2710,0.2878,0.2396,0.1449
17,Operating Income,-302196,-35830,57859,154804,13163,-90912,204846,255142,42620,-81229,322283,1233118,2055805,3297605,2822211,969328,1687314,1889407,1680135,820271
18,Operating Income ratio,-Infinity,-0.0548,0.0527,0.0926,0.0063,-0.0461,0.1006,0.1083,0.0242,-0.0503,0.1138,0.2555,0.3128,0.3485,0.3431,0.1704,0.2594,0.2780,0.2292,0.1357
19,Total Other Income Expenses (Gains),5799,568,114,271,2456,2218,5099,3851,3290,106,-1549,319,-1909,-1149,-202,- -,- -,- -,- -,- -
20,Income Before Tax,-296397,-35262,57973,155075,15619,-88694,209945,258993,45910,-81123,320734,1233437,2053896,3296456,2822009,969328,1687314,1889407,1680135,820271
21,Income Before Tax Ratio,-Infinity,-0.0540,0.0528,0.0927,0.0075,-0.0450,0.1031,0.1099,0.0261,-0.0502,0.1133,0.2555,0.3125,0.3484,0.3431,0.1704,0.2594,0.2780,0.2292,0.1357
22,Income Tax expense (Gain),- -,- -,- -,671,23750,-11243,81048,115771,14250,-21190,122499,522048,821319,1334538,1144785,402580,722909,529630,482075,270701
23,Net Income,-296397,-35262,57973,154404,-8131,-77451,128897,143222,31660,-59933,198235,711389,1232577,1961918,1677224,566748,964405,1359777,1198060,549570
24,Net Income ratio,-Infinity,-0.0540,0.0528,0.0923,-0.0039,-0.0393,0.0633,0.0608,0.0180,-0.0371,0.0700,0.1474,0.1875,0.2073,0.2039,0.0996,0.1482,0.2001,0.1634,0.0909
