,https://roic.ai/company/ICHR,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , 
1,Revenue,249087000,290641000,405747000,655892000,823611000,620837000,914236000,1096917000
2,COGS,212747000,242087000,340352000,555131000,687474000,534473000,789344000,919437000
3,Gross Profit,36340000,48554000,65395000,100761000,136137000,86364000,124892000,177480000
4,Gross Profit Ratio,0.1459,0.1671,0.1612,0.1536,0.1653,0.1391,0.1366,0.1618
5,Research and Development Exp.,3915000,4813000,6383000,7899000,9355000,11102000,13361000,15691000
6,General and Administrative Exp.,- -,- -,- -,37802000,47448000,47270000,- -,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,- -,- -,37802000,47448000,47270000,- -,65857000
9,Other Expenses,28876000,31140000,35141000,8880000,15369000,13015000,69979000,14918000
10,Operating Expenses,32791000,35953000,41524000,54581000,72172000,71387000,83340000,96466000
11,COGS and Expenses,245538000,278040000,381876000,609712000,759646000,605860000,872684000,1015903000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),3118000,3831000,4370000,3277000,9987000,10647000,8727000,6451000
14,Depreciation and Amortization,9628000,9936000,9497000,12509000,23064000,21869000,24246000,25992000
15,EBITDA,13310000,22583000,29880000,58354000,87270000,36791000,65264000,106199000
16,EBITDA ratio,0.0534,0.0777,0.0736,0.0890,0.1060,0.0593,0.0714,0.0968
17,Operating Income,3549000,12601000,23871000,46180000,63965000,14977000,41552000,81014000
18,Operating Income ratio,0.0142,0.0434,0.0588,0.0704,0.0777,0.0241,0.0454,0.0739
19,Total Other Income Expenses (Gains),-3371000,-3785000,-3741000,-3151000,-9746000,-10702000,-9261000,-7258000
20,Income Before Tax,178000,8816000,20130000,43029000,54219000,4275000,32291000,73756000
21,Income Before Tax Ratio,0.0007,0.0303,0.0496,0.0656,0.0658,0.0069,0.0353,0.0672
22,Income Tax expense (Gain),-5604000,-3991000,-649000,-13886000,-3664000,-6454000,-988000,2857000
23,Net Income,6168000,12807000,16662000,56454000,57883000,10729000,33279000,70899000
24,Net Income ratio,0.0248,0.0441,0.0411,0.0861,0.0703,0.0173,0.0364,0.0646
25,EPS,0.00,0.64,-3.11,2.05,2.34,0.48,1.44,2.51
26,EPS Diluted,0.00,0.64,-3.11,1.96,2.30,0.47,1.42,2.45
27,Weighted Average Shares Outstanding,22385686,22319381,1211411,25118031,24706542,22418802,23172961,28259607
28,Weighted Average Shares Outstanding Diluted,22584544,22319381,1211411,26218424,25128055,22766903,23460105,28979352
29,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1652535/000156459018005482/0001564590-18-005482-index.html,https://www.sec.gov/Archives/edgar/data/1652535/000156459019006988/0001564590-19-006988-index.html,https://www.sec.gov/Archives/edgar/data/1652535/000156459020009069/0001564590-20-009069-index.html,https://www.sec.gov/Archives/edgar/data/1652535/000156459021011114/0001564590-21-011114-index.htm,https://www.sec.gov/Archives/edgar/data/1652535/000156459022007613/0001564590-22-007613-index.htm
30,BALANCE SHEET, , , , , , , , 
31,Cash and Cash Equivalents,14373000,24188000,50854000,68794000,43834000,60612000,252899000,75495000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,14373000,24188000,50854000,68794000,43834000,60612000,252899000,75495000
34,Net Receivables,17943000,12394000,26401000,49249000,40287000,84849000,100977000,142990000
35,Inventory,30803000,31287000,70881000,154541000,121106000,127037000,134756000,236133000
36,Other Current Assets,31247000,20463000,8954000,5870000,6348000,4449000,7082000,8153000
37,Total Current Assets,94366000,88332000,157090000,278454000,211575000,276947000,495714000,462771000
38,PP&E,9000000,7482000,12018000,34380000,41740000,58739000,51899000,114993000
39,Goodwill,70015000,70015000,77093000,169399000,173010000,173010000,174887000,337242000
40,Intangible Assets,37541000,31131000,32146000,73405000,56895000,52027000,39845000,88588000
41,Intangible Assets,107556000,101146000,109239000,242804000,229905000,225037000,214732000,425830000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,296000,570000,10558000,3966000,210000,6324000,8116000
44,Other Non-Current Assets,4641000,767000,3574000,-8512000,-1697000,5622000,5503000,9166000
45,Total Non-Current Assets,121197000,109691000,125401000,279230000,273914000,289608000,278458000,558105000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -
