,https://roic.ai/company/NUVB,2020,2021
0,INCOME STATEMENT, , 
1,Revenue,- -,- -
2,COGS,- -,- -
3,Gross Profit,- -,- -
4,Gross Profit Ratio,- -,- -
5,Research and Development Exp.,32603000,- -
6,General and Administrative Exp.,11219000,24925000
7,Selling and Marketing Exp.,- -,- -
8,"Selling, General and Administrative Exp.",11219000,- -
9,Other Expenses,- -,93962000
10,Operating Expenses,43822000,93962000
11,COGS and Expenses,43822000,93962000
12,Interest Income ,1945000,2963000
13,Interest Expense (Gain),- -,- -
14,Depreciation and Amortization,103000,184000
15,EBITDA,-43937000,-97929000
16,EBITDA ratio,-Infinity,-Infinity
17,Operating Income,-43551000,-93318000
18,Operating Income ratio,-Infinity,-Infinity
19,Total Other Income Expenses (Gains),1892000,- -
20,Income Before Tax,-41659000,- -
21,Income Before Tax Ratio,-Infinity,- -
22,Income Tax expense (Gain),- -,- -
23,Net Income,-41659000,- -
24,Net Income ratio,-Infinity,- -
25,EPS,-0.19,-0.44
26,EPS Diluted,-0.19,-0.44
27,Weighted Average Shares Outstanding,217650055,218787993
28,Weighted Average Shares Outstanding Diluted,217650055,218787993
29,SEC Link,https://www.sec.gov/Archives/edgar/data/1811063/000119312521169245/0001193125-21-169245-index.htm,https://www.sec.gov/Archives/edgar/data/1811063/000095017022002332/0000950170-22-002332-index.htm
30,BALANCE SHEET, , 
31,Cash and Cash Equivalents,908111,132423
32,Short-Term Investments,- -,632969000
33,Cash and Short-Term Investments,908111,633101423
34,Net Receivables,- -,3039000
35,Inventory,- -,- -
36,Other Current Assets,339089,-639442272
37,Total Current Assets,1247200,-3301849
38,PP&E,- -,- -
39,Goodwill,- -,- -
40,Intangible Assets,- -,- -
41,Intangible Assets,- -,- -
42,Investments,- -,- -
43,Tax Assets,- -,- -
44,Other Non-Current Assets,143757011,4078000
45,Total Non-Current Assets,143757011,4078000
46,Other Assets,- -,- -
47,Total Assets,145004211,776151
48,Accounts Payable,2699715,- -
49,Short-Term Debt,- -,- -
50,Tax Payable,- -,402000
51,Deferred Revenue,- -,- -
52,Other Current Liabilities,99000,- -
53,Total Current Liabilities,2798715,- -
54,Long-Term Debt,- -,2192000
55,Deferred Revenue,- -,- -
56,Deferred Tax Liabilities,- -,- -
57,Other Non-Current Liabilities,- -,11037000
58,Total Non-Current Liabilities,- -,13229000
59,Other Liabilities,- -,- -
60,Capital Lease Obligations,- -,- -
61,Total Liabilities,2798715,30154
62,Preferred Stock,- -,- -
63,Common Stock,137205963,909985000
64,Retained Earnings,-3054441,- -
65,Other Comprehensive Income/Loss,- -,-1185000
66,Other Total Stockholders Equity,8053974,- -
67,Total Stockholders Equity,142205496,745997
68,Total Liabilities And Stockholders Equity,145004211,776151
69,Minority Interest,- -,- -
70,Total Liabilities & Equity,145004211,776151
71,SEC Link,https://www.sec.gov/Archives/edgar/data/1811063/000119312521169245/0001193125-21-169245-index.htm,https://www.sec.gov/Archives/edgar/data/1811063/000095017022002332/0000950170-22-002332-index.htm
72,CASH FLOW STATEMENT, , 
73,Net Income,-41659000,- -
74,Depreciation and Amortization,103000,- -
75,Deferred Income Tax,- -,- -
76,Stock Based Compensation,2202000,9268000
77,Change in Working Capital,2110000,- -
78,Accounts Receivable,- -,- -
79,Inventory,- -,- -
80,Accounts Payable,34000,1861000
81,Other Working Capital,146000,-157000
82,Other Non-Cash Items,715000,-77458000
83,Cash Provided by Operating Activities,-36529000,-68190000
84,CAPEX,-145000,- -
85,Acquisitions Net,- -,- -
86,Purchases of Investments,-143289000,-609300000
87,Sales/Maturities of Investments,73114000,- -
88,Other Investing Activites,- -,- -
89,Cash Used for Investing Activites,-70320000,- -
90,Debt Repayment,- -,- -
91,Common Stock Issued,135657000,- -
92,Common Stock Repurchased,- -,- -
93,Dividends Paid,- -,- -
94,Other Financing Activites,-2522000,625527000
95,Cash Used/Provided by Financing Activities,133135000,625527000
96,Effect of Forex Changes on Cash,- -,- -
97,Net Change In Cash,26286000,625527000
98,Cash at the End of Period,29755000,132423000
99,Cash at the Beginning of Period,3469000,- -
100,Free Cash Flow,-36674000,- -
101,SEC Link,https://www.sec.gov/Archives/edgar/data/1811063/000119312521169245/0001193125-21-169245-index.htm,https://www.sec.gov/Archives/edgar/data/1811063/000095017022002332/0000950170-22-002332-index.htm
102,false,,
